curTime_of_UTC8,num_send_packets,avg_send_packetLen,send_dataStream,avg_send_packetInterval,num_recv_packets,avg_recv_packetLen,recv_dataStream,avg_recv_packetInterval,label,mn_u_r_mean,mn_d_r_mean,mn_u_m_mean,mn_d_m_mean,mn_d_g_mean,mn_u_g_mean,mn_u_b_mean,mn_d_b_mean,mn_cqi_mean,mn_mac_mean,mn_bandwidth_mean,rsrp_1_mean,snr_1_mean
2025-11-02 11:19:22,135,800.4296296296296,108058,0.0043451997968885,80,1166.275,93302,0.0073922127485275,0,18.8,14.8,18.4,9.8,154.2,172.0,0.062,0.128,10.7,3807.0,60.0,-89.66666666666667,21.78333333333333
2025-11-02 11:19:23,217,802.8018433179724,174208,0.0045853737861879,140,1211.3357142857142,169587,0.0071592790739876,0,21.2,14.0,18.0,9.6,165.4,203.8,0.094,0.158,10.36,3501.2,60.0,-82.66666666666667,21.296666666666667
2025-11-02 11:19:24,237,772.4767932489451,183077,0.0042431726737364,171,842.5672514619883,144079,0.0057859002498158,0,20.4,17.8,17.2,8.8,161.4,181.2,0.0659999999999999,0.106,9.7,3778.4,60.0,-87.66666666666667,22.52
2025-11-02 11:19:25,251,566.8725099601594,142285,0.0039721751118086,149,1014.5369127516778,151166,0.0067175106714235,0,22.4,14.6,17.6,9.0,160.8,221.2,0.098,0.164,9.44,3635.2,60.0,-95.0,18.98333333333333
2025-11-02 11:19:26,194,669.2577319587629,129836,0.0052191338588282,130,1288.9,167557,0.0077304381590623,0,23.0,19.6,16.0,8.4,165.8,192.2,0.08,0.09,8.820000000000002,3760.0,60.0,-91.33333333333331,14.116666666666664
2025-11-02 11:19:27,246,618.2886178861788,152099,0.0040457316530429,134,1262.1194029850749,169124,0.0074514399713544,0,21.8,16.4,17.6,8.6,166.0,222.0,0.12,0.1379999999999999,8.900000000000002,3649.4,60.0,-91.33333333333331,15.816666666666668
2025-11-02 11:19:28,194,701.1340206185567,136020,0.00510132558567,187,964.8877005347592,180434,0.005375278187308,0,22.4,17.4,17.4,8.4,167.8,202.6,0.102,0.1,8.180000000000001,3436.8,60.0,-85.66666666666667,19.29
2025-11-02 11:19:29,189,640.7883597883598,121109,0.0053051640747716,204,959.029411764706,195642,0.0049139810543434,0,21.6,17.6,17.8,8.6,169.2,223.6,0.126,0.14,8.3,3534.4,60.0,-93.66666666666669,18.24333333333333
2025-11-02 11:19:30,214,730.8598130841121,156404,0.0046308965326469,152,1107.8223684210527,168389,0.0064923810331444,0,22.4,18.4,17.6,8.8,188.8,211.0,0.11,0.1119999999999999,8.2,3455.0,60.0,-87.0,20.506666666666664
2025-11-02 11:19:31,253,686.8577075098814,173775,0.004002671939111,137,1277.07299270073,174959,0.007318663771135,0,21.8,18.0,17.8,8.6,176.2,219.6,0.11,0.132,8.14,3658.0,60.0,-84.66666666666667,20.473333333333333
2025-11-02 11:19:32,249,553.5180722891566,137826,0.0040551246888187,170,1025.464705882353,174329,0.0059105592615464,0,17.8,15.8,19.8,8.8,178.6,203.0,0.096,0.096,8.28,3395.6,60.0,-86.0,19.46333333333333
2025-11-02 11:19:33,217,474.8847926267281,103050,0.0046057371499901,192,898.890625,172587,0.0052476252118746,0,19.2,15.4,19.8,9.2,194.8,189.2,0.092,0.108,8.24,3282.2,60.0,-86.66666666666667,23.28333333333333
2025-11-02 11:19:34,246,612.239837398374,150611,0.0040678251080396,139,1228.3525179856117,170741,0.0071145887855145,0,16.6,15.4,20.4,9.2,185.8,177.0,0.08,0.09,8.22,3318.6,60.0,-79.0,23.49
