curTime_of_UTC8,num_send_packets,avg_send_packetLen,send_dataStream,avg_send_packetInterval,num_recv_packets,avg_recv_packetLen,recv_dataStream,avg_recv_packetInterval,label,mn_u_r_mean,mn_d_r_mean,mn_u_m_mean,mn_d_m_mean,mn_d_g_mean,mn_u_g_mean,mn_u_b_mean,mn_d_b_mean,mn_cqi_mean,mn_mac_mean,mn_bandwidth_mean,rsrp_1_mean,snr_1_mean
2025-10-26 18:25:00,126,791.1349206349206,99683,0.0078908167188129,37,756.2702702702703,27982,0.0265707325290989,0,6.4,18.0,21.0,1.8,35.2,76.4,0.028,0.05,5.88,2073.2,100.0,-78.33333333333333,-4.433333333333334
2025-10-26 18:25:01,142,689.330985915493,97885,0.0071134231459926,85,435.7647058823529,37040,0.0120103050680721,0,7.8,18.8,22.2,1.6,39.6,90.2,0.042,0.0379999999999999,5.5600000000000005,2148.0,100.0,-79.66666666666667,-1.0333333333333332
2025-10-26 18:25:02,87,1143.6896551724135,99501,0.0108963100389502,66,467.8181818181818,30876,0.0142896211508548,0,8.2,16.8,21.6,1.8,41.0,92.0,0.04,0.046,5.9,2877.2,100.0,-79.0,0.7266666666666667
2025-10-26 18:25:03,107,968.5420560747664,103634,0.0098603351093898,93,410.741935483871,38199,0.0112745479870867,0,7.8,18.8,22.2,1.6,39.6,90.2,0.042,0.0379999999999999,5.5600000000000005,2148.0,100.0,-79.66666666666667,-1.0333333333333332
2025-10-26 18:25:04,103,1140.2815533980583,117449,0.0097104091088748,98,441.8979591836735,43306,0.0103328982178045,0,9.8,18.2,22.8,3.2,48.8,108.6,0.058,0.0619999999999999,5.639999999999999,2911.6,100.0,-82.33333333333333,-1.4500000000000002
2025-10-26 18:25:05,105,1229.8,129129,0.0095358280908493,89,412.5280898876405,36715,0.010983876967698,0,10.0,18.4,22.2,2.6,54.0,122.8,0.04,0.058,5.84,4126.2,100.0,-81.66666666666667,-4.56
2025-10-26 18:25:06,116,1146.9568965517242,133047,0.0085698530591767,106,385.8490566037736,40900,0.0094559530042252,0,12.0,20.2,22.4,4.4,59.6,149.6,0.064,0.108,5.76,3903.6,100.0,-76.33333333333333,1.25
2025-10-26 18:25:07,149,910.8053691275168,135710,0.0066751009665879,95,514.6210526315789,48889,0.010500272951628,1,13.0,31.6,22.4,2.2,48.4,138.4,0.046,0.052,5.34,5469.6,100.0,-79.33333333333333,-2.26
2025-10-26 18:25:08,183,819.0710382513661,149890,0.0054829342117726,109,548.3577981651376,59771,0.0092244323240507,0,13.0,33.8,22.4,4.0,54.8,170.8,0.07,0.09,5.48,4593.8,100.0,-83.33333333333333,-3.4033333333333338
2025-10-26 18:25:09,197,854.8984771573604,168415,0.0050937863170798,123,647.1463414634146,79599,0.0081672106331926,0,14.8,42.6,22.6,2.2,52.6,163.2,0.048,0.058,5.42,5976.2,100.0,-83.66666666666667,-4.413333333333333
2025-10-26 18:25:10,182,877.2472527472528,159659,0.005472264447055,110,550.4181818181818,60546,0.0089996099472045,0,16.0,53.6,22.6,3.4,64.8,207.8,0.0679999999999999,0.078,5.540000000000001,5488.2,100.0,-75.66666666666667,0.7599999999999998
2025-10-26 18:25:11,201,964.1990049751244,193804,0.0049434431749789,94,402.468085106383,37832,0.0106841909124496,0,14.8,54.6,22.4,1.8,58.8,177.0,0.034,0.048,5.54,6049.8,100.0,-79.33333333333333,-5.833333333333333
2025-10-26 18:25:12,196,994.9336734693876,195007,0.0051754895521669,93,344.86021505376345,32072,0.0108200862843503,0,17.0,56.8,22.0,3.6,64.8,228.4,0.042,0.08,5.5200000000000005,6137.8,100.0,-80.66666666666667,0.5166666666666666
2025-10-26 18:25:13,172,1007.5988372093024,173307,0.0058082910471184,75,338.5466666666667,25391,0.0132991727193196,0,15.0,57.6,22.2,2.2,64.6,197.2,0.02,0.022,5.5200000000000005,6458.0,100.0,-82.0,0.0599999999999999
2025-10-26 18:25:14,225,844.72,190062,0.0044468349880642,96,330.125,31692,0.0103672618667284,0,17.4,59.0,21.6,3.4,69.6,247.6,0.028,0.076,5.6,6528.8,100.0,-78.66666666666667,1.336666666666667
2025-10-26 18:25:15,226,858.5044247787611,194022,0.0044239959885588,93,338.4731182795699,31478,0.0109365909330306,0,15.6,57.4,21.8,3.0,65.0,214.0,0.022,0.02,5.64,6125.6,100.0,-72.66666666666667,9.626666666666669
2025-10-26 18:25:16,185,977.2702702702704,180795,0.0053836964272164,96,311.4895833333333,29903,0.0100791975855827,0,17.2,56.8,21.6,4.6,74.8,247.0,0.026,0.05,5.96,6686.6,100.0,-75.66666666666667,9.54
2025-10-26 18:25:17,225,862.0533333333333,193962,0.0044540627797444,30,725.8333333333334,21775,0.0333687305450439,0,14.6,43.8,21.4,5.6,77.8,225.8,0.016,0.034,6.540000000000001,5741.8,100.0,-79.0,9.34
2025-10-26 18:25:18,224,833.2053571428571,186638,0.0044723568218094,69,375.4782608695652,25908,0.0146830012832862,0,17.6,42.4,21.2,7.0,82.8,262.4,0.022,0.062,6.779999999999999,6493.4,100.0,-74.33333333333333,11.910000000000002
2025-10-26 18:25:19,217,840.7188940092166,182436,0.0045460006608391,59,456.3220338983051,26923,0.0169746592893438,0,13.8,32.2,21.2,8.4,85.4,216.2,0.006,0.042,7.2,5812.6,100.0,-69.66666666666667,16.900000000000002
