timestamp,line_number,mn_cc,mn_redrt,mn_rre_count,mn_rach_fail,mn_rlf_num,mn_ota_irat,mn_irat,mn_u_r,mn_d_r,mn_u_m,mn_d_m,mn_d_g,mn_u_g,mn_u_b,mn_d_b,mn_txp_md,mn_mtpl,mn_cqi,mn_mac,mn_pu_m_l,mn_pd_m_l,mn_rlf_cause,mn_retr,mn_pp_s,mn_pp_dis,mn_pp_r,mn_ri,mn_prach_cfg,mn_pre_for,mn_o_fail,mn_ph_dis,mn_ssnr,mn_tsnr,mn_path_loss,mn_target_pwr,mn_bandwidth,mn_rsrp_4,mn_snr_4,qos,rf_sul_state,rf_sul_band,mn_ver
2025-10-25 20:54:35.973,1864,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","3,-1,3,3,3","16,9,10,8,3","20,-1,21,25,21","9,3,9,1,6","2,1,8,0,1","5,-99,-99,4,-99","0.00,-99.00,0.00,0.50,0.00","0.00,0.00,0.00,0.00,0.00","16.0,-99.0,11.0,0.7,-7.3","21.0,-99.0,21.0,21.0,21.0","8.4,8.4,8.5,8.4,8.5","-1,-1,-1,102,-1","1.0,-1.0,1.0,1.0,1.0","1.0,0.5,0.8,0.3,0.6","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","120,0,754,0,334","0.5,0.5,0.5,0.5,0.5","17,17,17,17,17","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","32.17,33.05,34.57,34.63,34.38","-111.00,-111.00,-111.00,-111.00,-111.00","95,-99,94,84,76","16,-99,11,0,-7","100,100,100,100,100","{-78,-83,-89,-82},{-81,-71,-77,-72},{-64,-64,-63,-61}","{34.18,23.98,25.23,31.32},{30.02,36.88,-inf,-inf},{27.83,32.65,-inf,-inf}","2-cmnet,1-8",0,{191},4
2025-10-25 20:54:36.995,1877,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","3,-1,3,-1,3","16,7,2,16,11","20,-1,23,-1,21","9,1,14,5,9","2,0,0,0,11","-99,-99,-99,-99,5","0.00,-99.00,0.00,-99.00,0.15","0.00,0.00,0.00,0.00,0.00","11.3,-99.0,11.3,-99.0,-4.8","21.0,-99.0,24.0,-99.0,22.0","8.5,8.5,8.3,8.5,8.5","-1,-1,-1,-1,-1","1.0,-1.0,1.0,-1.0,1.0","1.0,0.3,0.0,1.0,0.8","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","60,0,75,0,431","0.5,0.5,0.8,0.5,0.5","17,17,17,17,17","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","34.57,35.02,33.77,34.28,33.32","-111.00,-111.00,-111.00,-111.00,-111.00","91,-99,96,-99,82","11,-99,11,-99,-4","100,100,100,100,100","{-80,-85,-84,-74},{-71,-76,-79,-71},{-72,-63,-60,-62}","{28.89,30.10,-inf,-inf},{33.58,29.43,26.28,32.35},{25.39,34.80,-inf,-inf}","2-cmnet,1-8",0,{191},4
2025-10-25 20:54:38.018,1885,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","-1,3,3,3,3","9,10,8,3,9","-1,21,25,21,22","3,9,1,6,6","1,8,0,1,2","-99,-99,4,-99,-99","-99.00,0.00,0.50,0.00,0.00","0.00,0.00,0.00,0.00,0.00","-99.0,11.0,0.7,-7.3,-2.0","-99.0,21.0,21.0,21.0,21.0","8.4,8.5,8.4,8.5,8.5","-1,-1,102,-1,-1","-1.0,1.0,1.0,1.0,1.0","0.5,0.8,0.3,0.6,0.5","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","0,754,0,334,0","0.5,0.5,0.5,0.5,0.5","17,17,17,17,17","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","33.05,34.57,34.63,34.38,33.13","-111.00,-111.00,-111.00,-111.00,-111.00","-99,94,84,76,71","-99,11,0,-7,-2","100,100,100,100,100","{-73,-77,-79,-76},{-85,-58,-63,-61},{-52,-63,-73,-62}","{33.53,34.85,-inf,-inf},{23.30,36.44,-inf,-inf},{35.95,28.34,-inf,-inf}","2-cmnet,1-8",0,{191},4
2025-10-25 20:54:39.046,1893,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","-1,3,-1,3,3","7,2,16,11,13","-1,23,-1,21,21","1,14,5,9,8","0,0,0,11,9","-99,-99,-99,5,4","-99.00,0.00,-99.00,0.15,0.00","0.00,0.00,0.00,0.00,0.00","-99.0,11.3,-99.0,-4.8,-1.9","-99.0,24.0,-99.0,22.0,21.0","8.5,8.3,8.5,8.5,8.5","-1,-1,-1,-1,-1","-1.0,1.0,-1.0,1.0,1.0","0.3,0.0,1.0,0.8,0.8","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","0,75,0,431,240","0.5,0.8,0.5,0.5,0.5","17,17,17,17,17","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","35.02,33.77,34.28,33.32,34.46","-111.00,-111.00,-111.00,-111.00,-111.00","-99,96,-99,82,70","-99,11,-99,-4,-1","100,100,100,100,100","{-78,-79,-85,-80},{-62,-61,-64,-60},{-57,-61,-71,-55}","{31.38,30.18,31.35,28.99},{25.91,34.71,31.70,31.64},{30.04,27.85,-inf,-inf}","2-cmnet,1-8",0,{191},4
2025-10-25 20:54:40.105,1902,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","3,3,3,3,3","10,8,3,9,10","21,25,21,22,21","9,1,6,6,12","8,0,1,2,5","-99,4,-99,-99,-99","0.00,0.50,0.00,0.00,0.00","0.00,0.00,0.00,0.00,0.00","11.0,0.7,-7.3,-2.0,-1.5","21.0,21.0,21.0,21.0,21.0","8.5,8.4,8.5,8.5,8.5","-1,102,-1,-1,-1","1.0,1.0,1.0,1.0,1.0","0.8,0.3,0.6,0.5,1.0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","754,0,334,0,140","0.5,0.5,0.5,0.5,0.5","17,17,17,17,17","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","34.57,34.63,34.38,33.13,34.39","-111.00,-111.00,-111.00,-111.00,-111.00","94,84,76,71,76","11,0,-7,-2,-1","100,100,100,100,100","{-74,-68,-81,-78},{-64,-64,-63,-61},{-63,-78,-75,-66}","{31.64,33.35,32.17,30.24},{27.83,32.65,-inf,-inf},{32.88,31.45,-inf,-inf}","2-cmnet,1-8",0,{191},4
2025-10-25 20:54:41.134,1914,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","3,-1,3,3,3","2,16,11,13,11","23,-1,21,21,22","14,5,9,8,8","0,0,11,9,7","-99,-99,5,4,-99","0.00,-99.00,0.15,0.00,0.00","0.00,0.00,0.00,0.00,0.00","11.3,-99.0,-4.8,-1.9,-0.6","24.0,-99.0,22.0,21.0,20.0","8.3,8.5,8.5,8.5,8.5","-1,-1,-1,-1,-1","1.0,-1.0,1.0,1.0,1.0","0.0,1.0,0.8,0.8,0.8","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","75,0,431,240,308","0.8,0.5,0.5,0.5,0.5","17,17,17,17,17","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","33.77,34.28,33.32,34.46,33.78","-111.00,-111.00,-111.00,-111.00,-111.00","96,-99,82,70,83","11,-99,-4,-1,0","100,100,100,100,100","{-81,-71,-77,-72},{-72,-63,-60,-62},{-72,-82,-69,-71}","{30.02,36.88,-inf,-inf},{25.39,34.80,-inf,-inf},{28.12,32.74,-inf,-inf}","2-cmnet,1-8",0,{191},4
2025-10-25 20:54:42.154,1921,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","3,3,3,3,3","8,3,9,10,16","25,21,22,21,21","1,6,6,12,10","0,1,2,5,7","4,-99,-99,-99,4","0.50,0.00,0.00,0.00,0.10","0.00,0.00,0.00,0.00,0.00","0.7,-7.3,-2.0,-1.5,0.2","21.0,21.0,21.0,21.0,20.0","8.4,8.5,8.5,8.5,8.5","102,-1,-1,-1,-1","1.0,1.0,1.0,1.0,1.0","0.3,0.6,0.5,1.0,1.0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","0,334,0,140,72","0.5,0.5,0.5,0.5,0.5","17,17,17,17,17","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","34.63,34.38,33.13,34.39,33.68","-111.00,-111.00,-111.00,-111.00,-111.00","84,76,71,76,87","0,-7,-2,-1,0","100,100,100,100,100","{-71,-76,-79,-71},{-52,-63,-73,-62},{-67,-86,-71,-65}","{33.58,29.43,26.28,32.35},{35.95,28.34,-inf,-inf},{36.29,28.82,-inf,-inf}","2-cmnet,1-8",0,{191},4
2025-10-25 20:54:43.187,1934,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","-1,3,3,3,-1","16,11,13,11,16","-1,21,21,22,-1","5,9,8,8,6","0,11,9,7,0","-99,5,4,-99,-99","-99.00,0.15,0.00,0.00,-99.00","0.00,0.00,0.00,0.00,0.00","-99.0,-4.8,-1.9,-0.6,-99.0","-99.0,22.0,21.0,20.0,-99.0","8.5,8.5,8.5,8.5,8.4","-1,-1,-1,-1,-1","-1.0,1.0,1.0,1.0,-1.0","1.0,0.8,0.8,0.8,1.0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","0,431,240,308,156","0.5,0.5,0.5,0.5,0.5","17,17,17,17,17","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","34.28,33.32,34.46,33.78,32.10","-111.00,-111.00,-111.00,-111.00,-111.00","-99,82,70,83,-99","-99,-4,-1,0,-99","100,100,100,100,100","{-85,-58,-63,-61},{-57,-61,-71,-55},{-84,-72,-90,-78}","{23.30,36.44,-inf,-inf},{30.04,27.85,-inf,-inf},{30.57,29.33,26.93,31.05}","2-cmnet,1-8",0,{191},4
2025-10-25 20:54:44.206,1938,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","3,3,3,3,3","3,9,10,16,16","21,22,21,21,21","6,6,12,10,11","1,2,5,7,11","-99,-99,-99,4,4","0.00,0.00,0.00,0.10,0.00","0.00,0.00,0.00,0.00,0.00","-7.3,-2.0,-1.5,0.2,14.4","21.0,21.0,21.0,20.0,21.0","8.5,8.5,8.5,8.5,8.5","-1,-1,-1,-1,-1","1.0,1.0,1.0,1.0,1.0","0.6,0.5,1.0,1.0,1.0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","334,0,140,72,224","0.5,0.5,0.5,0.5,0.5","17,17,17,17,17","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","34.38,33.13,34.39,33.68,31.64","-111.00,-111.00,-111.00,-111.00,-111.00","76,71,76,87,95","-7,-2,-1,0,14","100,100,100,100,100","{-62,-61,-64,-60},{-63,-78,-75,-66},{-80,-79,-89,-80}","{25.91,34.71,31.70,31.64},{32.88,31.45,-inf,-inf},{28.54,32.04,-inf,-inf}","2-cmnet,1-8",0,{191},4
2025-10-25 20:54:45.301,1947,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","3,3,3,3,3","9,10,16,16,13","22,21,21,21,20","6,12,10,11,15","2,5,7,11,76","-99,-99,4,4,21","0.00,0.00,0.10,0.00,0.02","0.00,0.00,0.00,0.00,0.07","-2.0,-1.5,0.2,14.4,22.6","21.0,21.0,20.0,21.0,22.0","8.5,8.5,8.5,8.5,8.1","-1,-1,-1,-1,809","1.0,1.0,1.0,1.0,1.0","0.5,1.0,1.0,1.0,1.0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","0,140,72,224,18147","0.5,0.5,0.5,0.5,0.5","17,17,17,17,17","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","33.13,34.39,33.68,31.64,30.98","-111.00,-111.00,-111.00,-111.00,-111.00","71,76,87,95,105","-2,-1,0,14,24","100,100,100,100,100","{-72,-63,-60,-62},{-67,-86,-71,-65},{-91,-85,-93,-84}","{25.39,34.80,-inf,-inf},{36.29,28.82,-inf,-inf},{24.74,32.20,-inf,-inf}","2-cmnet,1-8",0,{191},4
