timestamp,line_number,mn_cc,mn_redrt,mn_rre_count,mn_rach_fail,mn_rlf_num,mn_ota_irat,mn_irat,mn_u_r,mn_d_r,mn_u_m,mn_d_m,mn_d_g,mn_u_g,mn_u_b,mn_d_b,mn_txp_md,mn_mtpl,mn_cqi,mn_mac,mn_pu_m_l,mn_pd_m_l,mn_rlf_cause,mn_retr,mn_pp_s,mn_pp_dis,mn_pp_r,mn_ri,mn_prach_cfg,mn_pre_for,mn_o_fail,mn_ph_dis,mn_ssnr,mn_tsnr,mn_path_loss,mn_target_pwr,mn_bandwidth,mn_rsrp_4,mn_snr_4,qos,rf_sul_state,rf_sul_band,mn_ver
2025-10-26 19:50:12.262,722,1,0,0,0,0,"9,9,9,9,9","9,9,9,9,9","10,2,-1,-1,10","4,6,4,4,3","25,21,-1,-1,25","4,11,0,0,13","0,2,0,0,0","0,6,-99,-99,0","0.00,0.05,0.00,-99.00,0.00","0.00,0.07,0.00,0.00,0.00","-8.0,2.0,0.0,-99.0,4.0","0.0,0.0,0.0,-99.0,0.0","-1.0,-1.0,-1.0,-1.0,-1.0","1552,343,-1,-1,0","-1.0,-1.0,-1.0,-1.0,-1.0","-1.0,-1.0,-1.0,-1.0,-1.0","-1,-1,-1,-1,-1","0.02,0.02,0.02,0.02,-1.00","207,146,0,0,-99","0.00,0.00,0.00,0.00,-1.00","49974,2224,1556,1556,1696","-1.0,-1.0,-1.0,-1.0,-1.0","0,0,0,0,0","0,0,0,0,0","-1,-1,-1,-1,-1","0.00,0.14,0.00,0.00,0.00","-111.00,-111.00,-111.00,-111.00,-111.00","-111.00,-111.00,-111.00,-111.00,-111.00","65,94,92,-99,88","504,11,0,-99,4","20,20,20,20,20","{-80,-86,-86,-256},{-77,-86,-86,-256},{-108,-72,-72,-256}","{31.20,63.10,-20.00,-20.00},{31.20,16.70,-20.00,-20.00},{31.20,43.20,-20.00,-20.00}","1-cbnet,5-9;2-ims,6-5",0,{},4
2025-10-26 19:50:13.289,732,1,0,0,1,0,"9,9,9,9,9","9,9,9,9,9","10,2,-1,-1,2","4,4,4,3,4","25,23,-1,-1,22","4,4,0,15,16","0,0,0,1,3","0,5,-99,2,6","-99.00,0.00,0.00,0.00,0.12","0.00,0.00,0.00,0.13,0.00","-5.0,1.0,-99.0,-99.0,-2.0","0.0,0.0,-99.0,-99.0,0.0","14.0,-1.0,-1.0,-1.0,15.0","388,49,-1,1164,27","-1.0,-1.0,-1.0,-1.0,-1.0","-1.0,-1.0,-1.0,-1.0,-1.0","-1,-1,-1,-1,-1","0.02,0.02,-1.00,0.02,0.00","38,52,-99,146,-131883","0.00,0.00,-1.00,0.00,0.00","49974,3112,1556,2400,853","0.0,-1.0,-1.0,-1.0,0.0","0,0,0,0,0","0,0,0,0,0","-1,-1,-1,-1,-1","0.00,0.00,0.00,0.00,0.25","-111.00,-111.00,-111.00,-111.00,-111.00","-111.00,-111.00,-111.00,-111.00,-111.00","69,93,-99,-99,85","507,1,-99,-99,509","20,20,20,20,20","{-78,-84,-84,-256},{-82,-78,-78,-256},{-73,-92,-92,-256}","{56.80,63.70,-20.00,-20.00},{-20.00,42.60,-20.00,-20.00},{-20.00,17.60,-20.00,-20.00}","1-cbnet,5-9;2-ims,6-5",0,"{159,159}",4
2025-10-26 19:50:14.309,739,1,0,0,1,0,"9,9,9,9,9","9,9,9,9,9","2,-1,-1,10,2","6,4,4,3,4","21,-1,-1,25,26","11,0,0,13,4","2,0,0,0,0","6,-99,-99,0,8","0.05,0.00,-99.00,0.00,0.00","0.07,0.00,0.00,0.00,0.00","2.0,0.0,-99.0,4.0,-2.0","0.0,0.0,-99.0,0.0,0.0","-1.0,-1.0,-1.0,-1.0,-1.0","343,-1,-1,0,0","-1.0,-1.0,-1.0,-1.0,-1.0","-1.0,-1.0,-1.0,-1.0,-1.0","-1,-1,-1,-1,-1","0.02,0.02,0.02,-1.00,0.00","146,0,0,-99,354","0.00,0.00,0.00,-1.00,0.00","2224,1556,1556,1696,3722","-1.0,-1.0,-1.0,-1.0,-1.0","0,0,0,0,0","0,0,0,0,0","-1,-1,-1,-1,-1","0.14,0.00,0.00,0.00,0.00","-111.00,-111.00,-111.00,-111.00,-111.00","-111.00,-111.00,-111.00,-111.00,-111.00","94,92,-99,88,85","11,0,-99,4,485","20,20,20,20,20","{-84,-79,-79,-256},{-81,-77,-77,-256},{-73,-94,-94,-256}","{5.60,35.80,-20.00,-20.00},{5.60,-11.20,-20.00,-20.00},{31.20,43.00,-20.00,-20.00}","1-cbnet,5-9;2-ims,6-5",0,"{159,159}",4
2025-10-26 19:50:15.340,746,0,0,0,1,0,"9,9,9,9,9","9,9,9,9,9","2,-1,-1,2,2","4,4,3,4,4","23,-1,-1,22,26","4,0,15,16,3","0,0,1,3,0","5,-99,2,6,4","0.00,0.00,0.00,0.12,0.00","0.00,0.00,0.13,0.00,0.00","1.0,-99.0,-99.0,-2.0,-99.0","0.0,-99.0,-99.0,0.0,-99.0","-1.0,-1.0,-1.0,15.0,-1.0","49,-1,1164,27,70","-1.0,-1.0,-1.0,-1.0,-1.0","-1.0,-1.0,-1.0,-1.0,-1.0","-1,-1,-1,-1,-1","0.02,-1.00,0.02,0.00,-1.00","52,-99,146,-131883,-99","0.00,-1.00,0.00,0.00,-1.00","3112,1556,2400,853,3263","-1.0,-1.0,-1.0,0.0,-1.0","0,0,0,0,0","0,0,0,0,0","-1,-1,-1,-1,-1","0.00,0.00,0.00,0.25,0.00","-111.00,-111.00,-111.00,-111.00,-111.00","-111.00,-111.00,-111.00,-111.00,-111.00","93,-99,-99,85,-99","1,-99,-99,509,-99","20,20,20,20,20","{-78,-84,-84,-256},{-73,-92,-92,-256},{-72,-84,-84,-256}","{31.20,64.70,-20.00,-20.00},{31.20,42.50,-20.00,-20.00},{5.60,18.30,-20.00,-20.00}","1-cbnet,5-9;2-ims,6-5",0,"{159,159}",4
2025-10-26 19:50:16.364,756,0,0,0,1,0,"9,9,9,9,9","9,9,9,9,9","-1,-1,10,2,10","4,4,3,4,4","-1,-1,25,26,25","0,0,13,4,12","0,0,0,0,1","-99,-99,0,8,1","0.00,-99.00,0.00,0.00,0.00","0.00,0.00,0.00,0.00,0.00","0.0,-99.0,4.0,-2.0,-1.0","0.0,-99.0,0.0,0.0,0.0","-1.0,-1.0,-1.0,-1.0,-1.0","-1,-1,0,0,531","-1.0,-1.0,-1.0,-1.0,-1.0","-1.0,-1.0,-1.0,-1.0,-1.0","-1,-1,-1,-1,-1","0.02,0.02,-1.00,0.00,0.00","0,0,-99,354,318","0.00,0.00,-1.00,0.00,0.00","1556,1556,1696,3722,2537","-1.0,-1.0,-1.0,-1.0,-1.0","0,0,0,0,0","0,0,0,0,0","-1,-1,-1,-1,-1","0.00,0.00,0.00,0.00,0.00","-111.00,-111.00,-111.00,-111.00,-111.00","-111.00,-111.00,-111.00,-111.00,-111.00","92,-99,88,85,84","0,-99,4,485,446","20,20,20,20,20","{-80,-79,-79,-256},{-108,-72,-72,-256},{-72,-84,-84,-256}","{31.20,69.80,-20.00,-20.00},{31.20,43.20,-20.00,-20.00},{56.80,-10.10,-20.00,-20.00}","1-cbnet,5-9;2-ims,6-5",0,"{159,159}",4
2025-10-26 19:50:17.393,765,0,0,0,1,0,"9,9,9,9,9","9,9,9,9,9","-1,-1,2,2,2","4,3,4,4,4","-1,-1,22,26,26","0,15,16,3,6","0,1,3,0,0","-99,2,6,4,3","0.00,0.00,0.12,0.00,-99.00","0.00,0.13,0.00,0.00,0.00","-99.0,-99.0,-2.0,-99.0,0.0","-99.0,-99.0,0.0,-99.0,0.0","-1.0,-1.0,15.0,-1.0,-1.0","-1,1164,27,70,102","-1.0,-1.0,-1.0,-1.0,-1.0","-1.0,-1.0,-1.0,-1.0,-1.0","-1,-1,-1,-1,-1","-1.00,0.02,0.00,-1.00,0.00","-99,146,-131883,-99,236","-1.00,0.00,0.00,-1.00,0.00","1556,2400,853,3263,4429","-1.0,-1.0,0.0,-1.0,-1.0","0,0,0,0,0","0,0,0,0,0","-1,-1,-1,-1,-1","0.00,0.00,0.25,0.00,0.00","-111.00,-111.00,-111.00,-111.00,-111.00","-111.00,-111.00,-111.00,-111.00,-111.00","-99,-99,85,-99,85","-99,-99,509,-99,361","20,20,20,20,20","{-77,-86,-86,-256},{-73,-92,-92,-256},{-72,-83,-83,-256}","{31.20,16.70,-20.00,-20.00},{-20.00,17.60,-20.00,-20.00},{5.60,17.10,-20.00,-20.00}","1-cbnet,5-9;2-ims,6-5",0,"{159,159}",4
2025-10-26 19:50:18.419,773,0,0,0,1,0,"9,9,9,9,9","9,9,9,9,9","-1,-1,2,2,2","4,3,4,4,4","-1,-1,22,26,26","0,15,16,3,6","0,1,3,0,0","-99,2,6,4,3","0.00,0.00,0.12,0.00,-99.00","0.00,0.13,0.00,0.00,0.00","-99.0,-99.0,-2.0,-99.0,0.0","-99.0,-99.0,0.0,-99.0,0.0","-1.0,-1.0,15.0,-1.0,-1.0","-1,1164,27,70,102","-1.0,-1.0,-1.0,-1.0,-1.0","-1.0,-1.0,-1.0,-1.0,-1.0","-1,-1,-1,-1,-1","-1.00,0.02,0.00,-1.00,0.00","-99,146,-131883,-99,236","-1.00,0.00,0.00,-1.00,0.00","1556,2400,853,3263,4429","-1.0,-1.0,0.0,-1.0,-1.0","0,0,0,0,0","0,0,0,0,0","-1,-1,-1,-1,-1","0.00,0.00,0.25,0.00,0.00","-111.00,-111.00,-111.00,-111.00,-111.00","-111.00,-111.00,-111.00,-111.00,-111.00","-99,-99,85,-99,85","-99,-99,509,-99,361","20,20,20,20,20","{-73,-85,-85,-256},{-73,-92,-92,-256},{-72,-83,-83,-256}","{56.80,43.10,-20.00,-20.00},{-20.00,17.60,-20.00,-20.00},{5.60,17.10,-20.00,-20.00}","1-cbnet,5-9;2-ims,6-5",0,"{159,159}",4
2025-10-26 19:50:19.443,781,0,0,0,1,0,"9,9,9,9,9","9,9,9,9,9","-1,2,2,2,4","3,4,4,4,4","-1,22,26,26,25","15,16,3,6,3","1,3,0,0,0","2,6,4,3,1","0.00,0.12,0.00,-99.00,0.00","0.13,0.00,0.00,0.00,0.00","-99.0,-2.0,-99.0,0.0,-99.0","-99.0,0.0,-99.0,0.0,-99.0","-1.0,15.0,-1.0,-1.0,-1.0","1164,27,70,102,531","-1.0,-1.0,-1.0,-1.0,-1.0","-1.0,-1.0,-1.0,-1.0,-1.0","-1,-1,-1,-1,-1","0.02,0.00,-1.00,0.00,0.00","146,-131883,-99,236,328","0.00,0.00,-1.00,0.00,0.00","2400,853,3263,4429,3659","-1.0,0.0,-1.0,-1.0,-1.0","0,0,0,0,0","0,0,0,0,0","-1,-1,-1,-1,-1","0.00,0.25,0.00,0.00,0.00","-111.00,-111.00,-111.00,-111.00,-111.00","-111.00,-111.00,-111.00,-111.00,-111.00","-99,85,-99,85,-99","-99,509,-99,361,-99","20,20,20,20,20","{-81,-77,-77,-256},{-72,-84,-84,-256},{-72,-83,-83,-256}","{5.60,-11.20,-20.00,-20.00},{5.60,18.30,-20.00,-20.00},{31.20,43.40,-20.00,-20.00}","1-cbnet,5-9;2-ims,6-5",0,"{159,159}",4
2025-10-26 19:50:20.475,789,0,0,0,1,0,"9,9,9,9,9","9,9,9,9,9","-1,2,2,2,4","3,4,4,4,4","-1,22,26,26,25","15,16,3,6,3","1,3,0,0,0","2,6,4,3,1","0.00,0.12,0.00,-99.00,0.00","0.13,0.00,0.00,0.00,0.00","-99.0,-2.0,-99.0,0.0,-99.0","-99.0,0.0,-99.0,0.0,-99.0","-1.0,15.0,-1.0,-1.0,-1.0","1164,27,70,102,531","-1.0,-1.0,-1.0,-1.0,-1.0","-1.0,-1.0,-1.0,-1.0,-1.0","-1,-1,-1,-1,-1","0.02,0.00,-1.00,0.00,0.00","146,-131883,-99,236,328","0.00,0.00,-1.00,0.00,0.00","2400,853,3263,4429,3659","-1.0,0.0,-1.0,-1.0,-1.0","0,0,0,0,0","0,0,0,0,0","-1,-1,-1,-1,-1","0.00,0.25,0.00,0.00,0.00","-111.00,-111.00,-111.00,-111.00,-111.00","-111.00,-111.00,-111.00,-111.00,-111.00","-99,85,-99,85,-99","-99,509,-99,361,-99","20,20,20,20,20","{-71,-86,-86,-256},{-72,-84,-84,-256},{-72,-83,-83,-256}","{56.80,-7.80,-20.00,-20.00},{5.60,18.30,-20.00,-20.00},{31.20,43.40,-20.00,-20.00}","1-cbnet,5-9;2-ims,6-5",0,"{159,159}",4
2025-10-26 19:50:21.502,797,0,0,0,1,0,"9,9,9,9,9","9,9,9,9,9","2,2,2,4,5","4,4,4,4,4","22,26,26,25,25","16,3,6,3,8","3,0,0,0,3","6,4,3,1,10","0.12,0.00,-99.00,0.00,0.00","0.00,0.00,0.00,0.00,0.00","-2.0,-99.0,0.0,-99.0,0.0","0.0,-99.0,0.0,-99.0,0.0","15.0,-1.0,-1.0,-1.0,-1.0","27,70,102,531,709","-1.0,-1.0,-1.0,-1.0,-1.0","-1.0,-1.0,-1.0,-1.0,-1.0","-1,-1,-1,-1,-1","0.00,-1.00,0.00,0.00,0.00","-131883,-99,236,328,6428","0.00,-1.00,0.00,0.00,0.00","853,3263,4429,3659,11839","0.0,-1.0,-1.0,-1.0,-1.0","0,0,0,0,0","0,0,0,0,0","-1,-1,-1,-1,-1","0.25,0.00,0.00,0.00,0.00","-111.00,-111.00,-111.00,-111.00,-111.00","-111.00,-111.00,-111.00,-111.00,-111.00","85,-99,85,-99,84","509,-99,361,-99,306","20,20,20,20,20","{-108,-72,-72,-256},{-72,-83,-83,-256},{-74,-83,-83,-256}","{31.20,43.20,-20.00,-20.00},{5.60,17.10,-20.00,-20.00},{31.20,40.60,-20.00,-20.00}","1-cbnet,5-9;2-ims,6-5",0,"{159,159}",4
2025-10-26 19:50:22.529,804,0,0,0,1,0,"9,9,9,9,9","9,9,9,9,9","2,10,5,-1,4","4,4,4,4,4","26,25,25,-1,26","4,12,9,8,8","0,1,0,0,2","8,1,2,1,3","0.00,0.00,0.06,0.00,-99.00","0.00,0.00,0.00,0.00,0.00","-2.0,-1.0,1.0,0.0,1.0","0.0,0.0,0.0,0.0,0.0","-1.0,-1.0,-1.0,-1.0,-1.0","0,531,531,531,212","-1.0,-1.0,-1.0,-1.0,-1.0","-1.0,-1.0,-1.0,-1.0,-1.0","-1,-1,-1,-1,-1","0.00,0.00,-1.00,0.00,-1.00","354,318,-99,318,-99","0.00,0.00,-1.00,0.00,-1.00","3722,2537,5185,3969,10103","-1.0,-1.0,-1.0,-1.0,-1.0","0,0,0,0,0","0,0,0,0,0","-1,-1,-1,-1,-1","0.00,0.00,0.00,0.00,0.00","-111.00,-111.00,-111.00,-111.00,-111.00","-111.00,-111.00,-111.00,-111.00,-111.00","85,84,84,85,85","485,446,86,256,248","20,20,20,20,20","{-73,-92,-92,-256},{-73,-85,-85,-256},{-71,-85,-85,-256}","{-20.00,17.60,-20.00,-20.00},{56.80,43.10,-20.00,-20.00},{-20.00,-7.20,-20.00,-20.00}","1-cbnet,5-9;2-ims,6-5",0,"{159,159}",4
