timestamp,line_number,mn_cc,mn_redrt,mn_rre_count,mn_rach_fail,mn_rlf_num,mn_ota_irat,mn_irat,mn_u_r,mn_d_r,mn_u_m,mn_d_m,mn_d_g,mn_u_g,mn_u_b,mn_d_b,mn_txp_md,mn_mtpl,mn_cqi,mn_mac,mn_pu_m_l,mn_pd_m_l,mn_rlf_cause,mn_retr,mn_pp_s,mn_pp_dis,mn_pp_r,mn_ri,mn_prach_cfg,mn_pre_for,mn_o_fail,mn_ph_dis,mn_ssnr,mn_tsnr,mn_path_loss,mn_target_pwr,mn_bandwidth,mn_rsrp_4,mn_snr_4,qos,rf_sul_state,rf_sul_band,mn_ver
2025-12-03 23:56:25.812,111,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","-1,3,-1,-1,4","-1,13,5,-1,13","-1,10,-1,-1,16","-1,0,0,-1,0","-99,0,0,-99,2","-99,3,-99,-99,8","-99.00,0.00,-99.00,-99.00,0.16","-99.00,0.00,0.00,-99.00,0.00","-99.0,23.8,-99.0,-99.0,22.9","-99.0,23.0,-99.0,-99.0,23.0","-99.0,4.5,-99.0,-99.0,5.3","-1,88,-1,-1,244","-1.0,1.0,-1.0,-1.0,1.0","-1.0,1.0,0.0,-1.0,1.0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","0,222,0,0,842","-1.0,1.0,-1.0,-1.0,1.0","18,18,18,18,18","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","16.91,16.69,14.97,15.64,15.59","18.40,17.77,17.79,17.68,17.80","-99,118,-99,-99,118","-99,26,-99,-99,24","30,30,30,30,30","{-100,-99,-140,-140},{-103,-101,-140,-140},{-99,-105,-140,-140}","{17.48,18.34,-inf,-inf},{17.47,17.89,-inf,-inf},{15.92,10.71,-inf,-inf}","1-ims,1-5;2-cbnet,1-9",0,{189},4
2025-12-03 23:56:26.838,123,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","-1,-1,3,-1,3","3,-1,16,-1,16","-1,-1,6,-1,13","0,-1,0,-1,0","0,-99,0,-99,0","-99,-99,-99,-99,4","-99.00,-99.00,0.00,-99.00,0.00","0.00,-99.00,0.00,-99.00,0.00","-99.0,-99.0,24.3,-99.0,23.4","-99.0,-99.0,24.0,-99.0,23.0","-99.0,-99.0,-99.0,-99.0,5.0","-1,-1,-1,-1,1038","-1.0,-1.0,1.0,-1.0,1.0","0.0,-1.0,1.0,-1.0,1.0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","0,0,40,0,422","-1.0,-1.0,-1.0,-1.0,1.0","18,18,18,18,18","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","16.11,15.55,16.70,15.51,16.10","17.90,17.85,17.96,17.88,17.89","-99,-99,120,-99,117","-99,-99,25,-99,24","30,30,30,30,30","{-101,-101,-140,-140},{-102,-101,-140,-140},{-100,-104,-140,-140}","{17.06,17.47,-inf,-inf},{17.49,17.90,-inf,-inf},{17.04,11.72,-inf,-inf}","1-ims,1-5;2-cbnet,1-9",0,{189},4
2025-12-03 23:56:27.855,130,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","3,-1,-1,4,3","13,5,-1,13,13","10,-1,-1,16,13","0,0,-1,0,0","0,0,-99,2,0","3,-99,-99,8,-99","0.00,-99.00,-99.00,0.16,0.00","0.00,0.00,-99.00,0.00,0.00","23.8,-99.0,-99.0,22.9,23.8","23.0,-99.0,-99.0,23.0,23.0","4.5,-99.0,-99.0,5.3,-99.0","88,-1,-1,244,-1","1.0,-1.0,-1.0,1.0,1.0","1.0,0.0,-1.0,1.0,1.0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","222,0,0,842,91","1.0,-1.0,-1.0,1.0,-1.0","18,18,18,18,18","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","16.69,14.97,15.64,15.59,16.23","17.77,17.79,17.68,17.80,18.03","118,-99,-99,118,120","26,-99,-99,24,26","30,30,30,30,30","{-100,-101,-140,-140},{-103,-101,-140,-140},{-103,-99,-140,-140}","{17.87,17.59,-inf,-inf},{17.17,17.77,-inf,-inf},{11.17,17.33,-inf,-inf}","1-ims,1-5;2-cbnet,1-9",0,{189},4
2025-12-03 23:56:29.047,139,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","-1,3,-1,3,3","-1,16,-1,16,10","-1,6,-1,13,11","-1,0,-1,0,0","-99,0,-99,0,0","-99,-99,-99,4,2","-99.00,0.00,-99.00,0.00,0.00","-99.00,0.00,-99.00,0.00,0.00","-99.0,24.3,-99.0,23.4,23.4","-99.0,24.0,-99.0,23.0,23.0","-99.0,-99.0,-99.0,5.0,7.0","-1,-1,-1,1038,-1","-1.0,1.0,-1.0,1.0,1.0","-1.0,1.0,-1.0,1.0,0.9","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","0,40,0,422,175","-1.0,-1.0,-1.0,1.0,1.0","18,18,18,18,18","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","15.55,16.70,15.51,16.10,16.60","17.85,17.96,17.88,17.89,18.51","-99,120,-99,117,118","-99,25,-99,24,25","30,30,30,30,30","{-101,-101,-140,-140},{-101,-101,-140,-140},{-98,-106,-140,-140}","{17.45,17.95,-inf,-inf},{17.48,17.69,-inf,-inf},{16.10,11.08,-inf,-inf}","1-ims,1-5;2-cbnet,1-9",0,{189},4
2025-12-03 23:56:30.118,147,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","3,-1,3,3,12","16,-1,16,10,13","6,-1,13,11,10","0,-1,0,0,5","0,-99,0,0,138","-99,-99,4,2,130","0.00,-99.00,0.00,0.00,0.11","0.00,-99.00,0.00,0.00,0.22","24.3,-99.0,23.4,23.4,23.9","24.0,-99.0,23.0,23.0,24.0","-99.0,-99.0,5.0,7.0,1.6","-1,-1,1038,-1,1214","1.0,-1.0,1.0,1.0,1.0","1.0,-1.0,1.0,0.9,1.0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","40,0,422,175,121777","-1.0,-1.0,1.0,1.0,1.0","18,18,18,18,18","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","16.70,15.51,16.10,16.60,17.67","17.96,17.88,17.89,18.51,12.88","120,-99,117,118,119","25,-99,24,25,27","30,30,30,30,30","{-103,-101,-140,-140},{-100,-104,-140,-140},{-100,-105,-140,-140}","{17.47,17.89,-inf,-inf},{17.04,11.72,-inf,-inf},{16.45,8.12,-inf,-inf}","1-ims,1-5;2-cbnet,1-9",0,{189},4
2025-12-03 23:56:31.148,154,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","-1,4,3,9,12","-1,13,13,12,10","-1,16,13,16,13","-1,0,0,3,1","-99,2,0,54,2","-99,8,-99,69,8","-99.00,0.16,0.00,0.07,0.14","-99.00,0.00,0.00,0.17,0.00","-99.0,22.9,23.8,23.0,23.6","-99.0,23.0,23.0,23.0,23.0","-99.0,5.3,-99.0,4.6,1.0","-1,244,-1,818,808","-1.0,1.0,1.0,1.0,1.0","-1.0,1.0,1.0,1.0,0.9","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","0,842,91,47080,10563","-1.0,1.0,-1.0,1.0,1.0","18,18,18,18,18","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","15.64,15.59,16.23,17.34,16.91","17.68,17.80,18.03,18.15,11.70","-99,118,120,121,118","-99,24,26,26,26","30,30,30,30,30","{-102,-101,-140,-140},{-103,-99,-140,-140},{-101,-103,-140,-140}","{17.49,17.90,-inf,-inf},{11.17,17.33,-inf,-inf},{12.00,12.45,-inf,-inf}","1-ims,1-5;2-cbnet,1-9",0,{189},4
2025-12-03 23:56:32.171,161,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","-1,3,3,12,10","-1,16,10,13,12","-1,13,11,10,16","-1,0,0,5,3","-99,0,0,138,7","-99,4,2,130,17","-99.00,0.00,0.00,0.11,0.24","-99.00,0.00,0.00,0.22,0.22","-99.0,23.4,23.4,23.9,23.0","-99.0,23.0,23.0,24.0,23.0","-99.0,5.0,7.0,1.6,7.6","-1,1038,-1,1214,303","-1.0,1.0,1.0,1.0,1.0","-1.0,1.0,0.9,1.0,0.1","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","0,422,175,121777,1119","-1.0,1.0,1.0,1.0,0.4","18,18,18,18,18","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","15.51,16.10,16.60,17.67,17.13","17.88,17.89,18.51,12.88,11.77","-99,117,118,119,118","-99,24,25,27,24","30,30,30,30,30","{-103,-101,-140,-140},{-98,-106,-140,-140},{-100,-105,-140,-140}","{17.17,17.77,-inf,-inf},{16.10,11.08,-inf,-inf},{10.35,11.83,-inf,-inf}","1-ims,1-5;2-cbnet,1-9",0,{189},4
2025-12-03 23:56:33.201,168,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","4,3,9,12,10","13,13,12,10,17","16,13,16,13,13","0,0,3,1,1","2,0,54,2,42","8,-99,69,8,49","0.16,0.00,0.07,0.14,0.13","0.00,0.00,0.17,0.00,0.06","22.9,23.8,23.0,23.6,23.6","23.0,23.0,23.0,23.0,23.0","5.3,-99.0,4.6,1.0,3.6","244,-1,818,808,592","1.0,1.0,1.0,1.0,1.0","1.0,1.0,1.0,0.9,0.9","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","842,91,47080,10563,41958","1.0,-1.0,1.0,1.0,0.9","18,18,18,18,18","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","15.59,16.23,17.34,16.91,14.67","17.80,18.03,18.15,11.70,11.62","118,120,121,118,120","24,26,26,26,26","30,30,30,30,30","{-101,-101,-140,-140},{-101,-103,-140,-140},{-106,-105,-140,-140}","{17.48,17.69,-inf,-inf},{16.49,12.36,-inf,-inf},{18.33,8.03,-inf,-inf}","1-ims,1-5;2-cbnet,1-9",0,{189},4
2025-12-03 23:56:34.227,175,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","3,3,12,10,3","16,10,13,12,14","13,11,10,16,11","0,0,5,3,2","0,0,138,7,9","4,2,130,17,15","0.00,0.00,0.11,0.24,0.07","0.00,0.00,0.22,0.22,0.11","23.4,23.4,23.9,23.0,23.9","23.0,23.0,24.0,23.0,23.0","5.0,7.0,1.6,7.6,7.0","1038,-1,1214,303,276","1.0,1.0,1.0,1.0,1.0","1.0,0.9,1.0,0.1,0.2","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","422,175,121777,1119,7462","1.0,1.0,1.0,0.4,0.5","18,18,18,18,18","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","16.10,16.60,17.67,17.13,14.66","17.89,18.51,12.88,11.77,13.76","117,118,119,118,125","24,25,27,24,26","30,30,30,30,30","{-99,-105,-140,-140},{-100,-105,-140,-140},{-108,-108,-140,-140}","{15.92,10.71,-inf,-inf},{16.45,8.12,-inf,-inf},{13.18,5.00,-inf,-inf}","1-ims,1-5;2-cbnet,1-9",0,{189},4
2025-12-03 23:56:35.254,182,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","3,9,12,10,7","13,12,10,17,13","13,16,13,13,11","0,3,1,1,2","0,54,2,42,13","-99,69,8,49,33","0.00,0.07,0.14,0.13,0.08","0.00,0.17,0.00,0.06,0.08","23.8,23.0,23.6,23.6,23.7","23.0,23.0,23.0,23.0,23.0","-99.0,4.6,1.0,3.6,2.8","-1,818,808,592,939","1.0,1.0,1.0,1.0,1.0","1.0,1.0,0.9,0.9,1.0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","91,47080,10563,41958,9267","-1.0,1.0,1.0,0.9,1.0","18,18,18,18,18","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","16.23,17.34,16.91,14.67,17.50","18.03,18.15,11.70,11.62,11.64","120,121,118,120,118","26,26,26,26,25","30,30,30,30,30","{-100,-104,-140,-140},{-101,-103,-140,-140},{-99,-107,-140,-140}","{17.04,11.72,-inf,-inf},{12.00,12.45,-inf,-inf},{17.38,5.26,-inf,-inf}","1-ims,1-5;2-cbnet,1-9",0,{189},4
