timestamp,line_number,mn_cc,mn_redrt,mn_rre_count,mn_rach_fail,mn_rlf_num,mn_ota_irat,mn_irat,mn_u_r,mn_d_r,mn_u_m,mn_d_m,mn_d_g,mn_u_g,mn_u_b,mn_d_b,mn_txp_md,mn_mtpl,mn_cqi,mn_mac,mn_pu_m_l,mn_pd_m_l,mn_rlf_cause,mn_retr,mn_pp_s,mn_pp_dis,mn_pp_r,mn_ri,mn_prach_cfg,mn_pre_for,mn_o_fail,mn_ph_dis,mn_ssnr,mn_tsnr,mn_path_loss,mn_target_pwr,mn_bandwidth,mn_rsrp_4,mn_snr_4,qos,rf_sul_state,rf_sul_band,mn_ver
2025-10-21 20:56:12.973,1007,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","-1,-1,-1,-1,-1","-1,-1,-1,-1,-1","-1,-1,-1,-1,-1","-1,-1,-1,-1,-1","-99,-99,-99,-99,-99","-99,-99,-99,-99,-99","-99.00,-99.00,-99.00,-99.00,-99.00","-99.00,-99.00,-99.00,-99.00,-99.00","-99.0,-99.0,-99.0,-99.0,-99.0","-99.0,-99.0,-99.0,-99.0,-99.0","-99.0,-99.0,-99.0,-99.0,-99.0","-1,-1,-1,-1,-1","-1.0,-1.0,-1.0,-1.0,-1.0","-1.0,-1.0,-1.0,-1.0,-1.0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.0,-1.0,-1.0,-1.0,-1.0","17,17,17,17,17","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-111.00,-111.00,-111.00,-111.00,-111.00","-111.00,-111.00,-111.00,-111.00,-111.00","-99,-99,-99,-99,-99","-99,-99,-99,-99,-99","60,60,60,60,60","{-103,-99,-140,-140},{-100,-101,-140,-140},{-96,-96,-106,-103}","{14.94,10.42,-inf,-inf},{14.94,10.42,-inf,-inf},{14.94,10.42,-inf,-inf}","2-cmnet,1-8",0,{191},4
2025-10-21 20:56:14.001,1022,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","-1,-1,-1,-1,4","-1,-1,-1,-1,11","-1,-1,-1,-1,15","-1,-1,-1,-1,1","-99,-99,-99,-99,11","-99,-99,-99,-99,6","-99.00,-99.00,-99.00,-99.00,0.06","-99.00,-99.00,-99.00,-99.00,0.00","-99.0,-99.0,-99.0,-99.0,23.2","-99.0,-99.0,-99.0,-99.0,25.0","-99.0,-99.0,-99.0,-99.0,7.3","-1,-1,-1,-1,338","-1.0,-1.0,-1.0,-1.0,1.0","-1.0,-1.0,-1.0,-1.0,0.2","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-26492","-1.0,-1.0,-1.0,-1.0,0.3","17,17,17,17,17","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-111.00,-111.00,-111.00,-111.00,14.54","-111.00,-111.00,-111.00,-111.00,-111.00","-99,-99,-99,-99,115","-99,-99,-99,-99,23","60,60,60,60,60","{-103,-99,-140,-140},{-100,-101,-140,-140},{-95,-99,-110,-104}","{14.94,10.42,-inf,-inf},{14.94,10.42,-inf,-inf},{16.57,15.11,12.10,6.65}","2-cmnet,1-8",0,{191},4
2025-10-21 20:56:15.026,1030,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","-1,-1,-1,-1,-1","-1,-1,-1,-1,-1","-1,-1,-1,-1,-1","-1,-1,-1,-1,-1","-99,-99,-99,-99,-99","-99,-99,-99,-99,-99","-99.00,-99.00,-99.00,-99.00,-99.00","-99.00,-99.00,-99.00,-99.00,-99.00","-99.0,-99.0,-99.0,-99.0,-99.0","-99.0,-99.0,-99.0,-99.0,-99.0","-99.0,-99.0,-99.0,-99.0,-99.0","-1,-1,-1,-1,-1","-1.0,-1.0,-1.0,-1.0,-1.0","-1.0,-1.0,-1.0,-1.0,-1.0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.0,-1.0,-1.0,-1.0,-1.0","17,17,17,17,17","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-111.00,-111.00,-111.00,-111.00,-111.00","-111.00,-111.00,-111.00,-111.00,-111.00","-99,-99,-99,-99,-99","-99,-99,-99,-99,-99","60,60,60,60,60","{-103,-99,-140,-140},{-100,-101,-140,-140},{-97,-97,-111,-106}","{14.94,10.42,-inf,-inf},{14.94,10.42,-inf,-inf},{16.57,15.11,12.10,6.65}","2-cmnet,1-8",0,{191},4
2025-10-21 20:56:16.055,1037,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","-1,-1,-1,4,-1","-1,-1,-1,11,-1","-1,-1,-1,15,-1","-1,-1,-1,1,-1","-99,-99,-99,11,-99","-99,-99,-99,6,-99","-99.00,-99.00,-99.00,0.06,-99.00","-99.00,-99.00,-99.00,0.00,-99.00","-99.0,-99.0,-99.0,23.2,-99.0","-99.0,-99.0,-99.0,25.0,-99.0","-99.0,-99.0,-99.0,7.3,-99.0","-1,-1,-1,338,-1","-1.0,-1.0,-1.0,1.0,-1.0","-1.0,-1.0,-1.0,0.2,-1.0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-26492,-99","-1.0,-1.0,-1.0,0.3,-1.0","17,17,17,17,17","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-111.00,-111.00,-111.00,14.54,-111.00","-111.00,-111.00,-111.00,-111.00,-111.00","-99,-99,-99,115,-99","-99,-99,-99,23,-99","60,60,60,60,60","{-99,-103,-140,-140},{-101,-98,-140,-140},{-102,-93,-108,-100}","{14.94,10.42,-inf,-inf},{14.94,10.42,-inf,-inf},{16.57,15.11,12.10,6.65}","2-cmnet,1-8",0,{191},4
2025-10-21 20:56:17.081,1052,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","-1,-1,-1,-1,-1","-1,-1,-1,-1,-1","-1,-1,-1,-1,-1","-1,-1,-1,-1,-1","-99,-99,-99,-99,-99","-99,-99,-99,-99,-99","-99.00,-99.00,-99.00,-99.00,-99.00","-99.00,-99.00,-99.00,-99.00,-99.00","-99.0,-99.0,-99.0,-99.0,-99.0","-99.0,-99.0,-99.0,-99.0,-99.0","-99.0,-99.0,-99.0,-99.0,-99.0","-1,-1,-1,-1,-1","-1.0,-1.0,-1.0,-1.0,-1.0","-1.0,-1.0,-1.0,-1.0,-1.0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.0,-1.0,-1.0,-1.0,-1.0","17,17,17,17,17","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-111.00,-111.00,-111.00,-111.00,-111.00","-111.00,-111.00,-111.00,-111.00,-111.00","-99,-99,-99,-99,-99","-99,-99,-99,-99,-99","60,60,60,60,60","{-99,-103,-140,-140},{-96,-96,-106,-103},{-102,-93,-105,-100}","{14.94,10.42,-inf,-inf},{14.94,10.42,-inf,-inf},{16.57,15.11,12.10,6.65}","2-cmnet,1-8",0,{191},4
2025-10-21 20:56:18.103,1072,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","-1,-1,-1,-1,18","-1,-1,-1,-1,29","-1,-1,-1,-1,15","-1,-1,-1,-1,5","-99,-99,-99,-99,169","-99,-99,-99,-99,127","-99.00,-99.00,-99.00,-99.00,0.09","-99.00,-99.00,-99.00,-99.00,0.00","-99.0,-99.0,-99.0,-99.0,24.3","-99.0,-99.0,-99.0,-99.0,24.0","-99.0,-99.0,-99.0,-99.0,7.5","-1,-1,-1,-1,2682","-1.0,-1.0,-1.0,-1.0,1.0","-1.0,-1.0,-1.0,-1.0,0.0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,150201","-1.0,-1.0,-1.0,-1.0,0.6","17,17,17,17,17","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-111.00,-111.00,-111.00,-111.00,12.99","-111.00,-111.00,-111.00,-111.00,-111.00","-99,-99,-99,-99,111","-99,-99,-99,-99,28","60,60,60,60,60","{-100,-101,-140,-140},{-97,-97,-111,-106},{-93,-100,-105,-100}","{14.94,10.42,-inf,-inf},{16.57,15.11,12.10,6.65},{12.96,12.46,15.18,10.54}","2-cmnet,1-8",0,{191},4
2025-10-21 20:56:19.128,1085,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","-1,4,-1,4,26","-1,11,-1,10,40","-1,15,-1,17,14","-1,1,-1,2,9","-99,11,-99,18,508","-99,6,-99,14,133","-99.00,0.06,-99.00,0.08,0.14","-99.00,0.00,-99.00,0.00,0.00","-99.0,23.2,-99.0,23.8,24.4","-99.0,25.0,-99.0,25.0,24.0","-99.0,7.3,-99.0,7.2,6.5","-1,338,-1,416,2332","-1.0,1.0,-1.0,1.0,1.0","-1.0,0.2,-1.0,0.0,0.0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-26492,-99,4469,224863","-1.0,0.3,-1.0,0.2,0.5","17,17,17,17,17","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-111.00,14.54,-111.00,14.59,12.67","-111.00,-111.00,-111.00,-111.00,-111.00","-99,115,-99,112,112","-99,23,-99,24,28","60,60,60,60,60","{-100,-101,-140,-140},{-102,-93,-108,-100},{-95,-96,-109,-102}","{14.94,10.42,-inf,-inf},{16.57,15.11,12.10,6.65},{8.62,10.74,-inf,-inf}","2-cmnet,1-8",0,{191},4
2025-10-21 20:56:20.163,1118,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","-1,-1,-1,18,24","-1,-1,-1,29,21","-1,-1,-1,15,16","-1,-1,-1,5,10","-99,-99,-99,169,231","-99,-99,-99,127,235","-99.00,-99.00,-99.00,0.09,0.23","-99.00,-99.00,-99.00,0.00,0.01","-99.0,-99.0,-99.0,24.3,23.6","-99.0,-99.0,-99.0,24.0,24.0","-99.0,-99.0,-99.0,7.5,5.8","-1,-1,-1,2682,3607","-1.0,-1.0,-1.0,1.0,1.0","-1.0,-1.0,-1.0,0.0,0.0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,150201,413220","-1.0,-1.0,-1.0,0.6,0.3","17,17,17,17,17","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-111.00,-111.00,-111.00,12.99,13.24","-111.00,-111.00,-111.00,-111.00,-111.00","-99,-99,-99,111,111","-99,-99,-99,28,26","60,60,60,60,60","{-101,-98,-140,-140},{-102,-93,-105,-100},{-93,-99,-109,-100}","{14.94,10.42,-inf,-inf},{16.57,15.11,12.10,6.65},{17.00,12.07,9.08,8.17}","2-cmnet,1-8",0,{191},4
2025-10-21 20:56:21.190,1128,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","4,-1,4,26,11","11,-1,10,40,13","15,-1,17,14,16","1,-1,2,9,7","11,-99,18,508,80","6,-99,14,133,83","0.06,-99.00,0.08,0.14,0.13","0.00,-99.00,0.00,0.00,0.01","23.2,-99.0,23.8,24.4,22.6","25.0,-99.0,25.0,24.0,24.0","7.3,-99.0,7.2,6.5,6.4","338,-1,416,2332,1418","1.0,-1.0,1.0,1.0,1.0","0.2,-1.0,0.0,0.0,0.0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","-26492,-99,4469,224863,62250","0.3,-1.0,0.2,0.5,0.3","17,17,17,17,17","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","14.54,-111.00,14.59,12.67,14.02","-111.00,-111.00,-111.00,-111.00,-111.00","115,-99,112,112,110","23,-99,24,28,23","60,60,60,60,60","{-96,-96,-106,-103},{-95,-100,-109,-100},{-94,-96,-107,-102}","{14.94,10.42,-inf,-inf},{15.15,11.91,-inf,-inf},{9.00,10.59,-inf,-inf}","2-cmnet,1-8",0,{191},4
2025-10-21 20:56:22.214,1141,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","-1,-1,18,24,23","-1,-1,29,21,12","-1,-1,15,16,14","-1,-1,5,10,7","-99,-99,169,231,74","-99,-99,127,235,114","-99.00,-99.00,0.09,0.23,0.06","-99.00,-99.00,0.00,0.01,0.01","-99.0,-99.0,24.3,23.6,22.2","-99.0,-99.0,24.0,24.0,24.0","-99.0,-99.0,7.5,5.8,6.7","-1,-1,2682,3607,4720","-1.0,-1.0,1.0,1.0,1.0","-1.0,-1.0,0.0,0.0,0.0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,150201,413220,84657","-1.0,-1.0,0.6,0.3,0.4","17,17,17,17,17","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-111.00,-111.00,12.99,13.24,15.07","-111.00,-111.00,-111.00,-111.00,-111.00","-99,-99,111,111,110","-99,-99,28,26,25","60,60,60,60,60","{-95,-99,-110,-104},{-93,-100,-105,-100},{-93,-99,-108,-100}","{16.57,15.11,12.10,6.65},{12.96,12.46,15.18,10.54},{15.90,13.07,9.67,11.06}","2-cmnet,1-8",0,{191},4
