timestamp,line_number,mn_cc,mn_redrt,mn_rre_count,mn_rach_fail,mn_rlf_num,mn_ota_irat,mn_irat,mn_u_r,mn_d_r,mn_u_m,mn_d_m,mn_d_g,mn_u_g,mn_u_b,mn_d_b,mn_txp_md,mn_mtpl,mn_cqi,mn_mac,mn_pu_m_l,mn_pd_m_l,mn_rlf_cause,mn_retr,mn_pp_s,mn_pp_dis,mn_pp_r,mn_ri,mn_prach_cfg,mn_pre_for,mn_o_fail,mn_ph_dis,mn_ssnr,mn_tsnr,mn_path_loss,mn_target_pwr,mn_bandwidth,mn_rsrp_4,mn_snr_4,qos,rf_sul_state,rf_sul_band,mn_ver
2025-10-31 21:41:23.344,550,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","4,9,4,4,4","16,20,17,26,18","11,3,11,13,7","0,6,1,8,4","0,1,1,0,0","4,1,2,2,2","0.00,0.04,0.00,0.15,0.00","0.00,0.25,0.10,0.30,0.13","26.7,27.0,26.5,26.8,27.0","26.0,27.0,26.0,26.0,27.0","7.0,7.6,8.6,8.6,8.0","142,13,74,-1,-1","1.0,1.0,1.0,1.0,1.0","0.0,0.1,0.0,0.1,0.0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","0,70,0,151,0","0.8,0.9,0.9,1.0,1.0","210,210,210,210,210","13,13,13,13,13","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","11.81,10.08,13.21,18.76,17.94","7.19,7.36,10.88,15.37,16.50","115,117,115,114,113","35,40,35,34,34","100,100,100,100,100","{-94,-102,-93,-89},{-95,-95,-90,-94},{-99,-99,-96,-97}","{11.03,11.02,-inf,-inf},{9.15,13.25,-inf,-inf},{11.36,16.22,-inf,-inf}","1-ims,1-5;2-cbnet,1-9",0,{191},4
2025-10-31 21:41:24.369,560,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","5,7,5,6,4","21,20,20,17,16","9,8,10,9,8","9,4,6,4,0","2,2,1,1,1","2,3,2,-99,2","0.13,0.13,0.08,0.00,0.00","0.53,0.14,0.41,0.18,0.00","26.8,26.9,26.9,26.7,26.9","26.0,26.0,26.0,26.0,26.0","6.6,8.1,8.2,8.6,8.0","163,275,-1,-1,-1","1.0,1.0,1.0,1.0,1.0","0.4,0.4,0.1,0.0,0.2","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","604,368,0,0,155","1.0,0.9,0.9,1.0,0.8","210,210,210,210,210","13,13,13,13,13","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","9.75,14.34,14.79,19.65,16.99","2.38,11.32,14.50,18.25,14.32","119,117,116,114,116","39,38,36,35,36","100,100,100,100,100","{-100,-99,-98,-100},{-96,-97,-97,-93},{-98,-96,-94,-93}","{0.65,3.52,-inf,-inf},{10.10,15.48,-inf,-inf},{10.68,11.66,-inf,-inf}","1-ims,1-5;2-cbnet,1-9",0,{191},4
2025-10-31 21:41:25.393,570,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","9,4,4,4,4","20,17,26,18,16","3,11,13,7,10","6,1,8,4,0","1,1,0,0,2","1,2,2,2,2","0.04,0.00,0.15,0.00,0.13","0.25,0.10,0.30,0.13,0.00","27.0,26.5,26.8,27.0,26.9","27.0,26.0,26.0,27.0,26.0","7.6,8.6,8.6,8.0,7.7","13,74,-1,-1,28","1.0,1.0,1.0,1.0,1.0","0.1,0.0,0.1,0.0,0.4","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","70,0,151,0,275","0.9,0.9,1.0,1.0,0.9","210,210,210,210,210","13,13,13,13,13","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","10.08,13.21,18.76,17.94,15.12","7.36,10.88,15.37,16.50,12.47","117,115,114,113,114","40,35,34,34,34","100,100,100,100,100","{-101,-99,-99,-96},{-97,-94,-94,-91},{-104,-96,-97,-90}","{2.44,0.69,1.76,2.70},{12.05,18.06,-inf,-inf},{11.29,10.89,-inf,-inf}","1-ims,1-5;2-cbnet,1-9",0,{191},4
2025-10-31 21:41:26.424,574,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","7,5,6,4,4","20,20,17,16,21","8,10,9,8,19","4,6,4,0,10","2,1,1,1,2","3,2,-99,2,27","0.13,0.08,0.00,0.00,0.45","0.14,0.41,0.18,0.00,0.37","26.9,26.9,26.7,26.9,26.5","26.0,26.0,26.0,26.0,26.0","8.1,8.2,8.6,8.0,8.3","275,-1,-1,-1,-1","1.0,1.0,1.0,1.0,1.0","0.4,0.1,0.0,0.2,0.2","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","368,0,0,155,155","0.9,0.9,1.0,0.8,1.0","210,210,210,210,210","13,13,13,13,13","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","14.34,14.79,19.65,16.99,18.33","11.32,14.50,18.25,14.32,11.02","117,116,114,116,112","38,36,35,36,33","100,100,100,100,100","{-97,-95,-99,-96},{-95,-97,-95,-92},{-89,-98,-95,-88}","{7.20,9.31,-inf,-inf},{15.17,17.00,-inf,-inf},{12.46,12.84,-inf,-inf}","1-ims,1-5;2-cbnet,1-9",0,{191},4
2025-10-31 21:41:27.453,582,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","4,4,4,4,20","17,26,18,16,21","11,13,7,10,6","1,8,4,0,4","1,0,0,2,3","2,2,2,2,6","0.00,0.15,0.00,0.13,0.07","0.10,0.30,0.13,0.00,0.16","26.5,26.8,27.0,26.9,26.9","26.0,26.0,27.0,26.0,26.0","8.6,8.6,8.0,7.7,8.1","74,-1,-1,28,1328","1.0,1.0,1.0,1.0,1.0","0.0,0.1,0.0,0.4,0.5","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","0,151,0,275,521","0.9,1.0,1.0,0.9,1.0","210,210,210,210,210","13,13,13,13,13","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","13.21,18.76,17.94,15.12,14.74","10.88,15.37,16.50,12.47,13.72","115,114,113,114,112","35,34,34,34,37","100,100,100,100,100","{-93,-98,-99,-95},{-99,-99,-96,-97},{-91,-94,-84,-88}","{7.44,10.52,-inf,-inf},{11.36,16.22,-inf,-inf},{8.35,13.36,-inf,-inf}","1-ims,1-5;2-cbnet,1-9",0,{191},4
2025-10-31 21:41:28.485,587,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","5,6,4,4,44","20,17,16,21,51","10,9,8,19,6","6,4,0,10,5","1,1,1,2,23","2,-99,2,27,21","0.08,0.00,0.00,0.45,0.18","0.41,0.18,0.00,0.37,0.16","26.9,26.7,26.9,26.5,27.0","26.0,26.0,26.0,26.0,27.0","8.2,8.6,8.0,8.3,8.2","-1,-1,-1,-1,3688","1.0,1.0,1.0,1.0,1.0","0.1,0.0,0.2,0.2,0.7","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","0,0,155,155,14109","0.9,1.0,0.8,1.0,1.0","210,210,210,210,210","13,13,13,13,13","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","14.79,19.65,16.99,18.33,12.43","14.50,18.25,14.32,11.02,12.11","116,114,116,112,111","36,35,36,33,41","100,100,100,100,100","{-95,-95,-90,-94},{-98,-96,-94,-93},{-92,-99,-89,-83}","{9.15,13.25,-inf,-inf},{10.68,11.66,-inf,-inf},{17.11,8.83,-inf,-inf}","1-ims,1-5;2-cbnet,1-9",0,{191},4
2025-10-31 21:41:29.527,594,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","4,4,4,20,13","26,18,16,21,57","13,7,10,6,3","8,4,0,4,6","0,0,2,3,17","2,2,2,6,6","0.15,0.00,0.13,0.07,0.13","0.30,0.13,0.00,0.16,0.23","26.8,27.0,26.9,26.9,27.0","26.0,27.0,26.0,26.0,27.0","8.6,8.0,7.7,8.1,7.8","-1,-1,28,1328,10092","1.0,1.0,1.0,1.0,1.0","0.1,0.0,0.4,0.5,0.5","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","151,0,275,521,8084","1.0,1.0,0.9,1.0,1.0","210,210,210,210,210","13,13,13,13,13","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","18.76,17.94,15.12,14.74,12.94","15.37,16.50,12.47,13.72,7.17","114,113,114,112,110","34,34,34,37,34","100,100,100,100,100","{-96,-97,-97,-93},{-104,-96,-97,-90},{-91,-94,-93,-91}","{10.10,15.48,-inf,-inf},{11.29,10.89,-inf,-inf},{10.08,10.72,-inf,-inf}","1-ims,1-5;2-cbnet,1-9",0,{191},4
2025-10-31 21:41:30.560,601,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","6,4,4,44,4","17,16,21,51,21","9,8,19,6,0","4,0,10,5,1","1,1,2,23,1","-99,2,27,21,1","0.00,0.00,0.45,0.18,0.00","0.18,0.00,0.37,0.16,0.06","26.7,26.9,26.5,27.0,27.0","26.0,26.0,26.0,27.0,27.0","8.6,8.0,8.3,8.2,7.7","-1,-1,-1,3688,13112","1.0,1.0,1.0,1.0,1.0","0.0,0.2,0.2,0.7,0.3","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","0,155,155,14109,510","1.0,0.8,1.0,1.0,1.0","210,210,210,210,210","13,13,13,13,13","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","19.65,16.99,18.33,12.43,11.80","18.25,14.32,11.02,12.11,11.00","114,116,112,111,111","35,36,33,41,32","100,100,100,100,100","{-97,-94,-94,-91},{-89,-98,-95,-88},{-91,-103,-91,-90}","{12.05,18.06,-inf,-inf},{12.46,12.84,-inf,-inf},{9.46,9.48,-inf,-inf}","1-ims,1-5;2-cbnet,1-9",0,{191},4
2025-10-31 21:41:31.595,610,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","4,4,20,13,4","18,16,21,57,27","7,10,6,3,0","4,0,4,6,0","0,2,3,17,1","2,2,6,6,1","0.00,0.13,0.07,0.13,0.02","0.13,0.00,0.16,0.23,0.00","27.0,26.9,26.9,27.0,27.0","27.0,26.0,26.0,27.0,27.0","8.0,7.7,8.1,7.8,8.1","-1,28,1328,10092,15734","1.0,1.0,1.0,1.0,1.0","0.0,0.4,0.5,0.5,0.0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","0,275,521,8084,651","1.0,0.9,1.0,1.0,0.6","210,210,210,210,210","13,13,13,13,13","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","17.94,15.12,14.74,12.94,12.98","16.50,12.47,13.72,7.17,9.99","113,114,112,110,111","34,34,37,34,32","100,100,100,100,100","{-95,-97,-95,-92},{-91,-94,-84,-88},{-95,-90,-91,-96}","{15.17,17.00,-inf,-inf},{8.35,13.36,-inf,-inf},{9.26,17.14,-inf,-inf}","1-ims,1-5;2-cbnet,1-9",0,{191},4
2025-10-31 21:41:32.632,619,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","4,4,44,4,28","16,21,51,21,25","8,19,6,0,1","0,10,5,1,0","1,2,23,1,5","2,27,21,1,9","0.00,0.45,0.18,0.00,0.02","0.00,0.37,0.16,0.06,0.00","26.9,26.5,27.0,27.0,27.0","26.0,26.0,27.0,27.0,27.0","8.0,8.3,8.2,7.7,8.2","-1,-1,3688,13112,17716","1.0,1.0,1.0,1.0,1.0","0.2,0.2,0.7,0.3,0.5","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","155,155,14109,510,2185","0.8,1.0,1.0,1.0,1.0","210,210,210,210,210","13,13,13,13,13","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","16.99,18.33,12.43,11.80,15.02","14.32,11.02,12.11,11.00,10.26","116,112,111,111,112","36,33,41,32,38","100,100,100,100,100","{-99,-99,-96,-97},{-92,-99,-89,-83},{-96,-95,-98,-92}","{11.36,16.22,-inf,-inf},{17.11,8.83,-inf,-inf},{6.79,11.88,-inf,-inf}","1-ims,1-5;2-cbnet,1-9",0,{191},4
