timestamp,line_number,mn_cc,mn_redrt,mn_rre_count,mn_rach_fail,mn_rlf_num,mn_ota_irat,mn_irat,mn_u_r,mn_d_r,mn_u_m,mn_d_m,mn_d_g,mn_u_g,mn_u_b,mn_d_b,mn_txp_md,mn_mtpl,mn_cqi,mn_mac,mn_pu_m_l,mn_pd_m_l,mn_rlf_cause,mn_retr,mn_pp_s,mn_pp_dis,mn_pp_r,mn_ri,mn_prach_cfg,mn_pre_for,mn_o_fail,mn_ph_dis,mn_ssnr,mn_tsnr,mn_path_loss,mn_target_pwr,mn_bandwidth,mn_rsrp_4,mn_snr_4,qos,rf_sul_state,rf_sul_band,mn_ver
2025-10-20 08:21:58.865,1163,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","-1,-1,3,-1,-1","-1,-1,13,-1,-1","-1,-1,0,-1,-1","-1,-1,0,-1,-1","-99,-99,0,-99,-99","-99,-99,1,-99,-99","-99.00,-99.00,0.11,-99.00,-99.00","-99.00,-99.00,0.00,-99.00,-99.00","-99.0,-99.0,24.9,-99.0,-99.0","-99.0,-99.0,24.0,-99.0,-99.0","-99.0,-99.0,6.7,-99.0,-99.0","-1,-1,149,-1,-1","-1.0,-1.0,1.0,-1.0,-1.0","-1.0,-1.0,0.2,-1.0,-1.0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,0,-99,-99","-1.0,-1.0,0.3,-1.0,-1.0","17,17,17,17,17","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-111.00,-111.00,4.23,-111.00,-111.00","-111.00,-111.00,-111.00,-111.00,-111.00","-99,-99,127,-99,-99","-99,-99,39,-99,-99","100,100,100,100,100","{-112,-116,-115,-111},{-109,-124,-116,-110},{-109,-113,-130,-121}","{5.91,0.41,-3.36,-2.96},{6.74,-9.61,-2.75,-2.10},{-4.15,0.88,-16.88,-11.18}","2-cmnet,1-8",0,"{189,191}",4
2025-10-20 08:21:59.895,1173,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","3,3,-1,3,-1","24,9,-1,13,-1","2,0,-1,0,-1","0,0,-1,0,-1","2,0,-99,1,-99","3,-99,-99,-99,-99","0.12,0.09,-99.00,0.00,-99.00","0.00,0.00,-99.00,0.00,-99.00","24.9,24.9,-99.0,24.9,-99.0","24.0,24.0,-99.0,24.0,-99.0","7.1,6.4,-99.0,6.8,-99.0","956,-1,-1,-1,-1","1.0,1.0,-1.0,1.0,-1.0","0.4,0.3,-1.0,0.4,-1.0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","1482,0,-99,306,-99","0.3,0.4,-1.0,0.3,-1.0","17,17,17,17,17","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","5.47,5.59,-111.00,3.37,-111.00","-111.00,-111.00,-111.00,-111.00,-111.00","127,126,-99,127,-99","39,38,-99,39,-99","100,100,100,100,100","{-108,-119,-118,-114},{-113,-109,-121,-122},{-110,-117,-127,-120}","{5.91,0.41,-3.36,-2.96},{6.74,-9.61,-2.75,-2.10},{-4.15,0.88,-16.88,-11.18}","2-cmnet,1-8",0,"{189,191}",4
2025-10-20 08:22:00.915,1183,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","-1,3,-1,-1,-1","-1,13,-1,-1,-1","-1,0,-1,-1,-1","-1,0,-1,-1,-1","-99,0,-99,-99,-99","-99,1,-99,-99,-99","-99.00,0.11,-99.00,-99.00,-99.00","-99.00,0.00,-99.00,-99.00,-99.00","-99.0,24.9,-99.0,-99.0,-99.0","-99.0,24.0,-99.0,-99.0,-99.0","-99.0,6.7,-99.0,-99.0,-99.0","-1,149,-1,-1,-1","-1.0,1.0,-1.0,-1.0,-1.0","-1.0,0.2,-1.0,-1.0,-1.0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","-99,0,-99,-99,-99","-1.0,0.3,-1.0,-1.0,-1.0","17,17,17,17,17","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-111.00,4.23,-111.00,-111.00,-111.00","-111.00,-111.00,-111.00,-111.00,-111.00","-99,127,-99,-99,-99","-99,39,-99,-99,-99","100,100,100,100,100","{-108,-117,-118,-113},{-114,-108,-121,-123},{-108,-116,-123,-119}","{5.38,-1.08,-6.47,-2.87},{6.74,-9.61,-2.75,-2.10},{-4.15,0.88,-16.88,-11.18}","2-cmnet,1-8",0,"{189,191}",4
2025-10-20 08:22:01.935,1192,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","3,-1,3,-1,3","9,-1,13,-1,9","0,-1,0,-1,1","0,-1,0,-1,0","0,-99,1,-99,1","-99,-99,-99,-99,0","0.09,-99.00,0.00,-99.00,0.04","0.00,-99.00,0.00,-99.00,0.00","24.9,-99.0,24.9,-99.0,23.5","24.0,-99.0,24.0,-99.0,23.0","6.4,-99.0,6.8,-99.0,6.0","-1,-1,-1,-1,74","1.0,-1.0,1.0,-1.0,1.0","0.3,-1.0,0.4,-1.0,0.6","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","0,-99,306,-99,421","0.4,-1.0,0.3,-1.0,0.4","17,17,17,17,17","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","5.59,-111.00,3.37,-111.00,1.16","-111.00,-111.00,-111.00,-111.00,-111.00","126,-99,127,-99,126","38,-99,39,-99,39","100,100,100,100,100","{-109,-120,-118,-112},{-120,-110,-131,-123},{-113,-110,-109,-120}","{5.38,-1.08,-6.47,-2.87},{-4.15,0.88,-16.88,-11.18},{2.16,-1.51,-7.75,-5.09}","2-cmnet,1-8",0,"{189,191}",4
2025-10-20 08:22:02.956,1199,1,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","3,-1,-1,-1,-1","13,-1,-1,-1,-1","0,-1,-1,-1,-1","0,-1,-1,-1,-1","0,-99,-99,-99,-99","1,-99,-99,-99,-99","0.11,-99.00,-99.00,-99.00,-99.00","0.00,-99.00,-99.00,-99.00,-99.00","24.9,-99.0,-99.0,-99.0,-99.0","24.0,-99.0,-99.0,-99.0,-99.0","6.7,-99.0,-99.0,-99.0,-99.0","149,-1,-1,-1,-1","1.0,-1.0,-1.0,-1.0,-1.0","0.2,-1.0,-1.0,-1.0,-1.0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","0,-99,-99,-99,-99","0.3,-1.0,-1.0,-1.0,-1.0","17,17,17,17,17","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","4.23,-111.00,-111.00,-111.00,-111.00","-111.00,-111.00,-111.00,-111.00,-111.00","127,-99,-99,-99,-99","39,-99,-99,-99,-99","100,100,100,100,30","{-110,-122,-117,-111},{-109,-113,-130,-121},{-140,-140,-140,-140}","{5.70,-6.72,-5.23,-3.06},{-4.15,0.88,-16.88,-11.18},{2.16,-1.51,-7.75,-5.09}","2-cmnet,1-8",0,"{189,191}",4
2025-10-20 08:22:03.992,1206,1,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","-1,3,-1,3,3","-1,13,-1,9,25","-1,0,-1,1,1","-1,0,-1,0,0","-99,1,-99,1,3","-99,-99,-99,0,2","-99.00,0.00,-99.00,0.04,0.13","-99.00,0.00,-99.00,0.00,0.03","-99.0,24.9,-99.0,23.5,23.8","-99.0,24.0,-99.0,23.0,23.0","-99.0,6.8,-99.0,6.0,7.5","-1,-1,-1,74,74","-1.0,1.0,-1.0,1.0,1.0","-1.0,0.4,-1.0,0.6,0.1","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","-99,306,-99,421,-14354","-1.0,0.3,-1.0,0.4,0.2","17,17,17,17,18","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-111.00,3.37,-111.00,1.16,6.58","-111.00,-111.00,-111.00,-111.00,16.48","-99,127,-99,126,126","-99,39,-99,39,37","100,100,100,100,30","{-109,-124,-116,-110},{-110,-117,-127,-120},{-95,-98,-140,-140}","{6.74,-9.61,-2.75,-2.10},{-4.15,0.88,-16.88,-11.18},{19.18,15.66,-inf,-inf}","2-cmnet,1-8",0,"{189,191}",4
2025-10-20 08:22:05.032,1213,1,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","-1,-1,-1,-1,-1","-1,-1,-1,-1,-1","-1,-1,-1,-1,-1","-1,-1,-1,-1,-1","-99,-99,-99,-99,-99","-99,-99,-99,-99,-99","-99.00,-99.00,-99.00,-99.00,-99.00","-99.00,-99.00,-99.00,-99.00,-99.00","-99.0,-99.0,-99.0,-99.0,-99.0","-99.0,-99.0,-99.0,-99.0,-99.0","-99.0,-99.0,-99.0,-99.0,-99.0","-1,-1,-1,-1,-1","-1.0,-1.0,-1.0,-1.0,-1.0","-1.0,-1.0,-1.0,-1.0,-1.0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.0,-1.0,-1.0,-1.0,-1.0","17,17,17,17,18","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-111.00,-111.00,-111.00,-111.00,-111.00","-111.00,-111.00,-111.00,-111.00,-111.00","-99,-99,-99,-99,-99","-99,-99,-99,-99,-99","100,100,100,30,30","{-113,-109,-121,-122},{-108,-116,-123,-119},{-95,-100,-140,-140}","{6.74,-9.61,-2.75,-2.10},{-4.15,0.88,-16.88,-11.18},{19.18,15.66,-inf,-inf}","2-cmnet,1-8",0,"{189,191}",4
2025-10-20 08:22:06.071,1221,1,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","3,-1,3,3,-1","13,-1,9,25,-1","0,-1,1,1,-1","0,-1,0,0,-1","1,-99,1,3,-99","-99,-99,0,2,-99","0.00,-99.00,0.04,0.13,-99.00","0.00,-99.00,0.00,0.03,-99.00","24.9,-99.0,23.5,23.8,-99.0","24.0,-99.0,23.0,23.0,-99.0","6.8,-99.0,6.0,7.5,-99.0","-1,-1,74,74,-1","1.0,-1.0,1.0,1.0,-1.0","0.4,-1.0,0.6,0.1,-1.0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","306,-99,421,-14354,-99","0.3,-1.0,0.4,0.2,-1.0","17,17,17,18,18","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","3.37,-111.00,1.16,6.58,-111.00","-111.00,-111.00,-111.00,16.48,-111.00","127,-99,126,126,-99","39,-99,39,37,-99","100,100,100,30,30","{-114,-108,-121,-123},{-113,-110,-109,-120},{-100,-102,-140,-140}","{6.74,-9.61,-2.75,-2.10},{2.16,-1.51,-7.75,-5.09},{19.18,15.66,-inf,-inf}","2-cmnet,1-8",0,"{189,191}",4
2025-10-20 08:22:07.108,1228,1,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","-1,3,3,-1,3","-1,9,25,-1,12","-1,1,1,-1,8","-1,0,0,-1,0","-99,1,3,-99,1","-99,0,2,-99,3","-99.00,0.04,0.13,-99.00,0.00","-99.00,0.00,0.03,-99.00,0.05","-99.0,23.5,23.8,-99.0,24.1","-99.0,23.0,23.0,-99.0,24.0","-99.0,6.0,7.5,-99.0,10.1","-1,74,74,-1,15","-1.0,1.0,1.0,-1.0,1.0","-1.0,0.6,0.1,-1.0,0.4","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","-99,421,-14354,-99,629","-1.0,0.4,0.2,-1.0,0.6","17,17,18,18,18","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-111.00,1.16,6.58,-111.00,17.07","-111.00,-111.00,16.48,-111.00,17.35","-99,126,126,-99,116","-99,39,37,-99,27","100,100,30,30,30","{-109,-113,-130,-121},{-95,-98,-140,-140},{-97,-104,-140,-140}","{-4.15,0.88,-16.88,-11.18},{19.18,15.66,-inf,-inf},{13.20,10.56,-inf,-inf}","2-cmnet,1-8",0,"{189,191}",4
2025-10-20 08:22:08.141,1235,1,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","-1,-1,-1,-1,-1","-1,-1,-1,-1,-1","-1,-1,-1,-1,-1","-1,-1,-1,-1,-1","-99,-99,-99,-99,-99","-99,-99,-99,-99,-99","-99.00,-99.00,-99.00,-99.00,-99.00","-99.00,-99.00,-99.00,-99.00,-99.00","-99.0,-99.0,-99.0,-99.0,-99.0","-99.0,-99.0,-99.0,-99.0,-99.0","-99.0,-99.0,-99.0,-99.0,-99.0","-1,-1,-1,-1,-1","-1.0,-1.0,-1.0,-1.0,-1.0","-1.0,-1.0,-1.0,-1.0,-1.0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.0,-1.0,-1.0,-1.0,-1.0","17,17,18,18,18","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-111.00,-111.00,-111.00,-111.00,-111.00","-111.00,-111.00,-111.00,-111.00,-111.00","-99,-99,-99,-99,-99","-99,-99,-99,-99,-99","100,30,30,30,30","{-110,-117,-127,-120},{-95,-100,-140,-140},{-97,-105,-140,-140}","{-4.15,0.88,-16.88,-11.18},{19.18,15.66,-inf,-inf},{13.20,10.56,-inf,-inf}","2-cmnet,1-8",0,"{189,191}",4
