timestamp,line_number,mn_cc,mn_redrt,mn_rre_count,mn_rach_fail,mn_rlf_num,mn_ota_irat,mn_irat,mn_u_r,mn_d_r,mn_u_m,mn_d_m,mn_d_g,mn_u_g,mn_u_b,mn_d_b,mn_txp_md,mn_mtpl,mn_cqi,mn_mac,mn_pu_m_l,mn_pd_m_l,mn_rlf_cause,mn_retr,mn_pp_s,mn_pp_dis,mn_pp_r,mn_ri,mn_prach_cfg,mn_pre_for,mn_o_fail,mn_ph_dis,mn_ssnr,mn_tsnr,mn_path_loss,mn_target_pwr,mn_bandwidth,mn_rsrp_4,mn_snr_4,qos,rf_sul_state,rf_sul_band,mn_ver
2025-12-22 23:56:44.979,245,0,0,0,0,0,"9,9,9,9,9","9,9,9,9,9","5,-1,6,8,-1","5,4,4,4,4","4,-1,8,5,-1","11,10,0,10,13","4,0,0,0,1","5,0,0,0,0","0.02,-99.00,0.00,-99.00,0.08","0.20,0.00,0.00,0.00,0.00","22.0,-99.0,19.0,19.0,22.0","0.0,-99.0,0.0,0.0,0.0","-1.0,-1.0,-1.0,-1.0,-1.0","799,0,100,5,51","-1.0,-1.0,-1.0,-1.0,-1.0","-1.0,-1.0,-1.0,-1.0,-1.0","-1,-1,-1,-1,-1","0.01,-1.00,0.01,0.01,0.01","3689,-99,204,1872,182","0.00,-1.00,0.00,0.00,0.00","12485,11468,10751,22264,22608","-1.0,-1.0,-1.0,-1.0,-1.0","0,0,0,0,0","0,0,0,0,0","-1,-1,-1,-1,-1","0.00,0.00,0.00,0.00,0.13","-111.00,-111.00,-111.00,-111.00,-111.00","-111.00,-111.00,-111.00,-111.00,-111.00","117,-99,116,117,120","22,-99,19,19,22","20,20,20,20,20","{-105,-118,-118,-256},{-104,-115,-115,-256},{-105,-121,-121,-256}","{-20.00,40.40,-20.00,-20.00},{56.80,38.00,-20.00,-20.00},{31.20,-11.10,-20.00,-20.00}","1-cbnet,5-9;2-ims,6-5",0,{158},4
2025-12-22 23:56:46.001,255,0,0,0,0,0,"9,9,9,9,9","9,9,9,9,9","3,5,8,2,5","3,4,12,4,4","4,8,6,2,1","0,12,7,9,16","0,1,6,0,0","-99,1,2,0,0","0.00,0.00,0.00,0.00,0.00","0.00,0.00,0.00,0.50,0.00","22.0,-99.0,22.0,-99.0,22.0","0.0,-99.0,0.0,-99.0,0.0","-1.0,-1.0,-1.0,-1.0,-1.0","-1,107,168,5,5","-1.0,-1.0,-1.0,-1.0,-1.0","-1.0,-1.0,-1.0,-1.0,-1.0","-1,-1,-1,-1,-1","0.01,0.01,-1.00,0.01,-1.00","1499,1323,-99,13,-99","0.00,0.00,-1.00,0.00,-1.00","3804,10624,28031,22286,22908","-1.0,-1.0,-1.0,-1.0,-1.0","0,0,0,0,0","0,0,0,0,0","-1,-1,-1,-1,-1","0.00,0.00,0.00,0.00,0.00","-111.00,-111.00,-111.00,-111.00,-111.00","-111.00,-111.00,-111.00,-111.00,-111.00","117,-99,116,-99,118","22,-99,22,-99,22","20,20,20,20,20","{-105,-116,-116,-103},{-105,-115,-115,-256},{-105,-117,-117,-256}","{56.80,38.50,-20.00,-20.00},{31.20,-10.90,-20.00,-20.00},{56.80,14.50,-20.00,-20.00}","1-cbnet,5-9;2-ims,6-5",0,{158},4
2025-12-22 23:56:47.018,263,0,0,0,0,0,"9,9,9,9,9","9,9,9,9,9","-1,6,8,-1,17","4,4,4,4,4","-1,8,5,-1,2","10,0,10,13,11","0,0,0,1,0","0,0,0,0,12","-99.00,0.00,-99.00,0.08,0.00","0.00,0.00,0.00,0.00,0.00","-99.0,19.0,19.0,22.0,23.0","-99.0,0.0,0.0,0.0,0.0","-1.0,-1.0,-1.0,-1.0,-1.0","0,100,5,51,29","-1.0,-1.0,-1.0,-1.0,-1.0","-1.0,-1.0,-1.0,-1.0,-1.0","-1,-1,-1,-1,-1","-1.00,0.01,0.01,0.01,0.01","-99,204,1872,182,169","-1.00,0.00,0.00,0.00,0.00","11468,10751,22264,22608,34830","-1.0,-1.0,-1.0,-1.0,-1.0","0,0,0,0,0","0,0,0,0,0","-1,-1,-1,-1,-1","0.00,0.00,0.00,0.13,0.00","-111.00,-111.00,-111.00,-111.00,-111.00","-111.00,-111.00,-111.00,-111.00,-111.00","-99,116,117,120,117","-99,19,19,22,23","20,20,20,20,20","{-106,-117,-117,-104},{-105,-112,-112,-256},{-108,-113,-113,-256}","{-20.00,66.30,10.40,18.30},{56.80,-10.90,-20.00,-20.00},{31.20,38.20,-20.00,-20.00}","1-cbnet,5-9;2-ims,6-5",0,{158},4
2025-12-22 23:56:48.044,270,0,0,0,0,0,"9,9,9,9,9","9,9,9,9,9","5,8,2,5,19","4,12,4,4,6","8,6,2,1,2","12,7,9,16,6","1,6,0,0,2","1,2,0,0,4","0.00,0.00,0.00,0.00,0.00","0.00,0.00,0.50,0.00,0.06","-99.0,22.0,-99.0,22.0,23.0","-99.0,0.0,-99.0,0.0,0.0","-1.0,-1.0,-1.0,-1.0,-1.0","107,168,5,5,193","-1.0,-1.0,-1.0,-1.0,-1.0","-1.0,-1.0,-1.0,-1.0,-1.0","-1,-1,-1,-1,-1","0.01,-1.00,0.01,-1.00,0.01","1323,-99,13,-99,4425","0.00,-1.00,0.00,-1.00,0.00","10624,28031,22286,22908,25839","-1.0,-1.0,-1.0,-1.0,-1.0","0,0,0,0,0","0,0,0,0,0","-1,-1,-1,-1,-1","0.00,0.00,0.00,0.00,0.00","-111.00,-111.00,-111.00,-111.00,-111.00","-111.00,-111.00,-111.00,-111.00,-111.00","-99,116,-99,118,118","-99,22,-99,22,24","20,20,20,20,20","{-104,-115,-115,-106},{-106,-106,-106,-256},{-104,-111,-111,-256}","{56.80,-10.70,7.90,17.00},{5.60,65.50,-20.00,-20.00},{5.60,-12.00,-20.00,-20.00}","1-cbnet,5-9;2-ims,6-5",0,{158},4
2025-12-22 23:56:49.077,277,0,0,0,0,0,"9,9,9,9,9","9,9,9,9,9","6,8,-1,17,14","4,4,4,4,4","8,5,-1,2,4","0,10,13,11,10","0,0,1,0,0","0,0,0,12,2","0.00,-99.00,0.08,0.00,0.05","0.00,0.00,0.00,0.00,0.20","19.0,19.0,22.0,23.0,19.0","0.0,0.0,0.0,0.0,0.0","-1.0,-1.0,-1.0,-1.0,-1.0","100,5,51,29,4","-1.0,-1.0,-1.0,-1.0,-1.0","-1.0,-1.0,-1.0,-1.0,-1.0","-1,-1,-1,-1,-1","0.01,0.01,0.01,0.01,-1.00","204,1872,182,169,-99","0.00,0.00,0.00,0.00,-1.00","10751,22264,22608,34830,40420","-1.0,-1.0,-1.0,-1.0,-1.0","0,0,0,0,0","0,0,0,0,0","-1,-1,-1,-1,-1","0.00,0.00,0.13,0.00,0.00","-111.00,-111.00,-111.00,-111.00,-111.00","-111.00,-111.00,-111.00,-111.00,-111.00","116,117,120,117,117","19,19,22,23,19","20,20,20,20,20","{-104,-115,-115,-105},{-105,-121,-121,-256},{-105,-113,-113,-256}","{5.60,15.10,7.20,17.80},{31.20,-11.10,-20.00,-20.00},{31.20,-11.30,-20.00,-20.00}","1-cbnet,5-9;2-ims,6-5",0,{158},4
2025-12-22 23:56:50.107,286,0,0,0,0,0,"9,9,9,9,9","9,9,9,9,9","8,-1,17,14,15","4,4,4,4,3","5,-1,2,4,3","10,13,11,10,7","0,1,0,0,0","0,0,12,2,1","-99.00,0.08,0.00,0.05,0.40","0.00,0.00,0.00,0.20,0.00","19.0,22.0,23.0,19.0,21.0","0.0,0.0,0.0,0.0,0.0","-1.0,-1.0,-1.0,-1.0,-1.0","5,51,29,4,7","-1.0,-1.0,-1.0,-1.0,-1.0","-1.0,-1.0,-1.0,-1.0,-1.0","-1,-1,-1,-1,-1","0.01,0.01,0.01,-1.00,0.01","1872,182,169,-99,193","0.00,0.00,0.00,-1.00,0.00","22264,22608,34830,40420,41560","-1.0,-1.0,-1.0,-1.0,-1.0","0,0,0,0,0","0,0,0,0,0","-1,-1,-1,-1,-1","0.00,0.13,0.00,0.00,0.00","-111.00,-111.00,-111.00,-111.00,-111.00","-111.00,-111.00,-111.00,-111.00,-111.00","117,120,117,117,120","19,22,23,19,23","20,20,20,20,20","{-105,-115,-115,-256},{-108,-113,-113,-256},{-105,-106,-106,-256}","{31.20,-10.90,-20.00,-20.00},{31.20,38.20,-20.00,-20.00},{31.20,65.70,-20.00,-20.00}","1-cbnet,5-9;2-ims,6-5",0,{158},4
2025-12-22 23:56:51.140,293,0,0,0,0,0,"9,9,9,9,9","9,9,9,9,9","2,5,19,8,-1","4,4,6,3,4","2,1,2,4,-1","9,16,6,5,11","0,0,2,0,0","0,0,4,1,1","0.00,0.00,0.00,0.00,0.07","0.50,0.00,0.06,0.00,0.00","-99.0,22.0,23.0,19.0,-99.0","-99.0,0.0,0.0,0.0,-99.0","-1.0,-1.0,-1.0,-1.0,-1.0","5,5,193,5,13","-1.0,-1.0,-1.0,-1.0,-1.0","-1.0,-1.0,-1.0,-1.0,-1.0","-1,-1,-1,-1,-1","0.01,-1.00,0.01,0.00,-1.00","13,-99,4425,360,-99","0.00,-1.00,0.00,0.00,-1.00","22286,22908,25839,40948,28250","-1.0,-1.0,-1.0,-1.0,-1.0","0,0,0,0,0","0,0,0,0,0","-1,-1,-1,-1,-1","0.00,0.00,0.00,0.00,0.00","-111.00,-111.00,-111.00,-111.00,-111.00","-111.00,-111.00,-111.00,-111.00,-111.00","-99,118,118,117,-99","-99,22,24,19,-99","20,20,20,20,20","{-105,-112,-112,-256},{-104,-111,-111,-256},{-105,-110,-110,-256}","{56.80,-10.90,-20.00,-20.00},{5.60,-12.00,-20.00,-20.00},{31.20,40.70,-20.00,-20.00}","1-cbnet,5-9;2-ims,6-5",0,{158},4
2025-12-22 23:56:52.173,301,0,0,0,0,0,"9,9,9,9,9","9,9,9,9,9","-1,17,14,15,18","4,4,4,3,20","-1,2,4,3,5","13,11,10,7,12","1,0,0,0,28","0,12,2,1,15","0.08,0.00,0.05,0.40,0.02","0.00,0.00,0.20,0.00,0.00","22.0,23.0,19.0,21.0,19.0","0.0,0.0,0.0,0.0,0.0","-1.0,-1.0,-1.0,-1.0,-1.0","51,29,4,7,290","-1.0,-1.0,-1.0,-1.0,-1.0","-1.0,-1.0,-1.0,-1.0,-1.0","-1,-1,-1,-1,-1","0.01,0.01,-1.00,0.01,0.01","182,169,-99,193,359","0.00,0.00,-1.00,0.00,0.00","22608,34830,40420,41560,108807","-1.0,-1.0,-1.0,-1.0,-1.0","0,0,0,0,0","0,0,0,0,0","-1,-1,-1,-1,-1","0.13,0.00,0.00,0.00,0.00","-111.00,-111.00,-111.00,-111.00,-111.00","-111.00,-111.00,-111.00,-111.00,-111.00","120,117,117,120,117","22,23,19,23,20","20,20,20,20,20","{-106,-106,-106,-256},{-105,-113,-113,-256},{-104,-110,-110,-256}","{5.60,65.50,-20.00,-20.00},{31.20,-11.30,-20.00,-20.00},{56.80,64.40,-20.00,-20.00}","1-cbnet,5-9;2-ims,6-5",0,{158},4
2025-12-22 23:56:53.195,308,0,0,0,0,0,"9,9,9,9,9","9,9,9,9,9","5,19,8,-1,19","4,6,3,4,83","1,2,4,-1,6","16,6,5,11,21","0,2,0,0,1678","0,4,1,1,41","0.00,0.00,0.00,0.07,0.00","0.00,0.06,0.00,0.00,0.12","22.0,23.0,19.0,-99.0,20.0","0.0,0.0,0.0,-99.0,0.0","-1.0,-1.0,-1.0,-1.0,-1.0","5,193,5,13,303","-1.0,-1.0,-1.0,-1.0,-1.0","-1.0,-1.0,-1.0,-1.0,-1.0","-1,-1,-1,-1,-1","-1.00,0.01,0.00,-1.00,0.01","-99,4425,360,-99,37555","-1.00,0.00,0.00,-1.00,0.00","22908,25839,40948,28250,2476044","-1.0,-1.0,-1.0,-1.0,-1.0","0,0,0,0,0","0,0,0,0,0","-1,-1,-1,-1,-1","0.00,0.00,0.00,0.00,0.00","-111.00,-111.00,-111.00,-111.00,-111.00","-111.00,-111.00,-111.00,-111.00,-111.00","118,118,117,-99,116","22,24,19,-99,20","20,20,20,20,20","{-105,-121,-121,-256},{-110,-114,-114,-256},{-105,-113,-113,-115}","{31.20,-11.10,-20.00,-20.00},{31.20,11.80,-20.00,-20.00},{56.80,39.60,6.80,9.00}","1-cbnet,5-9;2-ims,6-5",0,{158},4
2025-12-22 23:56:54.226,315,0,0,0,0,0,"9,9,9,9,9","9,9,9,9,9","17,14,15,18,39","4,4,3,20,95","2,4,3,5,6","11,10,7,12,18","0,0,0,28,2024","12,2,1,15,94","0.00,0.05,0.40,0.02,0.01","0.00,0.20,0.00,0.00,0.08","23.0,19.0,21.0,19.0,23.0","0.0,0.0,0.0,0.0,0.0","-1.0,-1.0,-1.0,-1.0,-1.0","29,4,7,290,4950","-1.0,-1.0,-1.0,-1.0,-1.0","-1.0,-1.0,-1.0,-1.0,-1.0","-1,-1,-1,-1,-1","0.01,-1.00,0.01,0.01,-1.00","169,-99,193,359,-99","0.00,-1.00,0.00,0.00,-1.00","34830,40420,41560,108807,9513568","-1.0,-1.0,-1.0,-1.0,-1.0","0,0,0,0,0","0,0,0,0,0","-1,-1,-1,-1,-1","0.00,0.00,0.00,0.00,0.01","-111.00,-111.00,-111.00,-111.00,-111.00","-111.00,-111.00,-111.00,-111.00,-111.00","117,117,120,117,116","23,19,23,20,24","20,20,20,20,20","{-105,-117,-117,-256},{-105,-106,-106,-256},{-103,-111,-111,-256}","{56.80,14.50,-20.00,-20.00},{31.20,65.70,-20.00,-20.00},{-20.00,14.90,-20.00,-20.00}","1-cbnet,5-9;2-ims,6-5",0,{158},4
