timestamp,mn_cc,mn_redrt,mn_rre_count,mn_rach_fail,mn_rlf_num,mn_ota_irat,mn_irat,mn_u_r,mn_d_r,mn_u_m,mn_d_m,mn_d_g,mn_u_g,mn_u_b,mn_d_b,mn_txp_md,mn_mtpl,mn_cqi,mn_mac,mn_pu_m_l,mn_pd_m_l,mn_rlf_cause,mn_retr,mn_pp_s,mn_pp_dis,mn_pp_r,mn_ri,mn_prach_cfg,mn_pre_for,mn_o_fail,mn_ph_dis,mn_ssnr,mn_tsnr,mn_path_loss,mn_target_pwr,mn_bandwidth,mn_rsrp_4,mn_snr_4,rf_sul_state,rf_sul_band,mn_ver
2025-11-28 00:00:02.560,0,0,0,0,0,"9,9,9,9,9","9,9,9,9,9","12,10,11,9,8","4,4,5,5,6","9,5,4,6,6","10,12,10,8,9","4,4,6,4,5","6,4,5,5,4","0.22,0.05,0.07,0.05,0.09","0.06,0.13,0.02,0.00,0.03","14.0,13.0,14.0,15.0,14.0","0.0,0.0,0.0,0.0,0.0","-1.0,-1.0,-1.0,-1.0,-1.0","81,77,121,4854,99","-1.0,-1.0,-1.0,-1.0,-1.0","-1.0,-1.0,-1.0,-1.0,-1.0","-1,-1,-1,-1,-1","-1.00,0.02,-1.00,0.02,0.02","-99,4913,-99,4429,4538","-1.00,0.00,-1.00,0.00,0.00","130765578,130798586,130833729,130866552,130897662","-1.0,-1.0,-1.0,-1.0,-1.0","0,0,0,0,0","0,0,0,0,0","-1,-1,-1,-1,-1","0.06,0.00,0.00,0.00,0.00","-111.00,-111.00,-111.00,-111.00,-111.00","-111.00,-111.00,-111.00,-111.00,-111.00","114,115,115,115,115","14,13,14,15,14","20,20,20,20,20","{-102,-118,-118,-118},{-103,-118,-118,-118},{-102,-121,-121,-256}","{56.80,40.30,5.50,5.90},{31.20,15.50,3.90,6.20},{56.80,-11.60,-20.00,-20.00}",0,{158},4
2025-11-28 00:00:04.013,0,0,0,0,0,"9,9,9,9,9","9,9,9,9,9","13,10,9,8,7","4,5,5,4,7","3,4,7,5,6","12,10,11,10,9","6,5,4,4,8","6,6,5,3,5","0.02,0.07,0.21,0.16,0.11","0.06,0.03,0.06,0.06,0.05","16.0,14.0,15.0,14.0,15.0","0.0,0.0,0.0,0.0,0.0","-1.0,-1.0,-1.0,-1.0,-1.0","92,109,48,107,88","-1.0,-1.0,-1.0,-1.0,-1.0","-1.0,-1.0,-1.0,-1.0,-1.0","-1,-1,-1,-1,-1","0.02,0.02,0.02,-1.00,0.02","6243,6054,6644,-99,5053","0.00,0.00,0.00,-1.00,0.00","130782165,130815777,130850093,130881684,130927072","-1.0,-1.0,-1.0,-1.0,-1.0","0,0,0,0,0","0,0,0,0,0","-1,-1,-1,-1,-1","0.00,0.00,0.03,0.00,0.03","-111.00,-111.00,-111.00,-111.00,-111.00","-111.00,-111.00,-111.00,-111.00,-111.00","115,115,115,115,115","16,14,15,14,15","20,20,20,20,20","{-103,-121,-121,-256},{-103,-118,-118,-118},{-103,-121,-121,-120}","{5.60,15.00,3.10,2.20},{31.20,39.00,4.70,5.50},{56.80,12.80,3.50,4.90}",0,{158},4
2025-11-28 00:00:05.668,0,0,0,0,0,"9,9,9,9,9","9,9,9,9,9","10,9,8,7,22","5,5,4,7,6","4,7,5,6,2","10,11,10,9,9","5,4,4,8,9","6,5,3,5,5","0.07,0.21,0.16,0.11,0.21","0.03,0.06,0.06,0.05,0.00","14.0,15.0,14.0,15.0,17.0","0.0,0.0,0.0,0.0,0.0","-1.0,-1.0,-1.0,-1.0,-1.0","109,48,107,88,173","-1.0,-1.0,-1.0,-1.0,-1.0","-1.0,-1.0,-1.0,-1.0,-1.0","-1,-1,-1,-1,-1","0.02,0.02,-1.00,0.02,0.02","6054,6644,-99,5053,6835","0.00,0.00,-1.00,0.00,0.00","130815777,130850093,130881684,130927072,130983289","-1.0,-1.0,-1.0,-1.0,-1.0","0,0,0,0,0","0,0,0,0,0","-1,-1,-1,-1,-1","0.00,0.03,0.00,0.03,0.00","-111.00,-111.00,-111.00,-111.00,-111.00","-111.00,-111.00,-111.00,-111.00,-111.00","115,115,115,115,114","14,15,14,15,17","20,20,20,20,20","{-103,-118,-118,-256},{-103,-119,-119,-117},{-102,-122,-122,-123}","{56.80,-10.40,-20.00,-20.00},{5.60,39.70,4.20,8.50},{-20.00,40.20,-20.00,-20.00}",0,{158},4
2025-11-28 00:00:07.787,0,0,0,0,0,"9,9,9,9,9","9,9,9,9,9","9,8,7,22,20","5,4,7,6,7","7,5,6,2,2","11,10,9,9,9","4,4,8,9,6","5,3,5,5,5","0.21,0.16,0.11,0.21,0.14","0.06,0.06,0.05,0.00,0.09","15.0,14.0,15.0,17.0,18.0","0.0,0.0,0.0,0.0,0.0","-1.0,-1.0,-1.0,-1.0,-1.0","48,107,88,173,67","-1.0,-1.0,-1.0,-1.0,-1.0","-1.0,-1.0,-1.0,-1.0,-1.0","-1,-1,-1,-1,-1","0.02,-1.00,0.02,0.02,0.02","6644,-99,5053,6835,3827","0.00,-1.00,0.00,0.00,0.00","130850093,130881684,130927072,130983289,131024122","-1.0,-1.0,-1.0,-1.0,-1.0","0,0,0,0,0","0,0,0,0,0","-1,-1,-1,-1,-1","0.03,0.00,0.03,0.00,0.07","-111.00,-111.00,-111.00,-111.00,-111.00","-111.00,-111.00,-111.00,-111.00,-111.00","115,115,115,114,115","15,14,15,17,18","20,20,20,20,20","{-103,-118,-118,-118},{-103,-121,-121,-120},{-103,-123,-123,-256}","{31.20,15.50,3.90,6.20},{56.80,12.80,3.50,4.90},{56.80,12.70,-20.00,-20.00}",0,{158},4
2025-11-28 00:00:09.884,0,0,0,0,0,"9,9,9,9,9","9,9,9,9,9","8,7,22,20,11","4,7,6,7,6","5,6,2,2,5","10,9,9,9,9","4,8,9,6,4","3,5,5,5,6","0.16,0.11,0.21,0.14,0.05","0.06,0.05,0.00,0.09,0.03","14.0,15.0,17.0,18.0,17.0","0.0,0.0,0.0,0.0,0.0","-1.0,-1.0,-1.0,-1.0,-1.0","107,88,173,67,73","-1.0,-1.0,-1.0,-1.0,-1.0","-1.0,-1.0,-1.0,-1.0,-1.0","-1,-1,-1,-1,-1","-1.00,0.02,0.02,0.02,0.02","-99,5053,6835,3827,5958","-1.00,0.00,0.00,0.00,0.00","130881684,130927072,130983289,131024122,131056605","-1.0,-1.0,-1.0,-1.0,-1.0","0,0,0,0,0","0,0,0,0,0","-1,-1,-1,-1,-1","0.00,0.03,0.00,0.07,0.00","-111.00,-111.00,-111.00,-111.00,-111.00","-111.00,-111.00,-111.00,-111.00,-111.00","115,115,114,115,115","14,15,17,18,17","20,20,20,20,20","{-103,-117,-117,-117},{-102,-122,-122,-123},{-103,-123,-123,-119}","{-20.00,66.00,3.90,6.30},{-20.00,40.20,-20.00,-20.00},{-20.00,-10.80,2.70,6.10}",0,{158},4
2025-11-28 00:00:11.903,0,0,0,0,0,"9,9,9,9,9","9,9,9,9,9","7,22,20,11,15","7,6,7,6,5","6,2,2,5,4","9,9,9,9,10","8,9,6,4,4","5,5,5,6,5","0.11,0.21,0.14,0.05,0.17","0.05,0.00,0.09,0.03,0.00","15.0,17.0,18.0,17.0,17.0","0.0,0.0,0.0,0.0,0.0","-1.0,-1.0,-1.0,-1.0,-1.0","88,173,67,73,124","-1.0,-1.0,-1.0,-1.0,-1.0","-1.0,-1.0,-1.0,-1.0,-1.0","-1,-1,-1,-1,-1","0.02,0.02,0.02,0.02,-1.00","5053,6835,3827,5958,-99","0.00,0.00,0.00,0.00,-1.00","130927072,130983289,131024122,131056605,131089757","-1.0,-1.0,-1.0,-1.0,-1.0","0,0,0,0,0","0,0,0,0,0","-1,-1,-1,-1,-1","0.03,0.00,0.07,0.00,0.00","-111.00,-111.00,-111.00,-111.00,-111.00","-111.00,-111.00,-111.00,-111.00,-111.00","115,114,115,115,116","15,17,18,17,17","20,20,20,20,20","{-102,-121,-121,-256},{-103,-123,-123,-256},{-103,-123,-123,-117}","{56.80,-11.60,-20.00,-20.00},{56.80,12.70,-20.00,-20.00},{-20.00,-11.70,2.30,6.10}",0,{158},4
2025-11-28 00:00:13.779,0,0,0,0,0,"9,9,9,9,9","9,9,9,9,9","22,20,11,15,11","6,7,6,5,6","2,2,5,4,7","9,9,9,10,8","9,6,4,4,5","5,5,6,5,6","0.21,0.14,0.05,0.17,0.12","0.00,0.09,0.03,0.00,0.05","17.0,18.0,17.0,17.0,15.0","0.0,0.0,0.0,0.0,0.0","-1.0,-1.0,-1.0,-1.0,-1.0","173,67,73,124,152","-1.0,-1.0,-1.0,-1.0,-1.0","-1.0,-1.0,-1.0,-1.0,-1.0","-1,-1,-1,-1,-1","0.02,0.02,0.02,-1.00,0.02","6835,3827,5958,-99,7085","0.00,0.00,0.00,-1.00,0.00","130983289,131024122,131056605,131089757,131124412","-1.0,-1.0,-1.0,-1.0,-1.0","0,0,0,0,0","0,0,0,0,0","-1,-1,-1,-1,-1","0.00,0.07,0.00,0.00,0.00","-111.00,-111.00,-111.00,-111.00,-111.00","-111.00,-111.00,-111.00,-111.00,-111.00","114,115,115,116,115","17,18,17,17,15","20,20,20,20,20","{-101,-121,-121,-256},{-103,-123,-123,-119},{-103,-256,-256,-256}","{-20.00,40.10,1.00,2.00},{-20.00,-10.80,2.70,6.10},{-20.00,-10.40,3.10,-20.00}",0,{158},4
2025-11-28 00:00:15.148,0,0,0,0,0,"9,9,9,9,9","9,9,9,9,9","21,12,16,11,12","5,6,5,5,10","5,6,3,6,8","12,8,8,9,9","5,4,6,6,17","5,4,6,8,8","0.30,0.25,0.23,0.09,0.19","0.28,0.00,0.04,0.06,0.11","15.0,18.0,19.0,16.0,15.0","0.0,0.0,0.0,0.0,0.0","-1.0,-1.0,-1.0,-1.0,-1.0","124,97,117,93,177","-1.0,-1.0,-1.0,-1.0,-1.0","-1.0,-1.0,-1.0,-1.0,-1.0","-1,-1,-1,-1,-1","0.02,-1.00,0.02,0.02,-1.00","5878,-99,5978,7376,-99","0.00,-1.00,0.00,0.00,-1.00","131003223,131039054,131073685,131106897,131157511","-1.0,-1.0,-1.0,-1.0,-1.0","0,0,0,0,0","0,0,0,0,0","-1,-1,-1,-1,-1","0.00,0.03,0.04,0.00,0.04","-111.00,-111.00,-111.00,-111.00,-111.00","-111.00,-111.00,-111.00,-111.00,-111.00","114,115,115,115,115","15,18,19,16,15","20,20,20,20,20","{-102,-122,-122,-123},{-103,-117,-117,-117},{-104,-121,-121,-116}","{-20.00,40.20,-20.00,-20.00},{56.80,40.40,4.10,7.10},{56.80,38.10,2.10,7.60}",0,{158},4
2025-11-28 00:00:18.173,0,0,0,0,0,"9,9,9,9,9","9,9,9,9,9","11,15,11,15,9","6,5,6,7,6","5,4,7,7,6","9,10,8,9,9","4,4,5,10,7","6,5,6,12,5","0.05,0.17,0.12,0.08,0.15","0.03,0.00,0.05,0.04,0.03","17.0,17.0,15.0,16.0,14.0","0.0,0.0,0.0,0.0,0.0","-1.0,-1.0,-1.0,-1.0,-1.0","73,124,152,311,66","-1.0,-1.0,-1.0,-1.0,-1.0","-1.0,-1.0,-1.0,-1.0,-1.0","-1,-1,-1,-1,-1","0.02,-1.00,0.02,0.02,-1.00","5958,-99,7085,13735,-99","0.00,-1.00,0.00,0.00,-1.00","131056605,131089757,131124412,131229047,131275981","-1.0,-1.0,-1.0,-1.0,-1.0","0,0,0,0,0","0,0,0,0,0","-1,-1,-1,-1,-1","0.00,0.00,0.00,0.00,0.00","-111.00,-111.00,-111.00,-111.00,-111.00","-111.00,-111.00,-111.00,-111.00,-111.00","115,116,115,115,114","17,17,15,16,14","20,20,20,20,20","{-103,-124,-124,-256},{-103,-256,-256,-256},{-102,-120,-120,-115}","{31.20,63.70,-20.00,-20.00},{-20.00,-10.40,3.10,-20.00},{-20.00,-11.20,12.80,9.50}",0,{158},4
2025-11-28 00:00:22.203,0,0,0,0,0,"9,9,9,9,9","9,9,9,9,9","11,15,9,9,8","6,7,6,5,7","7,7,6,10,5","8,9,9,8,8","5,10,7,6,7","6,12,5,7,4","0.12,0.08,0.15,0.35,0.02","0.05,0.04,0.03,0.12,0.00","15.0,16.0,14.0,15.0,14.0","0.0,0.0,0.0,0.0,0.0","-1.0,-1.0,-1.0,-1.0,-1.0","152,311,66,75,92","-1.0,-1.0,-1.0,-1.0,-1.0","-1.0,-1.0,-1.0,-1.0,-1.0","-1,-1,-1,-1,-1","0.02,0.02,-1.00,0.02,-1.00","7085,13735,-99,4508,-99","0.00,0.00,-1.00,0.00,-1.00","131124412,131229047,131275981,131321092,131361674","-1.0,-1.0,-1.0,-1.0,-1.0","0,0,0,0,0","0,0,0,0,0","-1,-1,-1,-1,-1","0.00,0.00,0.00,0.04,0.03","-111.00,-111.00,-111.00,-111.00,-111.00","-111.00,-111.00,-111.00,-111.00,-111.00","115,115,114,114,114","15,16,14,15,14","20,20,20,20,20","{-103,-122,-122,-119},{-102,-120,-120,-115},{-101,-118,-118,-113}","{31.20,40.90,3.00,6.50},{-20.00,-11.20,12.80,9.50},{5.60,15.70,3.40,10.50}",0,{158},4
