timestamp,mn_cc,mn_redrt,mn_rre_count,mn_rach_fail,mn_rlf_num,mn_ota_irat,mn_irat,mn_u_r,mn_d_r,mn_u_m,mn_d_m,mn_d_g,mn_u_g,mn_u_b,mn_d_b,mn_txp_md,mn_mtpl,mn_cqi,mn_mac,mn_pu_m_l,mn_pd_m_l,mn_rlf_cause,mn_retr,mn_pp_s,mn_pp_dis,mn_pp_r,mn_ri,mn_prach_cfg,mn_pre_for,mn_o_fail,mn_ph_dis,mn_ssnr,mn_tsnr,mn_path_loss,mn_target_pwr,mn_bandwidth,mn_rsrp_4,mn_snr_4,rf_sul_state,rf_sul_band,mn_ver
2025-10-20 17:09:02.105,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","3,3,3,-1,3","35,28,27,-1,21","20,18,18,-1,21","5,5,5,-1,4","230,201,161,-99,192","22,24,16,-99,23","0.15,0.10,0.10,-99.00,0.09","0.13,0.09,0.15,-99.00,0.12","25.1,25.7,25.6,-99.0,24.5","25.0,25.0,25.0,-99.0,25.0","6.0,5.4,6.6,-99.0,6.0","229,79,407,-1,237","1.0,1.0,1.0,-1.0,1.0","1.9,1.9,1.9,-1.0,1.9","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","153349,156009,105715,-99,144077","0.5,0.5,0.6,-1.0,0.5","17,17,17,17,17","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","9.07,8.82,9.12,-111.00,8.02","-111.00,-111.00,-111.00,-111.00,-111.00","101,100,100,-99,100","26,26,26,-99,25","100,100,100,100,100","{-84,-84,-100,-95},{-84,-85,-95,-96},{-87,-86,-101,-101}","{4.71,9.27,-4.78,-1.05},{6.63,8.62,-2.57,-2.92},{3.67,8.10,-3.19,-2.10}",0,{191},4
2025-10-20 17:09:03.143,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","3,-1,3,3,3","39,-1,30,28,28","20,-1,18,20,19","3,-1,6,7,6","213,-99,311,211,222","22,-99,20,21,21","0.15,-99.00,0.05,0.06,0.09","0.10,-99.00,0.14,0.16,0.15","25.2,-99.0,25.9,24.2,25.2","25.0,-99.0,26.0,25.0,25.0","5.3,-99.0,6.6,6.0,6.0","204,-1,215,160,214","1.0,-1.0,1.0,1.0,1.0","2.0,-1.0,2.0,1.9,2.0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","211261,-99,242334,177877,202745","0.5,-1.0,0.5,0.5,0.5","17,17,17,17,17","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","8.91,-111.00,8.55,7.73,10.63","-111.00,-111.00,-111.00,-111.00,-111.00","100,-99,101,99,103","26,-99,27,24,26","100,100,100,100,100","{-84,-84,-96,-91},{-82,-89,-100,-94},{-83,-84,-97,-100}","{4.95,9.45,-5.62,-3.00},{6.12,4.12,2.90,-0.14},{1.12,7.66,-2.12,-3.53}",0,{191},4
2025-10-20 17:09:04.179,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","3,3,-1,3,3","28,27,-1,21,40","18,18,-1,21,18","5,5,-1,4,4","201,161,-99,192,223","24,16,-99,23,20","0.10,0.10,-99.00,0.09,0.16","0.09,0.15,-99.00,0.12,0.14","25.7,25.6,-99.0,24.5,25.2","25.0,25.0,-99.0,25.0,25.0","5.4,6.6,-99.0,6.0,6.0","79,407,-1,237,138","1.0,1.0,-1.0,1.0,1.0","1.9,1.9,-1.0,1.9,1.9","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","156009,105715,-99,144077,191209","0.5,0.6,-1.0,0.5,0.5","17,17,17,17,17","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","8.82,9.12,-111.00,8.02,7.61","-111.00,-111.00,-111.00,-111.00,-111.00","100,100,-99,100,102","26,26,-99,25,25","100,100,100,100,100","{-84,-84,-99,-96},{-83,-89,-106,-94},{-85,-85,-96,-97}","{3.69,8.39,-7.18,-1.57},{6.12,4.12,2.90,-0.14},{3.55,8.20,-5.08,-5.26}",0,{191},4
2025-10-20 17:09:05.225,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","-1,3,3,3,3","-1,30,28,28,29","-1,18,20,19,19","-1,6,7,6,6","-99,311,211,222,201","-99,20,21,21,21","-99.00,0.05,0.06,0.09,0.15","-99.00,0.14,0.16,0.15,0.18","-99.0,25.9,24.2,25.2,25.5","-99.0,26.0,25.0,25.0,25.0","-99.0,6.6,6.0,6.0,6.0","-1,215,160,214,235","-1.0,1.0,1.0,1.0,1.0","-1.0,2.0,1.9,2.0,2.0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","-99,242334,177877,202745,172417","-1.0,0.5,0.5,0.5,0.5","17,17,17,17,17","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-111.00,8.55,7.73,10.63,8.43","-111.00,-111.00,-111.00,-111.00,-111.00","-99,101,99,103,101","-99,27,24,26,26","100,100,100,100,100","{-83,-84,-98,-94},{-87,-87,-100,-97},{-83,-85,-98,-100}","{4.87,9.65,-4.63,-2.20},{7.16,7.05,-7.50,-1.73},{3.91,9.20,-3.17,-5.68}",0,{191},4
2025-10-20 17:09:06.267,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","3,-1,3,3,3","27,-1,21,40,36","18,-1,21,18,19","5,-1,4,4,7","161,-99,192,223,92","16,-99,23,20,8","0.10,-99.00,0.09,0.16,0.08","0.15,-99.00,0.12,0.14,0.14","25.6,-99.0,24.5,25.2,25.1","25.0,-99.0,25.0,25.0,25.0","6.6,-99.0,6.0,6.0,5.3","407,-1,237,138,40","1.0,-1.0,1.0,1.0,1.0","1.9,-1.0,1.9,1.9,0.7","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","105715,-99,144077,191209,66946","0.6,-1.0,0.5,0.5,0.5","17,17,17,17,17","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","9.12,-111.00,8.02,7.61,7.66","-111.00,-111.00,-111.00,-111.00,-111.00","100,-99,100,102,100","26,-99,25,25,25","100,100,100,100,100","{-83,-84,-99,-97},{-87,-86,-101,-101},{-84,-85,-95,-98}","{4.87,9.65,-4.63,-2.20},{3.67,8.10,-3.19,-2.10},{5.31,7.92,0.13,-9.42}",0,{191},4
2025-10-20 17:09:07.306,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","3,3,3,3,3","30,28,28,29,35","18,20,19,19,19","6,7,6,6,11","311,211,222,201,133","20,21,21,21,13","0.05,0.06,0.09,0.15,0.06","0.14,0.16,0.15,0.18,0.10","25.9,24.2,25.2,25.5,25.1","26.0,25.0,25.0,25.0,25.0","6.6,6.0,6.0,6.0,4.9","215,160,214,235,474","1.0,1.0,1.0,1.0,1.0","2.0,1.9,2.0,2.0,0.0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","242334,177877,202745,172417,112912","0.5,0.5,0.5,0.5,0.5","17,17,17,17,17","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","8.55,7.73,10.63,8.43,6.08","-111.00,-111.00,-111.00,-111.00,-111.00","101,99,103,101,100","27,24,26,26,26","100,100,100,100,100","{-84,-85,-95,-96},{-83,-84,-97,-100},{-85,-86,-94,-96}","{6.63,8.62,-2.57,-2.92},{1.12,7.66,-2.12,-3.53},{3.65,6.12,-3.48,-7.27}",0,{191},4
2025-10-20 17:09:08.348,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","-1,3,3,3,3","-1,21,40,36,25","-1,21,18,19,20","-1,4,4,7,7","-99,192,223,92,228","-99,23,20,8,22","-99.00,0.09,0.16,0.08,0.10","-99.00,0.12,0.14,0.14,0.08","-99.0,24.5,25.2,25.1,24.7","-99.0,25.0,25.0,25.0,25.0","-99.0,6.0,6.0,5.3,5.4","-1,237,138,40,232","-1.0,1.0,1.0,1.0,1.0","-1.0,1.9,1.9,0.7,1.2","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","-99,144077,191209,66946,180375","-1.0,0.5,0.5,0.5,0.5","17,17,17,17,17","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-111.00,8.02,7.61,7.66,5.67","-111.00,-111.00,-111.00,-111.00,-111.00","-99,100,102,100,101","-99,25,25,25,25","100,100,100,100,100","{-82,-89,-100,-94},{-85,-85,-96,-97},{-86,-87,-98,-94}","{6.12,4.12,2.90,-0.14},{3.55,8.20,-5.08,-5.26},{-0.19,5.83,0.94,-1.05}",0,{191},4
2025-10-20 17:09:09.389,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","3,3,3,3,3","28,28,29,35,33","20,19,19,19,19","7,6,6,11,4","211,222,201,133,216","21,21,21,13,21","0.06,0.09,0.15,0.06,0.04","0.16,0.15,0.18,0.10,0.17","24.2,25.2,25.5,25.1,24.3","25.0,25.0,25.0,25.0,25.0","6.0,6.0,6.0,4.9,6.0","160,214,235,474,191","1.0,1.0,1.0,1.0,1.0","1.9,2.0,2.0,0.0,2.0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","177877,202745,172417,112912,164753","0.5,0.5,0.5,0.5,0.5","17,17,17,17,17","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","7.73,10.63,8.43,6.08,6.22","-111.00,-111.00,-111.00,-111.00,-111.00","99,103,101,100,102","24,26,26,26,24","100,100,100,100,100","{-83,-89,-106,-94},{-83,-85,-98,-100},{-91,-95,-114,-91}","{6.12,4.12,2.90,-0.14},{3.91,9.20,-3.17,-5.68},{5.62,7.33,0.59,-1.49}",0,{191},4
2025-10-20 17:09:10.416,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","3,3,3,3,3","21,40,36,25,32","21,18,19,20,21","4,4,7,7,5","192,223,92,228,203","23,20,8,22,22","0.09,0.16,0.08,0.10,0.10","0.12,0.14,0.14,0.08,0.16","24.5,25.2,25.1,24.7,24.9","25.0,25.0,25.0,25.0,25.0","6.0,6.0,5.3,5.4,6.0","237,138,40,232,129","1.0,1.0,1.0,1.0,1.0","1.9,1.9,0.7,1.2,1.7","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","144077,191209,66946,180375,162871","0.5,0.5,0.5,0.5,0.5","17,17,17,17,17","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","8.02,7.61,7.66,5.67,1.80","-111.00,-111.00,-111.00,-111.00,-111.00","100,102,100,101,108","25,25,25,25,28","100,100,100,100,100","{-87,-87,-100,-97},{-84,-85,-95,-98},{-95,-94,-101,-90}","{7.16,7.05,-7.50,-1.73},{5.31,7.92,0.13,-9.42},{-2.65,0.85,-1.79,-1.02}",0,{191},4
2025-10-20 17:09:11.438,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","3,3,3,3,-1","28,29,35,33,-1","19,19,19,19,-1","6,6,11,4,-1","222,201,133,216,-99","21,21,13,21,-99","0.09,0.15,0.06,0.04,-99.00","0.15,0.18,0.10,0.17,-99.00","25.2,25.5,25.1,24.3,-99.0","25.0,25.0,25.0,25.0,-99.0","6.0,6.0,4.9,6.0,-99.0","214,235,474,191,-1","1.0,1.0,1.0,1.0,-1.0","2.0,2.0,0.0,2.0,-1.0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","202745,172417,112912,164753,-99","0.5,0.5,0.5,0.5,-1.0","17,17,17,17,17","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","10.63,8.43,6.08,6.22,-111.00","-111.00,-111.00,-111.00,-111.00,-111.00","103,101,100,102,-99","26,26,26,24,-99","100,100,100,100,100","{-87,-86,-101,-101},{-85,-86,-94,-96},{-83,-87,-111,-97}","{3.67,8.10,-3.19,-2.10},{3.65,6.12,-3.48,-7.27},{-2.65,0.85,-1.79,-1.02}",0,{191},4
2025-10-20 17:09:12.479,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","3,3,3,3,3","40,36,25,32,22","18,19,20,21,18","4,7,7,5,9","223,92,228,203,144","20,8,22,22,21","0.16,0.08,0.10,0.10,0.16","0.14,0.14,0.08,0.16,0.10","25.2,25.1,24.7,24.9,21.9","25.0,25.0,25.0,25.0,25.0","6.0,5.3,5.4,6.0,5.6","138,40,232,129,183","1.0,1.0,1.0,1.0,1.0","1.9,0.7,1.2,1.7,0.6","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","191209,66946,180375,162871,117413","0.5,0.5,0.5,0.5,0.5","17,17,17,17,17","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","7.61,7.66,5.67,1.80,5.71","-111.00,-111.00,-111.00,-111.00,-111.00","102,100,101,108,106","25,25,25,28,22","100,100,100,100,100","{-83,-84,-97,-100},{-86,-87,-98,-94},{-84,-86,-103,-96}","{1.12,7.66,-2.12,-3.53},{-0.19,5.83,0.94,-1.05},{5.21,4.11,-1.34,-5.92}",0,{191},4
2025-10-20 17:09:13.526,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","3,3,3,-1,3","29,35,33,-1,25","19,19,19,-1,18","6,11,4,-1,8","201,133,216,-99,119","21,13,21,-99,25","0.15,0.06,0.04,-99.00,0.19","0.18,0.10,0.17,-99.00,0.14","25.5,25.1,24.3,-99.0,24.3","25.0,25.0,25.0,-99.0,25.0","6.0,4.9,6.0,-99.0,5.8","235,474,191,-1,176","1.0,1.0,1.0,-1.0,1.0","2.0,0.0,2.0,-1.0,0.5","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","172417,112912,164753,-99,101457","0.5,0.5,0.5,-1.0,0.5","17,17,17,17,17","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","8.43,6.08,6.22,-111.00,4.97","-111.00,-111.00,-111.00,-111.00,-111.00","101,100,102,-99,100","26,26,24,-99,24","100,100,100,100,100","{-85,-85,-96,-97},{-91,-95,-114,-91},{-83,-87,-100,-96}","{3.55,8.20,-5.08,-5.26},{5.62,7.33,0.59,-1.49},{6.53,2.71,-2.23,-7.38}",0,{191},4
2025-10-20 17:09:14.560,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","3,3,3,3,3","36,25,32,22,24","19,20,21,18,18","7,7,5,9,8","92,228,203,144,135","8,22,22,21,15","0.08,0.10,0.10,0.16,0.06","0.14,0.08,0.16,0.10,0.03","25.1,24.7,24.9,21.9,25.6","25.0,25.0,25.0,25.0,25.0","5.3,5.4,6.0,5.6,5.5","40,232,129,183,79","1.0,1.0,1.0,1.0,1.0","0.7,1.2,1.7,0.6,0.0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","66946,180375,162871,117413,117767","0.5,0.5,0.5,0.5,0.5","17,17,17,17,17","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","7.66,5.67,1.80,5.71,5.55","-111.00,-111.00,-111.00,-111.00,-111.00","100,101,108,106,100","25,25,28,22,26","100,100,100,100,100","{-83,-85,-98,-100},{-95,-94,-101,-90},{-83,-87,-93,-97}","{3.91,9.20,-3.17,-5.68},{-2.65,0.85,-1.79,-1.02},{4.18,5.26,-0.05,-5.35}",0,{191},4
2025-10-20 17:09:15.598,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","3,3,-1,3,-1","35,33,-1,25,-1","19,19,-1,18,-1","11,4,-1,8,-1","133,216,-99,119,-99","13,21,-99,25,-99","0.06,0.04,-99.00,0.19,-99.00","0.10,0.17,-99.00,0.14,-99.00","25.1,24.3,-99.0,24.3,-99.0","25.0,25.0,-99.0,25.0,-99.0","4.9,6.0,-99.0,5.8,-99.0","474,191,-1,176,-1","1.0,1.0,-1.0,1.0,-1.0","0.0,2.0,-1.0,0.5,-1.0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","112912,164753,-99,101457,-99","0.5,0.5,-1.0,0.5,-1.0","17,17,17,17,17","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","6.08,6.22,-111.00,4.97,-111.00","-111.00,-111.00,-111.00,-111.00,-111.00","100,102,-99,100,-99","26,24,-99,24,-99","100,100,100,100,100","{-84,-85,-95,-98},{-83,-87,-111,-97},{-86,-85,-98,-93}","{5.31,7.92,0.13,-9.42},{-2.65,0.85,-1.79,-1.02},{4.18,5.26,-0.05,-5.35}",0,{191},4
2025-10-20 17:09:16.639,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","3,3,3,3,3","25,32,22,24,20","20,21,18,18,18","7,5,9,8,9","228,203,144,135,140","22,22,21,15,24","0.10,0.10,0.16,0.06,0.08","0.08,0.16,0.10,0.03,0.08","24.7,24.9,21.9,25.6,25.6","25.0,25.0,25.0,25.0,25.0","5.4,6.0,5.6,5.5,5.4","232,129,183,79,224","1.0,1.0,1.0,1.0,1.0","1.2,1.7,0.6,0.0,0.0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","180375,162871,117413,117767,116782","0.5,0.5,0.5,0.5,0.5","17,17,17,17,17","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","5.67,1.80,5.71,5.55,5.06","-111.00,-111.00,-111.00,-111.00,-111.00","101,108,106,100,102","25,28,22,26,26","100,100,100,100,100","{-85,-86,-94,-96},{-84,-86,-103,-96},{-93,-86,-99,-95}","{3.65,6.12,-3.48,-7.27},{5.21,4.11,-1.34,-5.92},{-2.07,3.05,-2.64,-0.91}",0,{191},4
2025-10-20 17:09:17.684,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","3,-1,3,-1,3","33,-1,25,-1,28","19,-1,18,-1,17","4,-1,8,-1,9","216,-99,119,-99,118","21,-99,25,-99,19","0.04,-99.00,0.19,-99.00,0.06","0.17,-99.00,0.14,-99.00,0.07","24.3,-99.0,24.3,-99.0,26.1","25.0,-99.0,25.0,-99.0,26.0","6.0,-99.0,5.8,-99.0,5.4","191,-1,176,-1,164","1.0,-1.0,1.0,-1.0,1.0","2.0,-1.0,0.5,-1.0,0.0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","164753,-99,101457,-99,78634","0.5,-1.0,0.5,-1.0,0.5","17,17,17,17,17","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","6.22,-111.00,4.97,-111.00,6.07","-111.00,-111.00,-111.00,-111.00,-111.00","102,-99,100,-99,108","24,-99,24,-99,27","100,100,100,100,100","{-86,-87,-98,-94},{-83,-87,-100,-96},{-91,-87,-102,-93}","{-0.19,5.83,0.94,-1.05},{6.53,2.71,-2.23,-7.38},{-2.73,7.02,-7.27,-6.60}",0,{191},4
