timestamp,mn_cc,mn_redrt,mn_rre_count,mn_rach_fail,mn_rlf_num,mn_ota_irat,mn_irat,mn_u_r,mn_d_r,mn_u_m,mn_d_m,mn_d_g,mn_u_g,mn_u_b,mn_d_b,mn_txp_md,mn_mtpl,mn_cqi,mn_mac,mn_pu_m_l,mn_pd_m_l,mn_rlf_cause,mn_retr,mn_pp_s,mn_pp_dis,mn_pp_r,mn_ri,mn_prach_cfg,mn_pre_for,mn_o_fail,mn_ph_dis,mn_ssnr,mn_tsnr,mn_path_loss,mn_target_pwr,mn_bandwidth,mn_rsrp_4,mn_snr_4,rf_sul_state,rf_sul_band,mn_ver
2025-11-02 10:30:51.176,1,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","41,55,50,23,29","32,21,31,21,19","19,18,8,21,22","4,9,8,6,4","154,116,158,91,63","125,270,282,305,391","0.15,0.35,0.05,0.06,0.09","0.00,0.09,0.11,0.10,0.06","18.1,20.2,25.9,19.0,21.0","21.0,23.0,26.0,23.0,22.0","11.9,12.8,10.5,12.3,12.0","3832,7097,7439,4742,6685","1.0,1.0,1.0,1.0,1.0","1.0,0.8,0.9,1.0,1.0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","128089,68144,120942,73286,44037","1.0,1.0,1.0,1.0,1.0","210,210,210,210,210","13,13,13,13,13","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","6.96,5.09,6.54,9.81,11.14","24.80,21.29,22.23,27.92,28.49","104,105,109,100,104","20,23,29,20,23","100,100,100,100,100","{-85,-87,-90,-90},{-92,-88,-90,-90},{-78,-84,-85,-80}","{24.16,27.06,22.58,25.05},{-1.13,-0.28,12.21,8.81},{28.07,33.51,-inf,-inf}",0,{191},4
2025-11-02 10:30:52.222,1,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","78,49,34,25,18","37,26,32,21,21","17,10,15,19,23","6,6,6,4,3","141,66,90,90,86","285,211,272,323,169","0.11,0.10,0.07,0.08,0.09","0.10,0.14,0.09,0.06,0.05","20.7,23.1,23.4,18.2,16.1","21.0,25.0,24.0,23.0,22.0","11.5,10.3,11.8,12.0,11.9","9931,6212,8975,5873,5345","1.0,1.0,1.0,1.0,1.0","1.0,1.0,0.7,0.9,1.0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","116758,51492,-11409614,62837,69468","1.0,1.0,1.0,1.0,1.0","210,210,210,210,210","13,13,13,13,13","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","5.50,6.59,10.07,10.19,14.33","22.34,21.61,25.01,28.95,28.78","107,105,107,99,99","26,25,26,19,16","100,100,100,100,100","{-87,-89,-83,-87},{-82,-80,-96,-81},{-86,-85,-93,-80}","{3.74,8.45,-inf,-inf},{28.92,27.98,30.22,24.23},{31.63,24.60,-inf,-inf}",0,{191},4
2025-11-02 10:30:53.257,1,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","55,50,23,29,31","21,31,21,19,27","18,8,21,22,19","9,8,6,4,5","116,158,91,63,124","270,282,305,391,285","0.35,0.05,0.06,0.09,0.09","0.09,0.11,0.10,0.06,0.06","20.2,25.9,19.0,21.0,15.9","23.0,26.0,23.0,22.0,23.0","12.8,10.5,12.3,12.0,11.2","7097,7439,4742,6685,5437","1.0,1.0,1.0,1.0,1.0","0.8,0.9,1.0,1.0,1.0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","68144,120942,73286,44037,91031","1.0,1.0,1.0,1.0,1.0","210,210,210,210,210","13,13,13,13,13","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","5.09,6.54,9.81,11.14,11.12","21.29,22.23,27.92,28.49,26.00","105,109,100,104,101","23,29,20,23,16","100,100,100,100,100","{-89,-83,-90,-88},{-80,-85,-82,-90},{-84,-92,-80,-92}","{20.80,22.12,24.15,25.49},{29.76,23.71,-inf,-inf},{27.22,22.39,-inf,-inf}",0,{191},4
2025-11-02 10:30:54.288,1,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","49,34,25,18,49","26,32,21,21,35","10,15,19,23,11","6,6,4,3,6","66,90,90,86,145","211,272,323,169,295","0.10,0.07,0.08,0.09,0.06","0.14,0.09,0.06,0.05,0.11","23.1,23.4,18.2,16.1,18.3","25.0,24.0,23.0,22.0,25.0","10.3,11.8,12.0,11.9,11.0","6212,8975,5873,5345,8691","1.0,1.0,1.0,1.0,1.0","1.0,0.7,0.9,1.0,0.8","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","51492,-11409614,62837,69468,109665","1.0,1.0,1.0,1.0,0.9","210,210,210,210,210","13,13,13,13,13","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","6.59,10.07,10.19,14.33,9.36","21.61,25.01,28.95,28.78,22.26","105,107,99,99,104","25,26,19,16,19","100,100,100,100,100","{-87,-83,-88,-88},{-82,-81,-90,-85},{-90,-87,-87,-90}","{-3.35,-0.65,5.01,3.73},{30.83,26.64,-inf,-inf},{18.29,21.23,-inf,-inf}",0,{191},4
2025-11-02 10:30:55.320,1,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","50,23,29,31,45","31,21,19,27,33","8,21,22,19,15","8,6,4,5,4","158,91,63,124,145","282,305,391,285,371","0.05,0.06,0.09,0.09,0.19","0.11,0.10,0.06,0.06,0.11","25.9,19.0,21.0,15.9,21.3","26.0,23.0,22.0,23.0,25.0","10.5,12.3,12.0,11.2,10.3","7439,4742,6685,5437,5931","1.0,1.0,1.0,1.0,1.0","0.9,1.0,1.0,1.0,0.9","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","120942,73286,44037,91031,97160","1.0,1.0,1.0,1.0,1.0","210,210,210,210,210","13,13,13,13,13","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","6.54,9.81,11.14,11.12,8.36","22.23,27.92,28.49,26.00,15.68","109,100,104,101,110","29,20,23,16,24","100,100,100,100,100","{-91,-88,-89,-93},{-78,-84,-85,-80},{-97,-99,-96,-98}","{22.68,24.70,30.42,23.71},{28.07,33.51,-inf,-inf},{25.75,28.93,-inf,-inf}",0,{191},4
2025-11-02 10:30:56.359,1,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","34,25,18,49,29","32,21,21,35,34","15,19,23,11,15","6,4,3,6,4","90,90,86,145,169","272,323,169,295,307","0.07,0.08,0.09,0.06,0.08","0.09,0.06,0.05,0.11,0.04","23.4,18.2,16.1,18.3,19.2","24.0,23.0,22.0,25.0,25.0","11.8,12.0,11.9,11.0,10.5","8975,5873,5345,8691,5633","1.0,1.0,1.0,1.0,1.0","0.7,0.9,1.0,0.8,1.0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","-11409614,62837,69468,109665,124255","1.0,1.0,1.0,0.9,1.0","210,210,210,210,210","13,13,13,13,13","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","10.07,10.19,14.33,9.36,11.98","25.01,28.95,28.78,22.26,15.97","107,99,99,104,108","26,19,16,19,20","100,100,100,100,100","{-92,-88,-90,-90},{-86,-85,-93,-80},{-80,-87,-87,-84}","{-1.13,-0.28,12.21,8.81},{31.63,24.60,-inf,-inf},{28.49,20.44,-inf,-inf}",0,{191},4
2025-11-02 10:30:57.392,1,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","23,29,31,45,21","21,19,27,33,27","21,22,19,15,21","6,4,5,4,5","91,63,124,145,128","305,391,285,371,397","0.06,0.09,0.09,0.19,0.12","0.10,0.06,0.06,0.11,0.03","19.0,21.0,15.9,21.3,16.9","23.0,22.0,23.0,25.0,23.0","12.3,12.0,11.2,10.3,10.5","4742,6685,5437,5931,6292","1.0,1.0,1.0,1.0,1.0","1.0,1.0,1.0,0.9,0.9","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","73286,44037,91031,97160,92581","1.0,1.0,1.0,1.0,1.0","210,210,210,210,210","13,13,13,13,13","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","9.81,11.14,11.12,8.36,17.25","27.92,28.49,26.00,15.68,21.22","100,104,101,110,100","20,23,16,24,17","100,100,100,100,100","{-82,-80,-96,-81},{-84,-92,-80,-92},{-77,-80,-80,-76}","{28.92,27.98,30.22,24.23},{27.22,22.39,-inf,-inf},{19.43,15.59,-inf,-inf}",0,{191},4
2025-11-02 10:30:58.422,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","25,18,49,29,24","21,21,35,34,24","19,23,11,15,22","4,3,6,4,4","90,86,145,169,107","323,169,295,307,309","0.08,0.09,0.06,0.08,0.11","0.06,0.05,0.11,0.04,0.01","18.2,16.1,18.3,19.2,15.9","23.0,22.0,25.0,25.0,22.0","12.0,11.9,11.0,10.5,11.8","5873,5345,8691,5633,8058","1.0,1.0,1.0,1.0,1.0","0.9,1.0,0.8,1.0,1.0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","62837,69468,109665,124255,92244","1.0,1.0,0.9,1.0,1.0","210,210,210,210,210","13,13,13,13,13","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","10.19,14.33,9.36,11.98,23.67","28.95,28.78,22.26,15.97,25.92","99,99,104,108,96","19,16,19,20,16","100,100,100,100,100","{-80,-85,-82,-90},{-90,-87,-87,-90},{-85,-91,-86,-88}","{29.76,23.71,-inf,-inf},{18.29,21.23,-inf,-inf},{28.09,29.35,-inf,-inf}",0,{191},4
2025-11-02 10:30:59.448,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","29,31,45,21,30","19,27,33,27,24","22,19,15,21,20","4,5,4,5,4","63,124,145,128,111","391,285,371,397,307","0.09,0.09,0.19,0.12,0.10","0.06,0.06,0.11,0.03,0.04","21.0,15.9,21.3,16.9,22.7","22.0,23.0,25.0,23.0,23.0","12.0,11.2,10.3,10.5,10.8","6685,5437,5931,6292,6225","1.0,1.0,1.0,1.0,1.0","1.0,1.0,0.9,0.9,1.0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","44037,91031,97160,92581,87951","1.0,1.0,1.0,1.0,1.0","210,210,210,210,210","13,13,13,13,13","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","11.14,11.12,8.36,17.25,14.33","28.49,26.00,15.68,21.22,18.02","104,101,110,100,103","23,16,24,17,26","100,100,100,100,100","{-82,-81,-90,-85},{-97,-99,-96,-98},{-87,-86,-86,-88}","{30.83,26.64,-inf,-inf},{25.75,28.93,-inf,-inf},{25.90,30.14,-inf,-inf}",0,{191},4
2025-11-02 10:31:00.483,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","31,45,21,30,35","27,33,27,24,18","19,15,21,20,22","5,4,5,4,3","124,145,128,111,70","285,371,397,307,402","0.09,0.19,0.12,0.10,0.06","0.06,0.11,0.03,0.04,0.00","15.9,21.3,16.9,22.7,19.4","23.0,25.0,23.0,23.0,22.0","11.2,10.3,10.5,10.8,11.5","5437,5931,6292,6225,6715","1.0,1.0,1.0,1.0,1.0","1.0,0.9,0.9,1.0,1.0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","91031,97160,92581,87951,41822","1.0,1.0,1.0,1.0,1.0","210,210,210,210,210","13,13,13,13,13","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","11.12,8.36,17.25,14.33,23.06","26.00,15.68,21.22,18.02,25.06","101,110,100,103,103","16,24,17,26,21","100,100,100,100,100","{-86,-85,-93,-80},{-77,-80,-80,-76},{-85,-77,-84,-69}","{31.63,24.60,-inf,-inf},{19.43,15.59,-inf,-inf},{31.33,32.04,-inf,-inf}",0,{191},4
