curTime_of_UTC8,num_send_packets,avg_send_packetLen,send_dataStream,avg_send_packetInterval,num_recv_packets,avg_recv_packetLen,recv_dataStream,avg_recv_packetInterval,label,mn_u_r_mean,mn_d_r_mean,mn_u_m_mean,mn_d_m_mean,mn_d_g_mean,mn_u_g_mean,mn_u_b_mean,mn_d_b_mean,mn_cqi_mean,mn_mac_mean,mn_bandwidth_mean,rsrp_1_mean,snr_1_mean
2025-10-26 19:13:00,28,114.89285714285714,3217,0.035580609525953,19,145.42105263157896,2763,0.0519884134593762,0,4.0,15.6,16.0,0.2,5.8,9.6,0.088,0.0,10.28,227.4,100.0,-76.33333333333333,25.69
2025-10-26 19:13:01,20,114.4,2288,0.0487036943435668,18,185.3333333333333,3336,0.055000000529819,0,4.4,16.0,17.4,0.6,7.4,11.6,0.094,0.0,10.3,431.2,100.0,-76.0,26.15333333333333
2025-10-26 19:13:02,20,114.4,2288,0.05086350440979,18,173.22222222222223,3118,0.0550437238481309,0,4.0,15.6,17.4,0.2,6.6,11.6,0.116,0.0,10.419999999999998,227.4,100.0,-78.0,23.22
2025-10-26 19:13:03,20,115.15,2303,0.0505566000938415,18,180.66666666666663,3252,0.0589853922526041,0,4.0,16.0,17.8,0.8,7.4,11.6,0.102,0.0,9.82,140.2,100.0,-86.0,19.666666666666664
2025-10-26 19:13:04,21,115.8095238095238,2432,0.0467732293265206,17,177.0,3009,0.0579573547138887,0,4.0,15.6,17.4,0.2,6.6,11.6,0.116,0.0,10.419999999999998,227.4,100.0,-78.0,23.22
2025-10-26 19:13:05,19,116.47368421052632,2213,0.0521736395986456,19,170.78947368421052,3245,0.0520957394650107,0,4.8,16.6,14.4,0.8,6.2,10.2,0.102,0.0,9.02,64.4,100.0,-87.33333333333333,14.526666666666666
2025-10-26 19:13:06,18,115.83333333333331,2085,0.0546913279427422,17,175.05882352941177,2976,0.0582615768208223,0,4.8,15.6,13.2,0.8,7.8,9.8,0.096,0.0,9.38,47.0,100.0,-85.66666666666667,24.973333333333333
2025-10-26 19:13:07,20,115.0,2300,0.0498000025749206,17,178.05882352941177,3027,0.0589344221002915,0,5.4,17.0,11.0,1.2,8.2,8.8,0.08,0.008,9.16,57.0,100.0,-93.0,16.47
2025-10-26 19:13:08,18,117.38888888888889,2113,0.0563090509838528,17,182.52941176470588,3103,0.0575272335725672,0,4.8,15.6,13.2,0.8,7.8,9.8,0.096,0.0,9.38,47.0,100.0,-85.66666666666667,24.973333333333333
2025-10-26 19:13:09,19,117.73684210526316,2237,0.0535886915106522,18,187.11111111111111,3368,0.0586711035834418,0,6.0,17.0,10.4,1.2,6.8,8.4,0.064,0.006,9.24,113.6,100.0,-88.66666666666667,13.473333333333334
