curTime_of_UTC8,num_send_packets,avg_send_packetLen,send_dataStream,avg_send_packetInterval,num_recv_packets,avg_recv_packetLen,recv_dataStream,avg_recv_packetInterval,label,mn_u_r_mean,mn_d_r_mean,mn_u_m_mean,mn_d_m_mean,mn_d_g_mean,mn_u_g_mean,mn_u_b_mean,mn_d_b_mean,mn_cqi_mean,mn_mac_mean,mn_bandwidth_mean,rsrp_1_mean,snr_1_mean
2025-10-20 09:06:11,29,168.41379310344828,4884,0.0329857941331534,101,805.6633663366337,81372,0.0098611671145599,0,3.0,19.4,19.8,4.4,89.2,42.0,0.056,0.108,4.42,324.8,30.0,-103.33333333333331,13.78
2025-10-20 09:06:12,29,155.31034482758622,4504,0.034465140309827,105,868.2761904761904,91169,0.0094562666756766,0,3.0,18.6,20.0,4.8,92.4,43.2,0.042,0.126,4.48,160.4,30.0,-102.0,9.73
2025-10-20 09:06:13,30,167.0,5010,0.0332220315933227,107,866.2149532710281,92685,0.0094147486107371,0,3.0,19.4,19.4,4.4,87.8,41.8,0.076,0.1139999999999999,4.64,296.0,30.0,-102.33333333333331,9.06
2025-10-20 09:06:14,25,157.6,3940,0.0401408004760742,100,886.43,88643,0.0100212693214416,0,3.0,18.6,20.0,4.8,98.4,45.4,0.056,0.104,4.76,123.6,30.0,-101.66666666666669,15.153333333333334
2025-10-20 09:06:15,32,178.9375,5726,0.0315524637699127,106,809.8396226415094,85843,0.0094118028316857,0,3.0,18.8,19.6,5.0,85.2,41.4,0.096,0.1139999999999999,5.2,322.8,30.0,-103.33333333333331,10.659999999999998
2025-10-20 09:06:16,31,154.70967741935485,4796,0.0329612301241966,109,848.5963302752293,92497,0.0091569248689424,0,3.0,16.4,20.0,5.6,96.8,45.2,0.062,0.1359999999999999,5.74,123.6,30.0,-100.66666666666669,13.43
2025-10-20 09:06:17,28,169.5,4746,0.0359991022518702,105,771.4571428571429,81003,0.0095412776583716,0,3.0,17.8,19.6,5.2,83.8,42.2,0.11,0.09,5.92,299.8,30.0,-101.33333333333331,11.543333333333337
2025-10-20 09:06:18,34,153.11764705882354,5206,0.0278515044380636,110,814.4454545454546,89589,0.0090269912372935,0,3.0,16.8,20.0,5.6,99.0,45.0,0.058,0.094,6.36,93.4,30.0,-100.0,14.7
2025-10-20 09:06:19,21,178.66666666666666,3752,0.0468575727371942,109,642.0,69978,0.0088254771101365,0,3.0,17.0,19.6,5.4,82.4,43.0,0.106,0.088,6.92,306.0,30.0,-100.33333333333331,14.443333333333332
2025-10-20 09:06:20,33,166.1818181818182,5484,0.0307583303162545,120,605.025,72603,0.0085829655329386,0,3.0,16.2,20.0,5.6,99.2,44.2,0.058,0.088,7.359999999999999,66.8,30.0,-102.33333333333331,13.576666666666666
