curTime_of_UTC8,num_send_packets,avg_send_packetLen,send_dataStream,avg_send_packetInterval,num_recv_packets,avg_recv_packetLen,recv_dataStream,avg_recv_packetInterval,label,mn_u_r_mean,mn_d_r_mean,mn_u_m_mean,mn_d_m_mean,mn_d_g_mean,mn_u_g_mean,mn_u_b_mean,mn_d_b_mean,mn_cqi_mean,mn_mac_mean,mn_bandwidth_mean,rsrp_1_mean,snr_1_mean
2025-10-29 00:00:01,221,559.393665158371,123626,0.004505641859581,150,315.38666666666666,47308,0.0062953599294026,0,50.8,10.0,10.0,15.6,48.4,106.4,0.098,0.05,-1.0,8520.6,20.0,-102.0,31.2
2025-10-29 00:00:02,86,1105.906976744186,95108,0.0115308262581049,134,278.84328358208955,37365,0.0077617844538902,0,51.8,12.2,10.8,15.4,57.8,114.2,0.11,0.086,-1.0,8412.6,20.0,-154.0,22.666666666666668
2025-10-29 00:00:03,117,899.042735042735,105188,0.0091025381006746,158,290.2151898734177,45854,0.0062381391283832,0,46.8,12.0,9.4,14.8,45.8,98.6,0.07,0.046,-1.0,9378.6,20.0,-102.66666666666669,22.666666666666668
2025-10-29 00:00:04,103,993.0582524271844,102285,0.0095173502431332,91,286.8791208791209,26106,0.0091148889981783,0,47.6,15.2,10.0,14.6,56.8,106.8,0.092,0.076,-1.0,8470.2,20.0,-103.0,39.73333333333333
2025-10-29 00:00:05,97,1005.3711340206186,97521,0.0099306696469021,176,286.21022727272725,50373,0.006798738783056,0,47.6,14.4,9.4,14.0,43.4,98.8,0.0579999999999999,0.046,-1.0,9207.0,20.0,-153.66666666666666,14.133333333333333
2025-10-29 00:00:06,153,768.9150326797386,117644,0.0067916477427763,135,309.6740740740741,41806,0.0066914081573486,0,47.2,18.4,10.0,14.6,59.4,108.6,0.0819999999999999,0.058,-1.0,7069.6,20.0,-102.33333333333331,14.133333333333333
2025-10-29 00:00:07,126,860.6984126984127,108448,0.0075873969093201,160,267.11875,42739,0.006874680519104,0,43.0,15.4,9.8,14.6,42.8,98.4,0.0539999999999999,0.052,-1.0,10146.6,20.0,-102.33333333333331,56.79999999999999
2025-10-29 00:00:08,207,624.5024154589372,129272,0.0051240241469968,155,276.8451612903226,42911,0.0063173678613478,0,44.6,17.4,10.0,14.4,48.4,112.6,0.066,0.0579999999999999,-1.0,8166.4,20.0,-102.0,22.666666666666668
2025-10-29 00:00:09,237,517.506329113924,122649,0.0042200631733182,157,449.1146496815287,70511,0.0064821972209177,0,43.4,15.4,11.0,15.6,42.4,103.6,0.078,0.032,-1.0,8760.4,20.0,-153.66666666666666,22.666666666666668
2025-10-29 00:00:10,253,545.2608695652174,137951,0.0039538856551581,130,359.83076923076925,46778,0.0076715322641225,0,46.0,18.8,10.8,15.0,49.4,123.2,0.08,0.072,-1.0,8494.4,20.0,-101.0,5.599999999999999
2025-10-29 00:00:11,253,584.8221343873518,147960,0.003873940041885,131,313.5267175572519,41072,0.0075669234035579,0,42.0,16.2,11.4,15.6,44.4,104.8,0.0759999999999999,0.034,-1.0,8389.6,20.0,-101.0,39.73333333333333
