timestamp,mn_cc,mn_redrt,mn_rre_count,mn_rach_fail,mn_rlf_num,mn_ota_irat_mean,mn_irat_mean,mn_u_r_mean,mn_d_r_mean,mn_u_m_mean,mn_d_m_mean,mn_d_g_mean,mn_u_g_mean,mn_u_b_mean,mn_d_b_mean,mn_txp_md_mean,mn_mtpl_mean,mn_cqi_mean,mn_mac_mean,mn_pu_m_l_mean,mn_pd_m_l_mean,mn_rlf_cause_mean,mn_retr_mean,mn_pp_s_mean,mn_pp_dis_mean,mn_pp_r_mean,mn_ri_mean,mn_prach_cfg_mean,mn_pre_for_mean,mn_o_fail_mean,mn_ph_dis_mean,mn_ssnr_mean,mn_tsnr_mean,mn_path_loss_mean,mn_target_pwr_mean,mn_bandwidth_mean,rf_sul_state,rf_sul_band,mn_ver,rsrp_1_mean,rsrp_2_mean,rsrp_3_mean,rsrp_4_mean,snr_1_mean,snr_2_mean,snr_3_mean,snr_4_mean,label
2025-11-02 17:30:27.256,0.0,0.0,0.0,0.0,0.0,12.0,12.0,6.6,16.6,9.4,2.0,5.2,14.4,0.030000000000000006,0.06,24.4,26.4,12.960000000000003,1599.6,1.0,0.68,-1.0,-1.0,-99.0,-1.0,1877.4,1.0,210.0,13.0,-1.0,-1.0,20.195999999999998,20.93,101.6,25.4,100.0,0.0,191.0,4.0,-84.66666666666667,-84.0,-92.0,-90.33333333333333,17.349999999999998,20.066666666666666,18.666666666666668,20.923333333333336,0
2025-11-02 17:30:28.382,0.0,0.0,0.0,0.0,0.0,12.0,12.0,4.4,18.6,14.0,4.6,7.2,10.2,0.072,0.132,23.840000000000003,25.8,13.1,257.2,1.0,0.78,-1.0,-1.0,-99.0,-1.0,2058.0,1.0,210.0,13.0,-1.0,-1.0,20.883999999999997,22.913999999999998,101.0,24.0,100.0,0.0,191.0,4.0,-81.33333333333333,-87.0,-87.66666666666667,-85.0,20.59,21.153333333333332,20.526666666666667,22.276666666666667,0
2025-11-02 17:30:29.519,0.0,0.0,0.0,0.0,0.0,12.0,12.0,4.4,17.6,14.8,3.4,6.6,14.4,0.072,0.088,23.96,25.8,12.78,150.0,1.0,0.7799999999999999,-1.0,-1.0,-99.0,-1.0,2246.4,1.0,210.0,13.0,-1.0,-1.0,21.312,22.272,102.0,24.6,100.0,0.0,191.0,4.0,-84.33333333333333,-91.33333333333333,-94.0,-91.33333333333333,17.436666666666667,15.666666666666666,17.26666666666667,18.613333333333333,0
2025-11-02 17:30:30.603,1.0,0.0,0.0,0.0,0.0,12.0,12.0,5.0,16.4,13.8,1.0,6.2,10.4,0.09,0.02,23.619999999999997,25.8,13.059999999999999,131.8,1.0,0.76,-1.0,-1.0,-99.0,-1.0,-26162059.2,1.0,210.0,13.0,-1.0,-1.0,22.568,22.217999999999996,101.6,24.6,100.0,0.0,191.0,4.0,-83.66666666666667,-84.0,-89.33333333333333,-89.33333333333333,18.473333333333333,20.11,20.43,19.116666666666667,0
2025-11-02 17:30:31.706,1.0,0.0,0.0,0.0,0.0,12.0,12.0,4.0,15.6,18.6,1.0,6.8,12.2,0.11599999999999999,0.0,23.560000000000002,25.2,13.080000000000002,114.0,1.0,0.8600000000000001,-1.0,-1.0,-99.0,-1.0,2636.4,1.0,210.0,13.0,-1.0,-1.0,22.555999999999997,22.380000000000003,102.8,24.6,100.0,0.0,191.0,4.0,-88.66666666666667,-88.0,-89.0,-87.66666666666667,17.41,19.026666666666667,19.603333333333335,21.243333333333336,0
2025-11-02 17:30:32.808,1.0,0.0,0.0,0.0,0.0,12.0,12.0,4.0,16.6,15.8,1.4,6.0,11.6,0.10600000000000001,0.022,23.52,25.6,13.14,33.2,1.0,0.74,-1.0,-1.0,-99.0,-1.0,-26162110.6,1.0,210.0,13.0,-1.0,-1.0,22.52,21.762,103.2,25.0,100.0,0.0,191.0,4.0,-89.66666666666667,-90.0,-93.0,-96.33333333333333,13.133333333333333,16.596666666666668,17.74,16.143333333333334,0
2025-11-02 17:30:33.889,1.0,0.0,0.0,0.0,0.0,12.0,12.0,4.0,15.4,20.6,1.4,8.4,12.6,0.11599999999999999,0.0,23.46,25.0,13.080000000000002,123.4,1.0,0.86,-1.0,-1.0,-99.0,-1.0,3464.0,1.0,210.0,13.0,-1.0,-1.0,23.106,22.27,103.8,25.0,100.0,0.0,191.0,4.0,-84.66666666666667,-90.33333333333333,-96.33333333333333,-89.66666666666667,16.973333333333333,17.029999999999998,13.586666666666668,18.406666666666666,0
2025-11-02 17:30:34.958,1.0,0.0,0.0,0.0,0.0,12.0,12.0,4.0,16.6,18.0,1.8,7.6,12.2,0.138,0.022,24.02,25.2,13.02,59.2,1.0,0.76,-1.0,-1.0,-99.0,-1.0,-26161269.8,1.0,210.0,13.0,-1.0,-1.0,21.516,20.582,104.6,25.8,100.0,0.0,191.0,4.0,-82.66666666666667,-89.33333333333333,-87.66666666666667,-89.66666666666667,17.34,18.773333333333333,21.483333333333334,20.713333333333335,0
2025-11-02 17:30:36.019,1.0,0.0,0.0,0.0,0.0,12.0,12.0,4.0,15.4,20.4,2.4,8.8,15.4,0.13599999999999998,0.028000000000000004,24.439999999999998,25.0,12.940000000000001,48.4,1.0,0.82,-1.0,-1.0,-99.0,-1.0,3830.6,1.0,210.0,13.0,-1.0,-1.0,21.616,21.046,105.6,26.0,100.0,0.0,191.0,4.0,-85.66666666666667,-86.0,-93.0,-88.66666666666667,19.216666666666665,19.043333333333333,20.706666666666667,18.756666666666664,0
2025-11-02 17:30:37.091,1.0,0.0,0.0,0.0,0.0,12.0,12.0,4.0,16.4,19.6,2.0,9.0,11.4,0.14600000000000002,0.014000000000000002,24.24,25.0,12.919999999999998,57.0,1.0,0.78,-1.0,-1.0,-99.0,-1.0,-26160565.8,1.0,210.0,13.0,-1.0,-1.0,20.696,19.932,105.4,26.0,100.0,0.0,191.0,4.0,-87.0,-88.0,-85.33333333333333,-86.33333333333333,16.99,19.37666666666667,21.153333333333332,22.570000000000004,0
