timestamp,mn_cc,mn_redrt,mn_rre_count,mn_rach_fail,mn_rlf_num,mn_ota_irat_mean,mn_irat_mean,mn_u_r_mean,mn_d_r_mean,mn_u_m_mean,mn_d_m_mean,mn_d_g_mean,mn_u_g_mean,mn_u_b_mean,mn_d_b_mean,mn_txp_md_mean,mn_mtpl_mean,mn_cqi_mean,mn_mac_mean,mn_pu_m_l_mean,mn_pd_m_l_mean,mn_rlf_cause_mean,mn_retr_mean,mn_pp_s_mean,mn_pp_dis_mean,mn_pp_r_mean,mn_ri_mean,mn_prach_cfg_mean,mn_pre_for_mean,mn_o_fail_mean,mn_ph_dis_mean,mn_ssnr_mean,mn_tsnr_mean,mn_path_loss_mean,mn_target_pwr_mean,mn_bandwidth_mean,rf_sul_state,rf_sul_band,mn_ver,rsrp_1_mean,rsrp_2_mean,rsrp_3_mean,rsrp_4_mean,snr_1_mean,snr_2_mean,snr_3_mean,snr_4_mean,label
2025-10-25 21:25:05.571,0.0,0.0,0.0,0.0,0.0,12.0,12.0,4.0,60.0,24.4,9.6,231.8,169.4,0.09000000000000001,0.002,-10.2,20.6,12.0,42.6,1.0,1.0,-1.0,-1.0,-99.0,-1.0,158631.4,1.0,17.0,0.0,-1.0,-1.0,34.068,34.648,62.6,-8.0,100.0,0.0,191.0,4.0,-71.0,-73.0,-76.0,-74.0,35.15,34.800000000000004,99.0,99.0,0
2025-10-25 21:25:06.618,0.0,0.0,0.0,0.0,0.0,12.0,12.0,4.0,58.4,24.6,9.4,223.6,174.0,0.07200000000000001,0.006,-9.0,21.4,12.02,215.2,1.0,1.0,-1.0,-1.0,-99.0,-1.0,144774.2,1.0,17.0,0.0,-1.0,-1.0,33.542,34.666,63.8,-7.8,100.0,0.0,191.0,4.0,-72.33333333333333,-75.66666666666667,-75.33333333333333,-72.0,32.620000000000005,31.99666666666667,99.0,99.0,0
2025-10-25 21:25:07.665,0.0,0.0,0.0,0.0,0.0,12.0,12.0,4.0,54.4,24.4,9.4,205.6,169.4,0.082,0.002,-9.82,20.2,12.120000000000001,42.6,1.0,1.0,-1.0,-1.0,-99.0,-1.0,136937.0,1.0,17.0,0.0,-1.0,-1.0,33.262,34.458000000000006,64.0,-7.4,100.0,0.0,191.0,4.0,-79.0,-72.33333333333333,-77.0,-77.0,32.48,32.903333333333336,99.0,99.0,0
2025-10-25 21:25:08.709,0.0,0.0,0.0,0.0,0.0,12.0,12.0,4.0,52.4,24.6,9.2,196.4,170.8,0.076,0.004,-8.52,21.2,12.16,207.8,1.0,1.0,-1.0,-1.0,-99.0,-1.0,135105.6,1.0,17.0,0.0,-1.0,-1.0,33.338,34.106,65.0,-7.4,100.0,0.0,191.0,4.0,-72.66666666666667,-74.0,-78.0,-73.66666666666667,33.153333333333336,31.97,99.0,99.0,0
2025-10-25 21:25:09.759,0.0,0.0,0.0,0.0,0.0,12.0,12.0,4.0,49.2,24.4,9.2,177.0,150.8,0.08800000000000001,0.004,-10.760000000000002,19.8,12.3,14.0,1.0,0.9800000000000001,-1.0,-1.0,-99.0,-1.0,111095.0,1.0,17.0,0.0,-1.0,-1.0,33.362,34.168,63.6,-7.8,100.0,0.0,191.0,4.0,-71.66666666666667,-75.66666666666667,-80.0,-72.33333333333333,31.75,32.43333333333333,99.0,99.0,0
2025-10-25 21:25:10.800,0.0,0.0,0.0,0.0,0.0,12.0,12.0,4.0,45.8,24.4,8.8,165.0,156.8,0.06800000000000002,0.004,-8.2,20.8,12.36,193.0,1.0,1.0,-1.0,-1.0,-99.0,-1.0,113711.0,1.0,17.0,0.0,-1.0,-1.0,33.65,33.624,64.8,-6.8,100.0,0.0,191.0,4.0,-75.33333333333333,-76.33333333333333,-79.0,-76.0,32.02,31.91,99.0,99.0,0
2025-10-25 21:25:11.844,0.0,0.0,0.0,0.0,0.0,12.0,12.0,4.0,42.6,24.4,9.2,142.6,128.8,0.08,0.002,-9.86,20.6,12.5,23.8,1.0,0.9800000000000001,-1.0,-1.0,-99.0,-1.0,92300.8,1.0,17.0,0.0,-1.0,-1.0,32.940000000000005,33.614,63.8,-7.0,100.0,0.0,191.0,4.0,-77.33333333333333,-74.33333333333333,-79.33333333333333,-77.66666666666667,29.80333333333333,30.060000000000002,99.0,99.0,0
2025-10-25 21:25:12.887,0.0,0.0,0.0,0.0,0.0,12.0,12.0,4.0,41.6,24.4,8.8,138.8,143.0,0.06200000000000001,0.0,-8.7,19.8,12.52,198.4,1.0,1.0,-1.0,-1.0,-99.0,-1.0,92888.4,1.0,17.0,0.0,-1.0,-1.0,33.564,33.378,64.4,-6.4,100.0,0.0,191.0,4.0,-75.66666666666667,-74.0,-76.33333333333333,-72.0,31.836666666666662,32.09,99.0,99.0,0
2025-10-25 21:25:13.928,0.0,0.0,0.0,0.0,0.0,12.0,12.0,4.0,37.6,24.2,8.8,119.0,121.2,0.06,0.002,-9.34,20.6,12.68,19.6,1.0,0.9800000000000001,-1.0,-1.0,-99.0,-1.0,78144.4,1.0,17.0,0.0,-1.0,-1.0,32.876000000000005,33.468,63.8,-6.4,100.0,0.0,191.0,4.0,-73.33333333333333,-72.0,-82.0,-74.66666666666667,34.00666666666667,33.44,99.0,99.0,0
2025-10-25 21:25:14.976,0.0,0.0,0.0,0.0,0.0,12.0,12.0,4.0,38.2,24.4,8.6,123.8,135.2,0.064,0.0,-9.28,19.2,12.7,201.2,1.0,1.0,-1.0,-1.0,-99.0,-1.0,86567.2,1.0,17.0,0.0,-1.0,-1.0,33.477999999999994,33.152,63.8,-5.8,100.0,0.0,191.0,4.0,-76.0,-76.66666666666667,-82.33333333333333,-74.66666666666667,30.956666666666667,29.55333333333333,75.94333333333333,76.66666666666667,0
