timestamp,line_number,mn_cc,mn_redrt,mn_rre_count,mn_rach_fail,mn_rlf_num,mn_ota_irat,mn_irat,mn_u_r,mn_d_r,mn_u_m,mn_d_m,mn_d_g,mn_u_g,mn_u_b,mn_d_b,mn_txp_md,mn_mtpl,mn_cqi,mn_mac,mn_pu_m_l,mn_pd_m_l,mn_rlf_cause,mn_retr,mn_pp_s,mn_pp_dis,mn_pp_r,mn_ri,mn_prach_cfg,mn_pre_for,mn_o_fail,mn_ph_dis,mn_ssnr,mn_tsnr,mn_path_loss,mn_target_pwr,mn_bandwidth,mn_rsrp_4,mn_snr_4,qos,rf_sul_state,rf_sul_band,mn_ver
2026-01-13 23:58:43.167,137,1,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","7,4,3,-1,-1","41,8,17,10,16","5,4,20,-1,-1","0,0,1,0,0","19,0,13,0,0","7,-99,9,-99,-99","0.09,0.00,0.03,-99.00,-99.00","0.03,0.00,0.00,0.00,0.00","26.4,26.4,20.3,-99.0,-99.0","26.0,26.0,20.0,-99.0,-99.0","7.6,6.5,11.0,10.9,10.9","266,-1,460,-1,-1","1.0,1.0,1.0,-1.0,-1.0","0.9,1.0,1.0,1.0,1.0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","16790,111,11602,0,0","0.5,0.5,1.0,1.0,1.0","17,17,18,18,18","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-0.21,0.92,17.12,14.68,16.53","-111.00,-111.00,18.81,15.43,16.84","118,120,110,-99,-99","37,37,21,-99,-99","100,100,30,30,30","{-102,-105,-109,-106},{-93,-94,-140,-140},{-95,-92,-140,-140}","{-0.63,-5.08,-3.46,-0.64},{17.53,7.37,-inf,-inf},{17.47,16.09,-inf,-inf}","1-ims,1-5;2-cbnet,1-9",0,{189},4
2026-01-13 23:58:44.190,147,1,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","6,5,3,3,3","10,21,11,10,11","2,6,21,17,19","0,0,0,0,0","0,1,0,0,0","-99,1,-99,-99,4","0.00,0.00,0.00,0.00,0.00","0.00,0.00,0.00,0.00,0.00","26.4,25.4,20.3,21.0,20.7","26.0,25.0,20.0,21.0,20.0","6.8,7.0,11.0,9.9,10.6","-1,38,-1,-1,-1","1.0,1.0,1.0,1.0,1.0","1.0,0.6,0.8,1.0,0.8","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","0,-17291,111,40,176","0.5,0.5,1.0,1.0,1.0","17,18,18,18,18","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","0.89,-0.28,15.84,15.85,18.17","-111.00,18.52,15.95,18.18,17.79","122,121,110,113,112","40,36,20,23,23","100,30,30,30,30","{-105,-102,-109,-108},{-97,-96,-140,-140},{-93,-92,-140,-140}","{-4.94,1.43,-4.48,-6.19},{12.68,10.81,-inf,-inf},{18.01,12.79,-inf,-inf}","1-ims,1-5;2-cbnet,1-9",0,{189},4
2026-01-13 23:58:45.210,154,1,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","4,3,-1,-1,3","8,17,10,16,14","4,20,-1,-1,19","0,1,0,0,0","0,13,0,0,1","-99,9,-99,-99,4","0.00,0.03,-99.00,-99.00,0.06","0.00,0.00,0.00,0.00,0.00","26.4,20.3,-99.0,-99.0,20.3","26.0,20.0,-99.0,-99.0,20.0","6.5,11.0,10.9,10.9,11.9","-1,460,-1,-1,-1","1.0,1.0,-1.0,-1.0,1.0","1.0,1.0,1.0,1.0,0.9","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","111,11602,0,0,367","0.5,1.0,1.0,1.0,1.0","17,18,18,18,18","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","0.92,17.12,14.68,16.53,16.25","-111.00,18.81,15.43,16.84,16.86","120,110,-99,-99,110","37,21,-99,-99,22","100,30,30,30,30","{-103,-101,-106,-102},{-95,-102,-140,-140},{-94,-93,-140,-140}","{-4.20,2.08,-3.18,-5.15},{16.54,4.84,-inf,-inf},{15.97,17.67,-inf,-inf}","1-ims,1-5;2-cbnet,1-9",0,{189},4
2026-01-13 23:58:46.244,161,1,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","5,3,3,3,3","21,11,10,11,16","6,21,17,19,20","0,0,0,0,0","1,0,0,0,0","1,-99,-99,4,-99","0.00,0.00,0.00,0.00,0.00","0.00,0.00,0.00,0.00,0.00","25.4,20.3,21.0,20.7,20.3","25.0,20.0,21.0,20.0,20.0","7.0,11.0,9.9,10.6,11.1","38,-1,-1,-1,-1","1.0,1.0,1.0,1.0,1.0","0.6,0.8,1.0,0.8,1.0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","-17291,111,40,176,176","0.5,1.0,1.0,1.0,1.0","18,18,18,18,18","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-0.28,15.84,15.85,18.17,16.62","18.52,15.95,18.18,17.79,18.50","121,110,113,112,110","36,20,23,23,23","30,30,30,30,30","{-102,-99,-110,-101},{-93,-95,-140,-140},{-93,-96,-140,-140}","{-7.16,2.89,-8.86,-4.49},{15.82,8.42,-inf,-inf},{17.37,10.33,-inf,-inf}","1-ims,1-5;2-cbnet,1-9",0,{189},4
2026-01-13 23:58:47.273,169,1,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","3,-1,-1,3,3","17,10,16,14,8","20,-1,-1,19,20","1,0,0,0,0","13,0,0,1,0","9,-99,-99,4,4","0.03,-99.00,-99.00,0.06,0.00","0.00,0.00,0.00,0.00,0.00","20.3,-99.0,-99.0,20.3,20.3","20.0,-99.0,-99.0,20.0,20.0","11.0,10.9,10.9,11.9,10.7","460,-1,-1,-1,-1","1.0,-1.0,-1.0,1.0,1.0","1.0,1.0,1.0,0.9,0.8","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","11602,0,0,367,176","1.0,1.0,1.0,1.0,1.0","18,18,18,18,18","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","17.12,14.68,16.53,16.25,15.90","18.81,15.43,16.84,16.86,18.05","110,-99,-99,110,110","21,-99,-99,22,23","30,30,30,30,30","{-91,-99,-140,-140},{-95,-92,-140,-140},{-94,-109,-140,-140}","{17.16,18.35,-inf,-inf},{17.47,16.09,-inf,-inf},{14.00,17.95,-inf,-inf}","1-ims,1-5;2-cbnet,1-9",0,{189},4
2026-01-13 23:58:48.306,178,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","3,3,3,3,4","11,10,11,16,14","21,17,19,20,19","0,0,0,0,2","0,0,0,0,9","-99,-99,4,-99,11","0.00,0.00,0.00,0.00,0.07","0.00,0.00,0.00,0.00,0.16","20.3,21.0,20.7,20.3,21.1","20.0,21.0,20.0,20.0,21.0","11.0,9.9,10.6,11.1,10.9","-1,-1,-1,-1,977","1.0,1.0,1.0,1.0,1.0","0.8,1.0,0.8,1.0,1.0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","111,40,176,176,7291","1.0,1.0,1.0,1.0,0.9","18,18,18,18,18","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","15.84,15.85,18.17,16.62,16.54","15.95,18.18,17.79,18.50,16.91","110,113,112,110,110","20,23,23,23,24","30,30,30,30,30","{-93,-94,-140,-140},{-93,-92,-140,-140},{-95,-97,-140,-140}","{17.53,7.37,-inf,-inf},{18.01,12.79,-inf,-inf},{15.17,11.20,-inf,-inf}","1-ims,1-5;2-cbnet,1-9",0,{189},4
2026-01-13 23:58:49.405,185,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","-1,-1,3,3,9","10,16,14,8,13","-1,-1,19,20,18","0,0,0,0,4","0,0,1,0,93","-99,-99,4,4,55","-99.00,-99.00,0.06,0.00,0.16","0.00,0.00,0.00,0.00,0.09","-99.0,-99.0,20.3,20.3,21.4","-99.0,-99.0,20.0,20.0,21.0","10.9,10.9,11.9,10.7,9.0","-1,-1,-1,-1,1109","-1.0,-1.0,1.0,1.0,1.0","1.0,1.0,0.9,0.8,1.0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","0,0,367,176,85060","1.0,1.0,1.0,1.0,1.0","18,18,18,18,18","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","14.68,16.53,16.25,15.90,16.53","15.43,16.84,16.86,18.05,15.21","-99,-99,110,110,114","-99,-99,22,23,26","30,30,30,30,30","{-97,-96,-140,-140},{-94,-93,-140,-140},{-97,-88,-140,-140}","{12.68,10.81,-inf,-inf},{15.97,17.67,-inf,-inf},{11.02,19.23,-inf,-inf}","1-ims,1-5;2-cbnet,1-9",0,{189},4
2026-01-13 23:58:50.552,194,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","3,3,3,4,7","10,11,16,14,10","17,19,20,19,20","0,0,0,2,6","0,0,0,9,105","-99,4,-99,11,109","0.00,0.00,0.00,0.07,0.05","0.00,0.00,0.00,0.16,0.17","21.0,20.7,20.3,21.1,20.7","21.0,20.0,20.0,21.0,20.0","9.9,10.6,11.1,10.9,10.2","-1,-1,-1,977,1319","1.0,1.0,1.0,1.0,1.0","1.0,0.8,1.0,1.0,1.0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","40,176,176,7291,96240","1.0,1.0,1.0,0.9,1.0","18,18,18,18,18","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","15.85,18.17,16.62,16.54,19.76","18.18,17.79,18.50,16.91,19.23","113,112,110,110,115","23,23,23,24,22","30,30,30,30,30","{-95,-102,-140,-140},{-93,-96,-140,-140},{-99,-87,-140,-140}","{16.54,4.84,-inf,-inf},{17.37,10.33,-inf,-inf},{13.09,20.33,-inf,-inf}","1-ims,1-5;2-cbnet,1-9",0,{189},4
2026-01-13 23:58:51.583,201,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","-1,3,3,9,4","16,14,8,13,8","-1,19,20,18,19","0,0,0,4,0","0,1,0,93,3","-99,4,4,55,11","-99.00,0.06,0.00,0.16,0.05","0.00,0.00,0.00,0.09,0.11","-99.0,20.3,20.3,21.4,19.0","-99.0,20.0,20.0,21.0,20.0","10.9,11.9,10.7,9.0,10.0","-1,-1,-1,1109,986","-1.0,1.0,1.0,1.0,1.0","1.0,0.9,0.8,1.0,1.0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","0,367,176,85060,1822","1.0,1.0,1.0,1.0,1.0","18,18,18,18,18","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","16.53,16.25,15.90,16.53,20.66","16.84,16.86,18.05,15.21,18.78","-99,110,110,114,108","-99,22,23,26,19","30,30,30,30,30","{-93,-95,-140,-140},{-94,-109,-140,-140},{-86,-98,-140,-140}","{15.82,8.42,-inf,-inf},{14.00,17.95,-inf,-inf},{20.55,15.08,-inf,-inf}","1-ims,1-5;2-cbnet,1-9",0,{189},4
2026-01-13 23:58:52.606,208,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","3,3,4,7,3","11,16,14,10,9","19,20,19,20,20","0,0,2,6,0","0,0,9,105,0","4,-99,11,109,5","0.00,0.00,0.07,0.05,0.00","0.00,0.00,0.16,0.17,0.10","20.7,20.3,21.1,20.7,19.9","20.0,20.0,21.0,20.0,20.0","10.6,11.1,10.9,10.2,10.0","-1,-1,977,1319,102","1.0,1.0,1.0,1.0,1.0","0.8,1.0,1.0,1.0,1.0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","176,176,7291,96240,273","1.0,1.0,0.9,1.0,1.0","18,18,18,18,18","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","18.17,16.62,16.54,19.76,20.70","17.79,18.50,16.91,19.23,18.85","112,110,110,115,105","23,23,24,22,20","30,30,30,30,30","{-95,-92,-140,-140},{-95,-97,-140,-140},{-86,-98,-140,-140}","{17.47,16.09,-inf,-inf},{15.17,11.20,-inf,-inf},{21.45,16.29,-inf,-inf}","1-ims,1-5;2-cbnet,1-9",0,{189},4
