timestamp,line_number,mn_cc,mn_redrt,mn_rre_count,mn_rach_fail,mn_rlf_num,mn_ota_irat,mn_irat,mn_u_r,mn_d_r,mn_u_m,mn_d_m,mn_d_g,mn_u_g,mn_u_b,mn_d_b,mn_txp_md,mn_mtpl,mn_cqi,mn_mac,mn_pu_m_l,mn_pd_m_l,mn_rlf_cause,mn_retr,mn_pp_s,mn_pp_dis,mn_pp_r,mn_ri,mn_prach_cfg,mn_pre_for,mn_o_fail,mn_ph_dis,mn_ssnr,mn_tsnr,mn_path_loss,mn_target_pwr,mn_bandwidth,mn_rsrp_4,mn_snr_4,qos,rf_sul_state,rf_sul_band,mn_ver
2025-11-21 16:05:27.600,370,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","-1,3,3,3,3","7,7,7,8,8","-1,19,21,24,24","0,0,0,1,1","0,0,0,2,0","-99,-99,-99,6,-99","-99.00,0.00,0.00,0.00,0.00","0.00,0.00,0.00,0.00,0.00","-99.0,3.3,2.3,11.7,3.2","-99.0,25.0,22.0,22.0,21.0","8.4,9.0,8.3,9.0,8.0","-1,-1,-1,752,-1","-1.0,1.0,1.0,1.0,1.0","1.0,0.6,0.6,0.8,1.0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","0,0,211,1978,479","0.5,0.5,0.4,0.5,0.5","17,17,17,17,17","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","19.71,19.47,19.32,19.12,19.64","-111.00,-111.00,-111.00,-111.00,-111.00","-99,90,90,99,91","-99,3,2,11,3","100,100,100,100,100","{-71,-73,-84,-79},{-72,-77,-87,-75},{-73,-73,-90,-82}","{20.93,20.33,10.92,15.79},{19.89,17.31,11.26,16.38},{16.66,18.98,-inf,-inf}",,0,{191},4
2025-11-21 16:05:28.622,380,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","3,-1,3,3,3","8,7,9,8,11","20,-1,21,24,24","0,0,0,0,0","0,0,0,0,0","-99,-99,-99,-99,5","0.00,-99.00,0.00,0.00,0.25","0.00,0.00,0.00,0.00,0.00","2.3,-99.0,3.3,6.0,3.1","24.0,-99.0,24.0,22.0,21.0","8.6,9.0,8.9,8.8,8.8","-1,-1,-1,-1,-1","1.0,-1.0,1.0,1.0,1.0","1.4,0.0,0.7,0.8,0.0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","144,0,111,270,156","0.5,0.5,0.5,0.5,0.5","17,17,17,17,17","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","19.30,19.44,19.59,20.23,19.80","-111.00,-111.00,-111.00,-111.00,-111.00","90,-99,90,95,91","2,-99,3,6,3","100,100,100,100,100","{-73,-75,-93,-76},{-73,-80,-89,-75},{-71,-73,-90,-80}","{18.74,19.33,9.94,16.40},{19.35,17.54,-inf,-inf},{20.24,22.63,-inf,-inf}",,0,{191},4
2025-11-21 16:05:29.642,388,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","3,3,3,3,3","7,7,8,8,11","19,21,24,24,23","0,0,1,1,0","0,0,2,0,1","-99,-99,6,-99,-99","0.00,0.00,0.00,0.00,0.00","0.00,0.00,0.00,0.00,0.00","3.3,2.3,11.7,3.2,1.5","25.0,22.0,22.0,21.0,21.0","9.0,8.3,9.0,8.0,9.0","-1,-1,752,-1,-1","1.0,1.0,1.0,1.0,1.0","0.6,0.6,0.8,1.0,0.5","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","0,211,1978,479,679","0.5,0.4,0.5,0.5,0.5","17,17,17,17,17","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","19.47,19.32,19.12,19.64,21.68","-111.00,-111.00,-111.00,-111.00,-111.00","90,90,99,91,88","3,2,11,3,1","100,100,100,100,100","{-73,-78,-87,-75},{-89,-74,-82,-74},{-70,-72,-84,-84}","{19.30,17.48,-inf,-inf},{9.18,19.61,-inf,-inf},{20.69,22.13,-inf,-inf}",,0,{191},4
2025-11-21 16:05:30.669,395,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","-1,3,3,3,3","7,9,8,11,7","-1,21,24,24,24","0,0,0,0,0","0,0,0,0,0","-99,-99,-99,5,5","-99.00,0.00,0.00,0.25,0.00","0.00,0.00,0.00,0.00,0.00","-99.0,3.3,6.0,3.1,3.8","-99.0,24.0,22.0,21.0,21.0","9.0,8.9,8.8,8.8,9.0","-1,-1,-1,-1,-1","-1.0,1.0,1.0,1.0,1.0","0.0,0.7,0.8,0.0,0.7","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","0,111,270,156,276","0.5,0.5,0.5,0.5,0.5","17,17,17,17,17","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","19.44,19.59,20.23,19.80,21.67","-111.00,-111.00,-111.00,-111.00,-111.00","-99,90,95,91,89","-99,3,6,3,3","100,100,100,100,100","{-72,-79,-87,-75},{-75,-74,-77,-84},{-72,-72,-94,-79}","{19.23,17.46,-inf,-inf},{16.97,19.75,19.99,12.74},{19.52,20.88,-inf,-inf}",,0,{191},4
2025-11-21 16:05:31.694,402,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","3,3,3,3,3","7,8,8,11,8","21,24,24,23,24","0,1,1,0,0","0,2,0,1,0","-99,6,-99,-99,-99","0.00,0.00,0.00,0.00,0.00","0.00,0.00,0.00,0.00,0.00","2.3,11.7,3.2,1.5,5.0","22.0,22.0,21.0,21.0,21.0","8.3,9.0,8.0,9.0,8.7","-1,752,-1,-1,-1","1.0,1.0,1.0,1.0,1.0","0.6,0.8,1.0,0.5,0.8","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","211,1978,479,679,260","0.4,0.5,0.5,0.5,0.5","17,17,17,17,17","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","19.32,19.12,19.64,21.68,20.38","-111.00,-111.00,-111.00,-111.00,-111.00","90,99,91,88,89","2,11,3,1,5","100,100,100,100,100","{-72,-78,-87,-75},{-73,-73,-90,-82},{-77,-73,-81,-78}","{19.54,17.06,-inf,-inf},{16.66,18.98,-inf,-inf},{18.12,19.48,-inf,-inf}",,0,{191},4
2025-11-21 16:05:32.782,409,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","3,3,3,3,3","9,8,11,7,8","21,24,24,24,25","0,0,0,0,0","0,0,0,0,0","-99,-99,5,5,-99","0.00,0.00,0.25,0.00,0.00","0.00,0.00,0.00,0.00,0.00","3.3,6.0,3.1,3.8,7.5","24.0,22.0,21.0,21.0,21.0","8.9,8.8,8.8,9.0,9.1","-1,-1,-1,-1,-1","1.0,1.0,1.0,1.0,1.0","0.7,0.8,0.0,0.7,0.7","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","111,270,156,276,216","0.5,0.5,0.5,0.5,0.5","17,17,17,17,17","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","19.59,20.23,19.80,21.67,19.64","-111.00,-111.00,-111.00,-111.00,-111.00","90,95,91,89,94","3,6,3,3,7","100,100,100,100,100","{-72,-77,-87,-75},{-71,-73,-90,-80},{-71,-71,-83,-71}","{19.89,17.31,11.26,16.38},{20.24,22.63,-inf,-inf},{18.42,20.78,-inf,-inf}",,0,{191},4
2025-11-21 16:05:33.814,419,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","3,3,3,3,7","8,8,11,8,37","24,24,23,24,25","1,1,0,0,4","2,0,1,0,165","6,-99,-99,-99,67","0.00,0.00,0.00,0.00,0.02","0.00,0.00,0.00,0.00,0.00","11.7,3.2,1.5,5.0,4.4","22.0,21.0,21.0,21.0,21.0","9.0,8.0,9.0,8.7,8.6","752,-1,-1,-1,1815","1.0,1.0,1.0,1.0,1.0","0.8,1.0,0.5,0.8,1.0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","1978,479,679,260,75391","0.5,0.5,0.5,0.5,0.5","17,17,17,17,17","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","19.12,19.64,21.68,20.38,21.41","-111.00,-111.00,-111.00,-111.00,-111.00","99,91,88,89,88","11,3,1,5,4","100,100,100,100,100","{-73,-80,-89,-75},{-70,-72,-84,-84},{-71,-72,-81,-72}","{19.35,17.54,-inf,-inf},{20.69,22.13,-inf,-inf},{19.38,22.82,-inf,-inf}",,0,{191},4
2025-11-21 16:05:34.840,426,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","3,3,3,3,12","8,11,7,8,38","24,24,24,25,25","0,0,0,0,6","0,0,0,0,397","-99,5,5,-99,169","0.00,0.25,0.00,0.00,0.04","0.00,0.00,0.00,0.00,0.02","6.0,3.1,3.8,7.5,7.5","22.0,21.0,21.0,21.0,21.0","8.8,8.8,9.0,9.1,8.4","-1,-1,-1,-1,2781","1.0,1.0,1.0,1.0,1.0","0.8,0.0,0.7,0.7,1.3","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","270,156,276,216,344132","0.5,0.5,0.5,0.5,1.1","17,17,17,17,17","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","20.23,19.80,21.67,19.64,21.90","-111.00,-111.00,-111.00,-111.00,-111.00","95,91,89,94,88","6,3,3,7,7","100,100,100,100,100","{-89,-74,-82,-74},{-72,-72,-94,-79},{-71,-73,-87,-82}","{9.18,19.61,-inf,-inf},{19.52,20.88,-inf,-inf},{19.58,21.43,18.09,9.33}",,0,{191},4
2025-11-21 16:05:35.867,433,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","3,3,3,7,13","8,11,8,37,60","24,23,24,25,25","1,0,0,4,7","0,1,0,165,799","-99,-99,-99,67,175","0.00,0.00,0.00,0.02,0.06","0.00,0.00,0.00,0.00,0.01","3.2,1.5,5.0,4.4,7.5","21.0,21.0,21.0,21.0,21.0","8.0,9.0,8.7,8.6,8.8","-1,-1,-1,1815,2799","1.0,1.0,1.0,1.0,1.0","1.0,0.5,0.8,1.0,0.9","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","479,679,260,75391,621971","0.5,0.5,0.5,0.5,1.0","17,17,17,17,17","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","19.64,21.68,20.38,21.41,20.33","-111.00,-111.00,-111.00,-111.00,-111.00","91,88,89,88,88","3,1,5,4,7","100,100,100,100,100","{-75,-74,-77,-84},{-77,-73,-81,-78},{-75,-75,-85,-77}","{16.97,19.75,19.99,12.74},{18.12,19.48,-inf,-inf},{17.55,19.44,17.78,15.34}",,0,{191},4
2025-11-21 16:05:36.894,440,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","3,3,3,12,10","11,7,8,38,19","24,24,25,25,25","0,0,0,6,5","0,0,0,397,41","5,5,-99,169,57","0.25,0.00,0.00,0.04,0.00","0.00,0.00,0.00,0.02,0.02","3.1,3.8,7.5,7.5,8.7","21.0,21.0,21.0,21.0,21.0","8.8,9.0,9.1,8.4,8.9","-1,-1,-1,2781,2792","1.0,1.0,1.0,1.0,1.0","0.0,0.7,0.7,1.3,0.9","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","156,276,216,344132,57447","0.5,0.5,0.5,1.1,0.9","17,17,17,17,17","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","19.80,21.67,19.64,21.90,17.74","-111.00,-111.00,-111.00,-111.00,-111.00","91,89,94,88,93","3,3,7,7,8","100,100,100,100,100","{-73,-73,-90,-82},{-71,-71,-83,-71},{-78,-76,-85,-79}","{16.66,18.98,-inf,-inf},{18.42,20.78,-inf,-inf},{17.15,17.44,-inf,-inf}",,0,{191},4
