timestamp,line_number,mn_cc,mn_redrt,mn_rre_count,mn_rach_fail,mn_rlf_num,mn_ota_irat,mn_irat,mn_u_r,mn_d_r,mn_u_m,mn_d_m,mn_d_g,mn_u_g,mn_u_b,mn_d_b,mn_txp_md,mn_mtpl,mn_cqi,mn_mac,mn_pu_m_l,mn_pd_m_l,mn_rlf_cause,mn_retr,mn_pp_s,mn_pp_dis,mn_pp_r,mn_ri,mn_prach_cfg,mn_pre_for,mn_o_fail,mn_ph_dis,mn_ssnr,mn_tsnr,mn_path_loss,mn_target_pwr,mn_bandwidth,mn_rsrp_4,mn_snr_4,qos,rf_sul_state,rf_sul_band,mn_ver
2025-10-25 17:54:59.750,1858,1,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","-1,-1,3,-1,5","3,-1,3,3,6","-1,-1,25,-1,11","0,-1,2,0,6","0,-99,0,0,2","-99,-99,-99,-99,3","-99.00,-99.00,0.00,-99.00,0.12","0.00,-99.00,0.00,0.00,0.44","-99.0,-99.0,4.4,-99.0,24.8","-99.0,-99.0,21.0,-99.0,25.0","-99.0,-99.0,7.5,-99.0,6.7","-1,-1,-1,-1,-1","-1.0,-1.0,1.0,-1.0,1.0","0.0,-1.0,0.6,0.0,1.1","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","0,0,363,0,-34381","-1.0,-1.0,0.5,-1.0,0.9","17,17,17,17,17","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","22.74,20.57,15.56,16.29,1.50","-111.00,-111.00,-111.00,-111.00,-111.00","-99,-99,79,-99,114","-99,-99,4,-99,29","100,100,100,100,100","{-83,-90,-81,-88},{-80,-79,-81,-75},{-96,-99,-105,-99}","{8.39,16.72,9.15,0.85},{18.20,18.68,10.69,10.48},{-0.88,-2.34,-1.92,-6.60}","2-cmnet,1-8",0,{191},4
2025-10-25 17:55:00.774,1870,1,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","3,-1,3,3,3","3,-1,2,2,12","24,-1,25,24,15","4,-1,4,4,3","0,-99,0,1,2","6,-99,-99,6,3","0.50,-99.00,0.00,0.31,0.17","0.00,-99.00,0.00,0.06,0.07","-1.6,-99.0,-3.7,6.6,25.3","21.0,-99.0,21.0,21.0,25.0","7.5,-99.0,7.5,7.0,6.6","450,-1,-1,1038,711","1.0,-1.0,1.0,1.0,1.0","0.3,-1.0,1.0,0.9,0.7","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","204,0,327,926,227","0.5,-1.0,0.5,0.5,0.8","17,17,17,17,17","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","23.63,16.17,20.27,3.54,6.75","-111.00,-111.00,-111.00,-111.00,-111.00","72,-99,72,84,118","-1,-99,-3,6,28","100,100,100,100,100","{-86,-80,-82,-84},{-74,-82,-77,-74},{-89,-98,-102,-90}","{27.83,17.72,20.77,16.36},{21.17,21.19,-inf,-inf},{7.65,-2.01,2.25,8.31}","2-cmnet,1-8",0,{191},4
2025-10-25 17:55:01.797,1877,1,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","-1,3,-1,5,3","-1,3,3,6,5","-1,25,-1,11,19","-1,2,0,6,3","-99,0,0,2,1","-99,-99,-99,3,-99","-99.00,0.00,-99.00,0.12,0.00","-99.00,0.00,0.00,0.44,0.00","-99.0,4.4,-99.0,24.8,21.4","-99.0,21.0,-99.0,25.0,25.0","-99.0,7.5,-99.0,6.7,6.3","-1,-1,-1,-1,-1","-1.0,1.0,-1.0,1.0,1.0","-1.0,0.6,0.0,1.1,0.7","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","0,363,0,-34381,156","-1.0,0.5,-1.0,0.9,0.5","17,17,17,17,17","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","20.57,15.56,16.29,1.50,5.70","-111.00,-111.00,-111.00,-111.00,-111.00","-99,79,-99,114,109","-99,4,-99,29,21","100,100,100,100,100","{-77,-92,-79,-82},{-90,-86,-91,-82},{-83,-97,-86,-81}","{23.36,12.17,-inf,-inf},{0.15,9.46,-inf,-inf},{11.69,0.18,-inf,-inf}","2-cmnet,1-8",0,{191},4
2025-10-25 17:55:02.833,1886,1,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","-1,3,3,3,3","-1,2,2,12,4","-1,25,24,15,18","-1,4,4,3,1","-99,0,1,2,0","-99,-99,6,3,-99","-99.00,0.00,0.31,0.17,0.20","-99.00,0.00,0.06,0.07,0.10","-99.0,-3.7,6.6,25.3,16.2","-99.0,21.0,21.0,25.0,23.0","-99.0,7.5,7.0,6.6,5.9","-1,-1,1038,711,-1","-1.0,1.0,1.0,1.0,1.0","-1.0,1.0,0.9,0.7,0.4","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","0,327,926,227,156","-1.0,0.5,0.5,0.8,0.5","17,17,17,17,17","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","16.17,20.27,3.54,6.75,5.16","-111.00,-111.00,-111.00,-111.00,-111.00","-99,72,84,118,101","-99,-3,6,28,16","100,100,100,100,100","{-86,-81,-78,-87},{-93,-100,-99,-111},{-78,-81,-86,-90}","{12.42,19.06,-inf,-inf},{7.36,-5.84,-3.07,-2.20},{3.03,-3.92,-inf,-inf}","2-cmnet,1-8",0,{191},4
2025-10-25 17:55:03.864,1893,2,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","3,-1,5,3,3","3,3,6,5,7","25,-1,11,19,23","2,0,6,3,1","0,0,2,1,1","-99,-99,3,-99,4","0.00,-99.00,0.12,0.00,0.00","0.00,0.00,0.44,0.00,0.17","4.4,-99.0,24.8,21.4,12.3","21.0,-99.0,25.0,25.0,22.0","7.5,-99.0,6.7,6.3,8.2","-1,-1,-1,-1,102","1.0,-1.0,1.0,1.0,1.0","0.6,0.0,1.1,0.7,0.7","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","363,0,-34381,156,-1632","0.5,-1.0,0.9,0.5,0.8","17,17,17,17,17","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","15.56,16.29,1.50,5.70,0.84","-111.00,-111.00,-111.00,-111.00,-111.00","79,-99,114,109,94","4,-99,29,21,12","100,100,100,100,100","{-85,-89,-90,-86},{-96,-99,-105,-99},{-69,-70,-72,-69}","{10.24,4.40,7.84,6.72},{-0.88,-2.34,-1.92,-6.60},{-27.09,0.63,-15.79,-22.32}","2-cmnet,1-8",0,{191},4
2025-10-25 17:55:04.896,1901,2,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","3,3,3,3,3","2,2,12,4,18","25,24,15,18,8","4,4,3,1,3","0,1,2,0,6","-99,6,3,-99,0","0.00,0.31,0.17,0.20,0.05","0.00,0.06,0.07,0.10,0.10","-3.7,6.6,25.3,16.2,-5.3","21.0,21.0,25.0,23.0,25.0","7.5,7.0,6.6,5.9,7.9","-1,1038,711,-1,63","1.0,1.0,1.0,1.0,1.0","1.0,0.9,0.7,0.4,0.3","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","327,926,227,156,331","0.5,0.5,0.8,0.5,0.9","17,17,17,17,17","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","20.27,3.54,6.75,5.16,14.97","-111.00,-111.00,-111.00,-111.00,-111.00","72,84,118,101,76","-3,6,28,16,-5","100,100,100,100,100","{-80,-79,-81,-75},{-89,-98,-102,-90},{-63,-65,-71,-62}","{18.20,18.68,10.69,10.48},{7.65,-2.01,2.25,8.31},{22.85,25.60,10.86,16.21}","2-cmnet,1-8",0,{191},4
2025-10-25 17:55:05.929,1911,2,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","-1,5,3,3,3","3,6,5,7,7","-1,11,19,23,21","0,6,3,1,5","0,2,1,1,0","-99,3,-99,4,-99","-99.00,0.12,0.00,0.00,0.38","0.00,0.44,0.00,0.17,0.00","-99.0,24.8,21.4,12.3,-7.9","-99.0,25.0,25.0,22.0,22.0","-99.0,6.7,6.3,8.2,7.8","-1,-1,-1,102,-1","-1.0,1.0,1.0,1.0,1.0","0.0,1.1,0.7,0.7,0.8","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","0,-34381,156,-1632,156","-1.0,0.9,0.5,0.8,0.5","17,17,17,17,17","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","16.29,1.50,5.70,0.84,21.64","-111.00,-111.00,-111.00,-111.00,-111.00","-99,114,109,94,72","-99,29,21,12,-7","100,100,100,100,100","{-74,-82,-77,-74},{-83,-97,-86,-81},{-63,-52,-69,-57}","{21.17,21.19,-inf,-inf},{11.69,0.18,-inf,-inf},{17.36,20.99,-inf,-inf}","2-cmnet,1-8",0,{191},4
2025-10-25 17:55:06.961,1918,2,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","3,3,3,3,3","2,12,4,18,10","24,15,18,8,21","4,3,1,3,8","1,2,0,6,6","6,3,-99,0,4","0.31,0.17,0.20,0.05,0.00","0.06,0.07,0.10,0.10,0.00","6.6,25.3,16.2,-5.3,-1.9","21.0,25.0,23.0,25.0,22.0","7.0,6.6,5.9,7.9,8.5","1038,711,-1,63,-1","1.0,1.0,1.0,1.0,1.0","0.9,0.7,0.4,0.3,0.9","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","926,227,156,331,735","0.5,0.8,0.5,0.9,0.5","17,17,17,17,17","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","3.54,6.75,5.16,14.97,26.37","-111.00,-111.00,-111.00,-111.00,-111.00","84,118,101,76,77","6,28,16,-5,-1","100,100,100,100,100","{-90,-86,-91,-82},{-78,-81,-86,-90},{-63,-74,-78,-64}","{0.15,9.46,-inf,-inf},{3.03,-3.92,-inf,-inf},{18.48,17.86,16.43,24.92}","2-cmnet,1-8",0,{191},4
2025-10-25 17:55:07.987,1925,2,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","5,3,3,3,3","6,5,7,7,10","11,19,23,21,21","6,3,1,5,11","2,1,1,0,38","3,-99,4,-99,14","0.12,0.00,0.00,0.38,0.00","0.44,0.00,0.17,0.00,0.00","24.8,21.4,12.3,-7.9,3.5","25.0,25.0,22.0,22.0,22.0","6.7,6.3,8.2,7.8,8.5","-1,-1,102,-1,74","1.0,1.0,1.0,1.0,1.0","1.1,0.7,0.7,0.8,1.0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","-34381,156,-1632,156,4414","0.9,0.5,0.8,0.5,0.5","17,17,17,17,17","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","1.50,5.70,0.84,21.64,22.90","-111.00,-111.00,-111.00,-111.00,-111.00","114,109,94,72,85","29,21,12,-7,3","100,100,100,100,100","{-93,-100,-99,-111},{-69,-70,-72,-69},{-76,-83,-77,-78}","{7.36,-5.84,-3.07,-2.20},{-27.09,0.63,-15.79,-22.32},{16.46,10.59,18.29,16.10}","2-cmnet,1-8",0,{191},4
2025-10-25 17:55:09.012,1934,2,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","3,3,3,3,3","12,4,18,10,8","15,18,8,21,20","3,1,3,8,11","2,0,6,6,3","3,-99,0,4,-99","0.17,0.20,0.05,0.00,0.00","0.07,0.10,0.10,0.00,0.00","25.3,16.2,-5.3,-1.9,9.5","25.0,23.0,25.0,22.0,22.0","6.6,5.9,7.9,8.5,8.4","711,-1,63,-1,-1","1.0,1.0,1.0,1.0,1.0","0.7,0.4,0.3,0.9,1.0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","227,156,331,735,3442","0.8,0.5,0.9,0.5,0.5","17,17,17,17,17","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","6.75,5.16,14.97,26.37,20.51","-111.00,-111.00,-111.00,-111.00,-111.00","118,101,76,77,94","28,16,-5,-1,9","100,100,100,100,100","{-96,-99,-105,-99},{-63,-65,-71,-62},{-81,-87,-85,-90}","{-0.88,-2.34,-1.92,-6.60},{22.85,25.60,10.86,16.21},{15.13,21.90,-inf,-inf}","2-cmnet,1-8",0,{191},4
