timestamp,line_number,mn_cc,mn_redrt,mn_rre_count,mn_rach_fail,mn_rlf_num,mn_ota_irat,mn_irat,mn_u_r,mn_d_r,mn_u_m,mn_d_m,mn_d_g,mn_u_g,mn_u_b,mn_d_b,mn_txp_md,mn_mtpl,mn_cqi,mn_mac,mn_pu_m_l,mn_pd_m_l,mn_rlf_cause,mn_retr,mn_pp_s,mn_pp_dis,mn_pp_r,mn_ri,mn_prach_cfg,mn_pre_for,mn_o_fail,mn_ph_dis,mn_ssnr,mn_tsnr,mn_path_loss,mn_target_pwr,mn_bandwidth,mn_rsrp_4,mn_snr_4,qos,rf_sul_state,rf_sul_band,mn_ver
2025-11-02 14:06:10.054,804,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","5,5,5,5,5","9,13,10,11,9","14,14,10,20,12","0,0,0,0,0","0,0,0,0,0","4,3,6,4,6","0.11,0.00,0.00,0.13,0.00","0.00,0.00,0.00,0.00,0.00","23.5,24.9,26.5,18.0,26.5","25.0,25.0,26.0,24.0,26.0","7.8,11.2,8.1,10.5,8.8","-1,-1,-1,-1,-1","1.0,1.0,1.0,1.0,1.0","0.6,0.3,0.5,0.5,0.5","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","0,0,0,0,372","1.0,1.0,1.0,1.0,1.0","17,17,17,17,17","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","18.42,24.47,21.19,26.55,20.10","-111.00,-111.00,-111.00,-111.00,-111.00","114,112,113,101,114","25,25,29,18,30","100,100,100,100,100","{-92,-91,-88,-89},{-93,-92,-87,-86},{-96,-94,-90,-95}","{24.44,19.05,-inf,-inf},{16.73,20.41,-inf,-inf},{17.63,15.47,-inf,-inf}","2-ims,6-5;1-cbnet,7-9",0,{191},4
2025-11-02 14:06:11.073,816,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","5,5,5,5,5","13,25,8,5,3","6,20,12,19,13","0,0,0,2,2","0,0,0,0,0","-99,-99,-99,-99,3","0.00,0.22,0.00,0.10,0.00","0.00,0.00,0.00,0.00,0.00","26.8,23.3,25.7,22.0,25.8","26.0,24.0,26.0,25.0,26.0","7.2,10.1,9.1,10.6,9.7","-1,-1,-1,-1,-1","1.0,1.0,1.0,1.0,1.0","0.5,0.0,0.5,0.9,0.8","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","0,0,0,0,156","1.0,1.0,1.0,1.0,1.0","17,17,17,17,17","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","17.97,24.27,22.20,25.23,21.30","-111.00,-111.00,-111.00,-111.00,-111.00","119,110,110,105,113","30,23,27,22,28","100,100,100,100,100","{-95,-100,-103,-93},{-81,-92,-82,-93},{-81,-83,-80,-91}","{17.93,10.53,-inf,-inf},{27.52,16.82,28.29,19.44},{25.36,23.45,27.03,17.79}","2-ims,6-5;1-cbnet,7-9",0,{191},4
2025-11-02 14:06:12.094,823,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","5,5,5,5,5","13,10,11,9,6","14,10,20,12,18","0,0,0,0,2","0,0,0,0,0","3,6,4,6,-99","0.00,0.00,0.13,0.00,0.00","0.00,0.00,0.00,0.00,0.00","24.9,26.5,18.0,26.5,15.4","25.0,26.0,24.0,26.0,25.0","11.2,8.1,10.5,8.8,10.8","-1,-1,-1,-1,-1","1.0,1.0,1.0,1.0,1.0","0.3,0.5,0.5,0.5,0.8","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","0,0,0,372,394","1.0,1.0,1.0,1.0,1.0","17,17,17,17,17","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","24.47,21.19,26.55,20.10,26.67","-111.00,-111.00,-111.00,-111.00,-111.00","112,113,101,114,100","25,29,18,30,15","100,100,100,100,100","{-90,-89,-100,-100},{-71,-93,-77,-83},{-91,-86,-83,-84}","{19.83,17.68,-inf,-inf},{28.71,25.68,-inf,-inf},{20.25,22.38,-inf,-inf}","2-ims,6-5;1-cbnet,7-9",0,{191},4
2025-11-02 14:06:13.125,830,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","5,5,5,5,5","25,8,5,3,8","20,12,19,13,19","0,0,2,2,1","0,0,0,0,0","-99,-99,-99,3,6","0.22,0.00,0.10,0.00,0.00","0.00,0.00,0.00,0.00,0.00","23.3,25.7,22.0,25.8,25.0","24.0,26.0,25.0,26.0,25.0","10.1,9.1,10.6,9.7,10.2","-1,-1,-1,-1,-1","1.0,1.0,1.0,1.0,1.0","0.0,0.5,0.9,0.8,0.7","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","0,0,0,156,84","1.0,1.0,1.0,1.0,1.0","17,17,17,17,17","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","24.27,22.20,25.23,21.30,23.66","-111.00,-111.00,-111.00,-111.00,-111.00","110,110,105,113,108","23,27,22,28,26","100,100,100,100,100","{-87,-94,-86,-89},{-97,-97,-94,-92},{-85,-84,-90,-88}","{20.24,23.97,-inf,-inf},{20.39,25.74,22.70,20.81},{22.55,20.93,-inf,-inf}","2-ims,6-5;1-cbnet,7-9",0,{191},4
2025-11-02 14:06:14.197,838,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","5,5,5,5,5","10,11,9,6,4","10,20,12,18,13","0,0,0,2,2","0,0,0,0,0","6,4,6,-99,5","0.00,0.13,0.00,0.00,0.00","0.00,0.00,0.00,0.00,0.00","26.5,18.0,26.5,15.4,26.2","26.0,24.0,26.0,25.0,26.0","8.1,10.5,8.8,10.8,10.8","-1,-1,-1,-1,-1","1.0,1.0,1.0,1.0,1.0","0.5,0.5,0.5,0.8,0.9","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","0,0,372,394,92","1.0,1.0,1.0,1.0,1.0","17,17,17,17,17","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","21.19,26.55,20.10,26.67,24.11","-111.00,-111.00,-111.00,-111.00,-111.00","113,101,114,100,108","29,18,30,15,27","100,100,100,100,100","{-90,-94,-98,-92},{-96,-94,-90,-95},{-89,-91,-90,-86}","{19.45,12.50,-inf,-inf},{17.63,15.47,-inf,-inf},{17.49,23.93,22.04,24.86}","2-ims,6-5;1-cbnet,7-9",0,{191},4
2025-11-02 14:06:15.273,845,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","5,5,5,5,32","8,5,3,8,8","12,19,13,19,16","0,2,2,1,7","0,0,0,0,47","-99,-99,3,6,98","0.00,0.10,0.00,0.00,0.00","0.00,0.00,0.00,0.00,0.05","25.7,22.0,25.8,25.0,25.0","26.0,25.0,26.0,25.0,25.0","9.1,10.6,9.7,10.2,11.1","-1,-1,-1,-1,4278","1.0,1.0,1.0,1.0,1.0","0.5,0.9,0.8,0.7,1.0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","0,0,156,84,3346","1.0,1.0,1.0,1.0,1.0","17,17,17,17,17","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","22.20,25.23,21.30,23.66,23.59","-111.00,-111.00,-111.00,-111.00,-111.00","110,105,113,108,110","27,22,28,26,28","100,100,100,100,100","{-93,-92,-87,-86},{-81,-83,-80,-91},{-88,-94,-92,-91}","{16.73,20.41,-inf,-inf},{25.36,23.45,27.03,17.79},{23.40,20.18,-inf,-inf}","2-ims,6-5;1-cbnet,7-9",0,{191},4
2025-11-02 14:06:16.296,852,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","5,5,5,5,10","11,9,6,4,3","20,12,18,13,17","0,0,2,2,5","0,0,0,0,7","4,6,-99,5,7","0.13,0.00,0.00,0.00,0.00","0.00,0.00,0.00,0.00,0.00","18.0,26.5,15.4,26.2,24.7","24.0,26.0,25.0,26.0,26.0","10.5,8.8,10.8,10.8,11.6","-1,-1,-1,-1,304","1.0,1.0,1.0,1.0,1.0","0.5,0.5,0.8,0.9,1.0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","0,372,394,92,34809","1.0,1.0,1.0,1.0,1.0","17,17,17,17,17","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","26.55,20.10,26.67,24.11,23.96","-111.00,-111.00,-111.00,-111.00,-111.00","101,114,100,108,111","18,30,15,27,25","100,100,100,100,100","{-81,-92,-82,-93},{-91,-86,-83,-84},{-91,-93,-90,-93}","{27.52,16.82,28.29,19.44},{20.25,22.38,-inf,-inf},{16.40,22.30,-inf,-inf}","2-ims,6-5;1-cbnet,7-9",0,{191},4
2025-11-02 14:06:17.317,859,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","5,5,5,32,5","5,3,8,8,4","19,13,19,16,19","2,2,1,7,9","0,0,0,47,21","-99,3,6,98,26","0.10,0.00,0.00,0.00,0.11","0.00,0.00,0.00,0.05,0.22","22.0,25.8,25.0,25.0,20.9","25.0,26.0,25.0,25.0,25.0","10.6,9.7,10.2,11.1,13.0","-1,-1,-1,4278,1061","1.0,1.0,1.0,1.0,1.0","0.9,0.8,0.7,1.0,1.0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","0,156,84,3346,17335","1.0,1.0,1.0,1.0,1.0","17,17,17,17,17","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","25.23,21.30,23.66,23.59,24.85","-111.00,-111.00,-111.00,-111.00,-111.00","105,113,108,110,110","22,28,26,28,20","100,100,100,100,100","{-71,-93,-77,-83},{-85,-84,-90,-88},{-93,-96,-107,-86}","{28.71,25.68,-inf,-inf},{22.55,20.93,-inf,-inf},{23.45,18.80,-inf,-inf}","2-ims,6-5;1-cbnet,7-9",0,{191},4
2025-11-02 14:06:18.341,864,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","5,5,5,10,5","9,6,4,3,4","12,18,13,17,19","0,2,2,5,11","0,0,0,7,5","6,-99,5,7,6","0.00,0.00,0.00,0.00,0.09","0.00,0.00,0.00,0.00,0.21","26.5,15.4,26.2,24.7,25.2","26.0,25.0,26.0,26.0,25.0","8.8,10.8,10.8,11.6,9.5","-1,-1,-1,304,-1","1.0,1.0,1.0,1.0,1.0","0.5,0.8,0.9,1.0,0.9","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","372,394,92,34809,7476","1.0,1.0,1.0,1.0,1.0","17,17,17,17,17","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","20.10,26.67,24.11,23.96,22.80","-111.00,-111.00,-111.00,-111.00,-111.00","114,100,108,111,112","30,15,27,25,26","100,100,100,100,100","{-97,-97,-94,-92},{-89,-91,-90,-86},{-90,-84,-90,-88}","{20.39,25.74,22.70,20.81},{17.49,23.93,22.04,24.86},{24.97,29.31,-inf,-inf}","2-ims,6-5;1-cbnet,7-9",0,{191},4
2025-11-02 14:06:19.364,871,1,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","5,5,32,5,5","3,8,8,4,21","13,19,16,19,8","2,1,7,9,1","0,0,47,21,0","3,6,98,26,6","0.00,0.00,0.00,0.11,0.13","0.00,0.00,0.05,0.22,0.00","25.8,25.0,25.0,20.9,25.7","26.0,25.0,25.0,25.0,26.0","9.7,10.2,11.1,13.0,8.2","-1,-1,4278,1061,-1","1.0,1.0,1.0,1.0,1.0","0.8,0.7,1.0,1.0,0.2","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","156,84,3346,17335,-64766","1.0,1.0,1.0,1.0,0.9","17,17,17,17,17","0,0,0,0,0","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","21.30,23.66,23.59,24.85,20.75","-111.00,-111.00,-111.00,-111.00,-111.00","113,108,110,110,114","28,26,28,20,27","100,100,100,100,100","{-96,-94,-90,-95},{-88,-94,-92,-91},{-93,-96,-103,-106}","{17.63,15.47,-inf,-inf},{23.40,20.18,-inf,-inf},{21.53,17.55,11.00,8.07}","2-ims,6-5;1-cbnet,7-9",0,{191},4
