timestamp,mn_cc,mn_redrt,mn_rre_count,mn_rach_fail,mn_rlf_num,mn_ota_irat,mn_irat,mn_u_r,mn_d_r,mn_u_m,mn_d_m,mn_d_g,mn_u_g,mn_u_b,mn_d_b,mn_txp_md,mn_mtpl,mn_cqi,mn_mac,mn_pu_m_l,mn_pd_m_l,mn_rlf_cause,mn_retr,mn_pp_s,mn_pp_dis,mn_pp_r,mn_ri,mn_prach_cfg,mn_pre_for,mn_o_fail,mn_ph_dis,mn_ssnr,mn_tsnr,mn_path_loss,mn_target_pwr,mn_bandwidth,mn_rsrp_4,mn_snr_4,rf_sul_state,rf_sul_band,mn_ver
2026-01-30 14:02:54.121,1,0,0,0,0,"9,9,9,9,9","9,9,9,9,9","2,2,2,2,1","3,2,5,6,4","23,23,23,24,26","18,20,6,8,19","7,9,4,3,2","2,3,2,3,2","0.00,0.00,-99.00,0.00,0.05","0.16,0.23,0.03,0.09,0.14","22.0,17.0,17.0,19.0,6.0","0.0,0.0,0.0,0.0,0.0","-1.0,-1.0,-1.0,10.0,-1.0","119,27,74,50,49","-1.0,-1.0,-1.0,-1.0,-1.0","-1.0,-1.0,-1.0,-1.0,-1.0","-1,-1,-1,-1,-1","0.01,0.01,-1.00,0.01,-1.00","7641,3264,-99,1877,-99","0.00,0.00,-1.00,0.00,-1.00","521932,717796,732976,374604,11750","-1.0,-1.0,-1.0,0.0,-1.0","6,6,6,6,6","0,0,0,0,0","-1,-1,-1,-1,-1","0.04,0.05,0.00,0.05,0.06","-111.00,-111.00,-111.00,-111.00,-111.00","-111.00,-111.00,-111.00,-111.00,-111.00","112,105,105,106,94","23,17,17,19,113","20,20,20,20,20","{-97,-102,-102,-100},{-90,-113,-113,-100},{-86,-104,-104,-256}","{31.20,12.80,8.40,1.60},{56.80,38.00,4.90,0.00},{-20.00,38.70,-20.00,-20.00}",0,{158},4
2026-01-30 14:02:55.167,1,0,0,0,0,"9,9,9,9,9","9,9,9,9,9","2,2,2,1,1","2,4,7,2,2","23,23,22,26,26","21,10,7,24,20","8,3,2,5,3","3,2,2,1,2","0.00,0.00,0.00,0.08,0.00","0.23,0.21,0.09,0.06,0.07","-99.0,19.0,-99.0,6.0,12.0","-99.0,0.0,-99.0,0.0,0.0","-1.0,-1.0,-1.0,-1.0,-1.0","68,48,1245,42,77","-1.0,-1.0,-1.0,-1.0,-1.0","-1.0,-1.0,-1.0,-1.0,-1.0","-1,-1,-1,-1,-1","-1.00,0.01,0.01,0.01,0.01","-99,2495,2306,1702,2566","-1.00,0.00,0.00,0.00,0.00","708688,725290,739792,7204,18193","-1.0,-1.0,-1.0,-1.0,-1.0","6,6,6,6,6","0,0,0,0,0","-1,-1,-1,-1,-1","0.00,0.05,0.09,0.08,0.03","-111.00,-111.00,-111.00,-111.00,-111.00","-111.00,-111.00,-111.00,-111.00,-111.00","-99,107,-99,101,98","-99,19,-99,98,12","20,20,20,20,20","{-92,-88,-88,-93},{-100,-118,-118,-114},{-73,-90,-90,-90}","{31.20,65.50,-20.00,-20.00},{-20.00,10.90,-4.20,-2.70},{31.20,17.10,-20.00,-20.00}",0,{158},4
2026-01-30 14:02:56.295,1,0,0,0,0,"9,9,9,9,9","9,9,9,9,9","2,2,2,1,3","2,5,6,4,2","23,23,24,26,27","20,6,8,19,26","9,4,3,2,7","3,2,3,2,6","0.00,-99.00,0.00,0.05,0.00","0.23,0.03,0.09,0.14,0.00","17.0,17.0,19.0,6.0,-99.0","0.0,0.0,0.0,0.0,-99.0","-1.0,-1.0,10.0,-1.0,-1.0","27,74,50,49,247","-1.0,-1.0,-1.0,-1.0,-1.0","-1.0,-1.0,-1.0,-1.0,-1.0","-1,-1,-1,-1,-1","0.01,-1.00,0.01,-1.00,0.01","3264,-99,1877,-99,5452","0.00,-1.00,0.00,-1.00,0.00","717796,732976,374604,11750,28759","-1.0,-1.0,0.0,-1.0,-1.0","6,6,6,6,6","0,0,0,0,0","-1,-1,-1,-1,-1","0.05,0.00,0.05,0.06,0.00","-111.00,-111.00,-111.00,-111.00,-111.00","-111.00,-111.00,-111.00,-111.00,-111.00","105,105,106,94,-99","17,17,19,113,-99","20,20,20,20,20","{-90,-89,-89,-94},{-70,-256,-256,-94},{-84,-98,-98,-256}","{-20.00,31.20,-20.00,16.00},{31.20,-10.10,20.30,17.10},{31.20,68.40,-20.00,-20.00}",0,{158},4
2026-01-30 14:02:57.422,1,0,0,0,0,"9,9,9,9,9","9,9,9,9,9","2,2,1,3,1","5,6,4,2,2","23,24,26,27,27","6,8,19,26,19","4,3,2,7,4","2,3,2,6,2","-99.00,0.00,0.05,0.00,0.00","0.03,0.09,0.14,0.00,0.23","17.0,19.0,6.0,-99.0,10.0","0.0,0.0,0.0,-99.0,0.0","-1.0,10.0,-1.0,-1.0,-1.0","74,50,49,247,26","-1.0,-1.0,-1.0,-1.0,-1.0","-1.0,-1.0,-1.0,-1.0,-1.0","-1,-1,-1,-1,-1","-1.00,0.01,-1.00,0.01,0.01","-99,1877,-99,5452,1179","-1.00,0.00,-1.00,0.00,0.00","732976,374604,11750,28759,45001","-1.0,0.0,-1.0,-1.0,-1.0","6,6,6,6,6","0,0,0,0,0","-1,-1,-1,-1,-1","0.00,0.05,0.06,0.00,0.01","-111.00,-111.00,-111.00,-111.00,-111.00","-111.00,-111.00,-111.00,-111.00,-111.00","105,106,94,-99,96","17,19,113,-99,10","20,20,20,20,20","{-87,-108,-108,-109},{-86,-104,-104,-256},{-87,-99,-99,-109}","{31.20,38.30,7.20,7.10},{-20.00,38.70,-20.00,-20.00},{5.60,15.80,13.80,14.50}",0,{158},4
2026-01-30 14:02:58.630,1,0,0,0,0,"9,9,9,9,9","9,9,9,9,9","2,1,1,1,1","7,2,2,2,2","22,26,26,26,26","7,24,20,25,18","2,5,3,6,8","2,1,2,2,2","0.00,0.08,0.00,0.00,0.00","0.09,0.06,0.07,0.00,0.19","-99.0,6.0,12.0,5.0,17.0","-99.0,0.0,0.0,0.0,0.0","-1.0,-1.0,-1.0,-1.0,-1.0","1245,42,77,50,41","-1.0,-1.0,-1.0,-1.0,-1.0","-1.0,-1.0,-1.0,-1.0,-1.0","-1,-1,-1,-1,-1","0.01,0.01,0.01,-1.00,0.01","2306,1702,2566,-99,1511","0.00,0.00,0.00,-1.00,0.00","739792,7204,18193,37901,52494","-1.0,-1.0,-1.0,-1.0,-1.0","6,6,6,6,6","0,0,0,0,0","-1,-1,-1,-1,-1","0.09,0.08,0.03,0.00,0.02","-111.00,-111.00,-111.00,-111.00,-111.00","-111.00,-111.00,-111.00,-111.00,-111.00","-99,101,98,88,104","-99,98,12,5,17","20,20,20,20,20","{-90,-113,-113,-100},{-73,-90,-90,-90},{-91,-104,-104,-111}","{56.80,38.00,4.90,0.00},{31.20,17.10,-20.00,-20.00},{-20.00,66.80,11.90,12.50}",0,{158},4
2026-01-30 14:02:59.885,1,0,0,0,0,"9,9,9,9,9","9,9,9,9,9","2,1,3,1,1","6,4,2,2,2","24,26,27,27,26","8,19,26,19,17","3,2,7,4,5","3,2,6,2,3","0.00,0.05,0.00,0.00,0.00","0.09,0.14,0.00,0.23,0.30","19.0,6.0,-99.0,10.0,-99.0","0.0,0.0,-99.0,0.0,-99.0","10.0,-1.0,-1.0,-1.0,-1.0","50,49,247,26,81","-1.0,-1.0,-1.0,-1.0,-1.0","-1.0,-1.0,-1.0,-1.0,-1.0","-1,-1,-1,-1,-1","0.01,-1.00,0.01,0.01,-1.00","1877,-99,5452,1179,-99","0.00,-1.00,0.00,0.00,-1.00","374604,11750,28759,45001,78663","0.0,-1.0,-1.0,-1.0,-1.0","6,6,6,6,6","0,0,0,0,0","-1,-1,-1,-1,-1","0.05,0.06,0.00,0.01,0.01","-111.00,-111.00,-111.00,-111.00,-111.00","-111.00,-111.00,-111.00,-111.00,-111.00","106,94,-99,96,-99","19,113,-99,10,-99","20,20,20,20,20","{-100,-118,-118,-114},{-84,-98,-98,-256},{-93,-102,-102,-111}","{-20.00,10.90,-4.20,-2.70},{31.20,68.40,-20.00,-20.00},{-20.00,-11.20,12.70,13.20}",0,{158},4
2026-01-30 14:03:01.107,1,0,0,0,0,"9,9,9,9,9","9,9,9,9,9","1,1,1,1,1","2,2,2,2,3","26,26,26,26,26","24,20,25,18,10","5,3,6,8,4","1,2,2,2,2","0.08,0.00,0.00,0.00,0.00","0.06,0.07,0.00,0.19,0.05","6.0,12.0,5.0,17.0,21.0","0.0,0.0,0.0,0.0,0.0","-1.0,-1.0,-1.0,-1.0,-1.0","42,77,50,41,63","-1.0,-1.0,-1.0,-1.0,-1.0","-1.0,-1.0,-1.0,-1.0,-1.0","-1,-1,-1,-1,-1","0.01,0.01,-1.00,0.01,0.01","1702,2566,-99,1511,2915","0.00,0.00,-1.00,0.00,0.00","7204,18193,37901,52494,55370","-1.0,-1.0,-1.0,-1.0,-1.0","6,6,6,6,6","0,0,0,0,0","-1,-1,-1,-1,-1","0.08,0.03,0.00,0.02,0.00","-111.00,-111.00,-111.00,-111.00,-111.00","-111.00,-111.00,-111.00,-111.00,-111.00","101,98,88,104,107","98,12,5,17,22","20,20,20,20,20","{-70,-256,-256,-94},{-86,-106,-106,-108},{-94,-118,-118,-256}","{31.20,-10.10,20.30,17.10},{31.20,15.80,15.40,16.60},{5.60,39.50,-20.00,-20.00}",0,{158},4
2026-01-30 14:03:02.611,0,0,0,0,0,"9,9,9,9,9","9,9,9,9,9","1,1,1,1,1","2,2,2,3,8","26,26,26,26,26","20,25,18,10,13","3,6,8,4,11","2,2,2,2,3","0.00,0.00,0.00,0.00,0.13","0.07,0.00,0.19,0.05,0.04","12.0,5.0,17.0,21.0,22.0","0.0,0.0,0.0,0.0,0.0","-1.0,-1.0,-1.0,-1.0,-1.0","77,50,41,63,57","-1.0,-1.0,-1.0,-1.0,-1.0","-1.0,-1.0,-1.0,-1.0,-1.0","-1,-1,-1,-1,-1","0.01,-1.00,0.01,0.01,0.01","2566,-99,1511,2915,3339","0.00,-1.00,0.00,0.00,0.00","18193,37901,52494,55370,119369","-1.0,-1.0,-1.0,-1.0,-1.0","6,6,6,6,6","0,0,0,0,0","-1,-1,-1,-1,-1","0.03,0.00,0.02,0.00,0.42","-111.00,-111.00,-111.00,-111.00,-111.00","-111.00,-111.00,-111.00,-111.00,-111.00","98,88,104,107,108","12,5,17,22,23","20,20,20,20,20","{-86,-104,-104,-256},{-91,-104,-104,-111},{-92,-115,-115,-256}","{-20.00,38.70,-20.00,-20.00},{-20.00,66.80,11.90,12.50},{-20.00,14.90,-20.00,-20.00}",0,{158},4
2026-01-30 14:03:04.409,0,0,0,0,0,"9,9,9,9,9","9,9,9,9,9","3,1,1,2,2","2,2,2,6,4","27,27,26,26,26","26,19,17,11,20","7,4,5,4,4","6,2,3,3,3","0.00,0.00,0.00,0.00,0.00","0.00,0.23,0.30,0.22,0.06","-99.0,10.0,-99.0,22.0,-99.0","-99.0,0.0,-99.0,0.0,-99.0","-1.0,-1.0,-1.0,-1.0,-1.0","247,26,81,93,90","-1.0,-1.0,-1.0,-1.0,-1.0","-1.0,-1.0,-1.0,-1.0,-1.0","-1,-1,-1,-1,-1","0.01,0.01,-1.00,0.01,-1.00","5452,1179,-99,2677,-99","0.00,0.00,-1.00,0.00,-1.00","28759,45001,78663,82273,79728","-1.0,-1.0,-1.0,-1.0,-1.0","6,6,6,6,6","0,0,0,0,0","-1,-1,-1,-1,-1","0.00,0.01,0.01,0.08,0.00","-111.00,-111.00,-111.00,-111.00,-111.00","-111.00,-111.00,-111.00,-111.00,-111.00","-99,96,-99,110,-99","-99,10,-99,24,-99","20,20,20,20,20","{-73,-90,-90,-90},{-93,-102,-102,-111},{-91,-117,-117,-256}","{31.20,17.10,-20.00,-20.00},{-20.00,-11.20,12.70,13.20},{-20.00,66.00,-20.00,-20.00}",0,{158},4
2026-01-30 14:03:05.803,0,0,0,0,0,"9,9,9,9,9","9,9,9,9,9","1,1,2,2,2","2,2,6,4,4","27,26,26,26,25","19,17,11,20,8","4,5,4,4,4","2,3,3,3,3","0.00,0.00,0.00,0.00,0.00","0.23,0.30,0.22,0.06,0.08","10.0,-99.0,22.0,-99.0,21.0","0.0,-99.0,0.0,-99.0,0.0","-1.0,-1.0,-1.0,-1.0,-1.0","26,81,93,90,93","-1.0,-1.0,-1.0,-1.0,-1.0","-1.0,-1.0,-1.0,-1.0,-1.0","-1,-1,-1,-1,-1","0.01,-1.00,0.01,-1.00,0.01","1179,-99,2677,-99,4067","0.00,-1.00,0.00,-1.00,0.00","45001,78663,82273,79728,127335","-1.0,-1.0,-1.0,-1.0,-1.0","6,6,6,6,6","0,0,0,0,0","-1,-1,-1,-1,-1","0.01,0.01,0.08,0.00,0.05","-111.00,-111.00,-111.00,-111.00,-111.00","-111.00,-111.00,-111.00,-111.00,-111.00","96,-99,110,-99,107","10,-99,24,-99,23","20,20,20,20,20","{-86,-106,-106,-108},{-91,-116,-116,-115},{-94,-256,-256,-256}","{31.20,15.80,15.40,16.60},{56.80,41.20,15.70,9.90},{56.80,66.30,10.10,4.20}",0,{158},4
