timestamp,mn_cc,mn_redrt,mn_rre_count,mn_rach_fail,mn_rlf_num,mn_ota_irat,mn_irat,mn_u_r,mn_d_r,mn_u_m,mn_d_m,mn_d_g,mn_u_g,mn_u_b,mn_d_b,mn_txp_md,mn_mtpl,mn_cqi,mn_mac,mn_pu_m_l,mn_pd_m_l,mn_rlf_cause,mn_retr,mn_pp_s,mn_pp_dis,mn_pp_r,mn_ri,mn_prach_cfg,mn_pre_for,mn_o_fail,mn_ph_dis,mn_ssnr,mn_tsnr,mn_path_loss,mn_target_pwr,mn_bandwidth,mn_rsrp_4,mn_snr_4,rf_sul_state,rf_sul_band,mn_ver
2025-10-31 20:12:25.649,1,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","79,-1,30,57,186","73,8,47,38,24","4,-1,0,1,0","1,0,4,3,5","32,0,35,83,38","55,-99,-99,4,-99","0.14,-99.00,0.00,0.00,0.00","0.00,0.00,0.08,0.02,0.00","27.0,-99.0,27.0,27.0,26.4","27.0,-99.0,27.0,27.0,26.0","7.9,6.6,5.5,6.7,9.0","150000,-1,-1,150000,-1","1.0,-1.0,1.0,1.0,1.0","0.8,0.0,0.9,0.9,0.9","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","21864,0,32692,62077,30072","1.0,0.8,1.0,1.0,1.0","210,210,210,210,210","13,13,13,13,13","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","10.78,1.04,12.94,16.97,23.79","-6.44,-0.32,10.77,11.19,16.95","121,-99,123,122,109","50,-99,47,50,44","100,100,100,100,100","{-97,-100,-102,-102},{-110,-108,-106,-104},{-101,-102,-100,-101}","{-2.96,-0.11,-inf,-inf},{9.40,9.22,6.16,7.85},{13.67,15.18,-inf,-inf}",0,{191},4
2025-10-31 20:12:26.684,1,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","20,33,37,46,48","71,68,46,22,30","0,7,6,1,3","1,8,3,4,11","37,139,42,27,48","-99,36,20,6,19","0.00,0.26,0.21,0.00,0.06","0.00,0.29,0.03,0.00,0.30","27.0,26.9,27.0,26.9,26.4","27.0,26.0,27.0,26.0,26.0","8.0,9.1,5.8,7.9,6.6","-1,314824,150000,150000,150000","1.0,1.0,1.0,1.0,1.0","0.8,0.4,0.5,0.8,0.7","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","31426,-934418,29904,22174,30184","1.0,1.0,0.8,1.0,1.0","210,210,210,210,210","13,13,13,13,13","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","10.40,14.47,10.27,21.28,15.60","0.37,13.46,8.85,13.75,10.93","127,123,127,116,115","50,45,51,44,43","100,100,100,100,100","{-105,-104,-106,-105},{-106,-99,-111,-108},{-96,-96,-106,-95}","{-5.12,-3.96,-inf,-inf},{9.37,8.92,-inf,-inf},{10.37,10.60,-inf,-inf}",0,{191},4
2025-10-31 20:12:27.720,1,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","-1,30,57,186,55","8,47,38,24,58","-1,0,1,0,3","0,4,3,5,8","0,35,83,38,67","-99,-99,4,-99,15","-99.00,0.00,0.00,0.00,0.07","0.00,0.08,0.02,0.00,0.29","-99.0,27.0,27.0,26.4,26.4","-99.0,27.0,27.0,26.0,26.0","6.6,5.5,6.7,9.0,7.7","-1,-1,150000,-1,150000","-1.0,1.0,1.0,1.0,1.0","0.0,0.9,0.9,0.9,0.7","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","0,32692,62077,30072,59151","0.8,1.0,1.0,1.0,1.0","210,210,210,210,210","13,13,13,13,13","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","1.04,12.94,16.97,23.79,16.22","-0.32,10.77,11.19,16.95,10.77","-99,123,122,109,116","-99,47,50,44,44","100,100,100,100,100","{-111,-108,-111,-106},{-98,-91,-107,-101},{-88,-91,-100,-102}","{0.19,6.80,-inf,-inf},{10.35,10.31,-inf,-inf},{10.54,11.03,-inf,-inf}",0,{191},4
2025-10-31 20:12:28.751,1,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","33,37,46,48,150","68,46,22,30,46","7,6,1,3,0","8,3,4,11,2","139,42,27,48,32","36,20,6,19,-99","0.26,0.21,0.00,0.06,0.00","0.29,0.03,0.00,0.30,0.00","26.9,27.0,26.9,26.4,26.4","26.0,27.0,26.0,26.0,26.0","9.1,5.8,7.9,6.6,7.3","314824,150000,150000,150000,-1","1.0,1.0,1.0,1.0,1.0","0.4,0.5,0.8,0.7,0.9","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","-934418,29904,22174,30184,17475","1.0,0.8,1.0,1.0,1.0","210,210,210,210,210","13,13,13,13,13","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","14.47,10.27,21.28,15.60,18.87","13.46,8.85,13.75,10.93,13.28","123,127,116,115,113","45,51,44,43,47","100,100,100,100,100","{-112,-107,-115,-109},{-97,-90,-90,-94},{-98,-101,-101,-104}","{-4.70,-1.03,-0.93,-3.57},{9.76,12.01,-inf,-inf},{11.50,15.88,-inf,-inf}",0,{191},4
2025-10-31 20:12:29.788,1,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","30,57,186,55,110","47,38,24,58,64","0,1,0,3,0","4,3,5,8,2","35,83,38,67,35","-99,4,-99,15,-99","0.00,0.00,0.00,0.07,0.00","0.08,0.02,0.00,0.29,0.00","27.0,27.0,26.4,26.4,26.4","27.0,27.0,26.0,26.0,26.0","5.5,6.7,9.0,7.7,6.7","-1,150000,-1,150000,-1","1.0,1.0,1.0,1.0,1.0","0.9,0.9,0.9,0.7,0.8","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","32692,62077,30072,59151,25340","1.0,1.0,1.0,1.0,1.0","210,210,210,210,210","13,13,13,13,13","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","12.94,16.97,23.79,16.22,17.18","10.77,11.19,16.95,10.77,13.04","123,122,109,116,115","47,50,44,44,46","100,100,100,100,100","{-100,-105,-97,-106},{-101,-102,-100,-101},{-102,-101,-111,-105}","{15.40,18.79,11.12,12.34},{13.67,15.18,-inf,-inf},{10.56,11.35,-inf,-inf}",0,{191},4
2025-10-31 20:12:30.813,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","37,46,48,150,59","46,22,30,46,62","6,1,3,0,0","3,4,11,2,1","42,27,48,32,40","20,6,19,-99,12","0.21,0.00,0.06,0.00,0.00","0.03,0.00,0.30,0.00,0.00","27.0,26.9,26.4,26.4,26.4","27.0,26.0,26.0,26.0,26.0","5.8,7.9,6.6,7.3,6.1","150000,150000,150000,-1,150000","1.0,1.0,1.0,1.0,1.0","0.5,0.8,0.7,0.9,0.7","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","29904,22174,30184,17475,31131","0.8,1.0,1.0,1.0,0.9","210,210,210,210,210","13,13,13,13,13","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","10.27,21.28,15.60,18.87,13.74","8.85,13.75,10.93,13.28,11.56","127,116,115,113,123","51,44,43,47,50","100,100,100,100,100","{-110,-108,-106,-104},{-96,-96,-106,-95},{-97,-107,-102,-105}","{9.40,9.22,6.16,7.85},{10.37,10.60,-inf,-inf},{17.76,11.76,-inf,-inf}",0,{191},4
2025-10-31 20:12:31.839,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","57,186,55,110,17","38,24,58,64,68","1,0,3,0,6","3,5,8,2,5","83,38,67,35,79","4,-99,15,-99,3","0.00,0.00,0.07,0.00,0.20","0.02,0.00,0.29,0.00,0.10","27.0,26.4,26.4,26.4,26.4","27.0,26.0,26.0,26.0,26.0","6.7,9.0,7.7,6.7,7.0","150000,-1,150000,-1,150000","1.0,1.0,1.0,1.0,1.0","0.9,0.9,0.7,0.8,0.4","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","62077,30072,59151,25340,69056","1.0,1.0,1.0,1.0,0.6","210,210,210,210,210","13,13,13,13,13","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","16.97,23.79,16.22,17.18,11.52","11.19,16.95,10.77,13.04,9.08","122,109,116,115,123","50,44,44,46,45","100,100,100,100,100","{-106,-99,-111,-108},{-88,-91,-100,-102},{-109,-107,-106,-109}","{9.37,8.92,-inf,-inf},{10.54,11.03,-inf,-inf},{5.97,6.74,9.66,5.72}",0,{191},4
2025-10-31 20:12:32.867,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","46,48,150,59,46","22,30,46,62,29","1,3,0,0,5","4,11,2,1,4","27,48,32,40,35","6,19,-99,12,70","0.00,0.06,0.00,0.00,0.08","0.00,0.30,0.00,0.00,0.00","26.9,26.4,26.4,26.4,26.1","26.0,26.0,26.0,26.0,26.0","7.9,6.6,7.3,6.1,8.6","150000,150000,-1,150000,157627","1.0,1.0,1.0,1.0,1.0","0.8,0.7,0.9,0.7,0.6","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","22174,30184,17475,31131,22539","1.0,1.0,1.0,0.9,1.0","210,210,210,210,210","13,13,13,13,13","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","21.28,15.60,18.87,13.74,23.08","13.75,10.93,13.28,11.56,17.49","116,115,113,123,114","44,43,47,50,40","100,100,100,100,100","{-98,-91,-107,-101},{-98,-101,-101,-104},{-81,-82,-82,-93}","{10.35,10.31,-inf,-inf},{11.50,15.88,-inf,-inf},{19.42,20.58,-inf,-inf}",0,{191},4
2025-10-31 20:12:33.891,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","186,55,110,17,118","24,58,64,68,21","0,3,0,6,6","5,8,2,5,4","38,67,35,79,42","-99,15,-99,3,-99","0.00,0.07,0.00,0.20,0.13","0.00,0.29,0.00,0.10,0.20","26.4,26.4,26.4,26.4,26.2","26.0,26.0,26.0,26.0,26.0","9.0,7.7,6.7,7.0,10.5","-1,150000,-1,150000,-1","1.0,1.0,1.0,1.0,1.0","0.9,0.7,0.8,0.4,0.7","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","30072,59151,25340,69056,24504","1.0,1.0,1.0,0.6,1.0","210,210,210,210,210","13,13,13,13,13","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","23.79,16.22,17.18,11.52,24.75","16.95,10.77,13.04,9.08,16.67","109,116,115,123,104","44,44,46,45,38","100,100,100,100,100","{-97,-90,-90,-94},{-102,-101,-111,-105},{-94,-104,-97,-100}","{9.76,12.01,-inf,-inf},{10.56,11.35,-inf,-inf},{14.06,14.18,-inf,-inf}",0,{191},4
2025-10-31 20:12:34.919,0,0,0,0,0,"12,12,12,12,12","12,12,12,12,12","48,150,59,46,61","30,46,62,29,28","3,0,0,5,0","11,2,1,4,9","48,32,40,35,41","19,-99,12,70,-99","0.06,0.00,0.00,0.08,0.00","0.30,0.00,0.00,0.00,0.28","26.4,26.4,26.4,26.1,26.4","26.0,26.0,26.0,26.0,26.0","6.6,7.3,6.1,8.6,7.6","150000,-1,150000,157627,-1","1.0,1.0,1.0,1.0,1.0","0.7,0.9,0.7,0.6,0.8","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","-99,-99,-99,-99,-99","-1.00,-1.00,-1.00,-1.00,-1.00","30184,17475,31131,22539,22809","1.0,1.0,0.9,1.0,1.0","210,210,210,210,210","13,13,13,13,13","-1,-1,-1,-1,-1","-1.00,-1.00,-1.00,-1.00,-1.00","15.60,18.87,13.74,23.08,19.29","10.93,13.28,11.56,17.49,12.60","115,113,123,114,113","43,47,50,40,42","100,100,100,100,100","{-101,-102,-100,-101},{-97,-107,-102,-105},{-84,-93,-93,-94}","{13.67,15.18,-inf,-inf},{17.76,11.76,-inf,-inf},{11.57,14.53,-inf,-inf}",0,{191},4
