源标签文件: d:\XFC_files\code\UDP_QoE\data_label\highway\guangdian\meeting_dbad_sgood_2025103106_lag_timeList.txt
卡顿次数: 34 次
总卡顿时间: 124.063 秒 (2分钟4秒62毫秒)

卡顿区间详情:
   1. 22:25:39.868-22:25:40.594 -> 0.726秒
   2. 22:25:41.656-22:25:42.503 -> 0.847秒
   3. 22:25:44.125-22:25:44.927 -> 0.802秒
   4. 22:25:48.364-22:25:49.168 -> 0.804秒
   5. 22:26:13.643-22:26:15.591 -> 1.948秒
   6. 22:29:37.261-22:29:41.889 -> 4.628秒
   7. 22:29:45.008-22:29:48.773 -> 3.765秒
   8. 22:30:28.666-22:30:39.699 -> 11.033秒
   9. 22:31:07.939-22:31:14.869 -> 6.930秒
  10. 22:31:38.928-22:31:40.474 -> 1.546秒
  11. 22:32:04.168-22:32:17.961 -> 13.793秒
  12. 22:32:50.386-22:32:53.563 -> 3.177秒
  13. 22:33:10.930-22:33:15.003 -> 4.073秒
  14. 22:33:31.440-22:33:35.504 -> 4.064秒
  15. 22:33:54.794-22:33:57.397 -> 2.603秒
  16. 22:33:58.497-22:34:03.472 -> 4.975秒
  17. 22:34:18.308-22:34:21.714 -> 3.406秒
  18. 22:35:03.073-22:35:03.598 -> 0.525秒
  19. 22:35:15.359-22:35:17.632 -> 2.273秒
  20. 22:35:35.003-22:35:41.693 -> 6.690秒
  21. 22:36:03.555-22:36:14.130 -> 10.575秒
  22. 22:36:22.164-22:36:26.836 -> 4.672秒
  23. 22:36:39.133-22:36:41.856 -> 2.723秒
  24. 22:36:58.202-22:37:00.972 -> 2.770秒
  25. 22:37:22.536-22:37:27.532 -> 4.996秒
  26. 22:37:43.858-22:37:46.500 -> 2.642秒
  27. 22:37:47.267-22:37:50.336 -> 3.069秒
  28. 22:37:50.729-22:37:52.576 -> 1.847秒
  29. 22:38:23.802-22:38:29.222 -> 5.420秒
  30. 22:38:32.429-22:38:33.676 -> 1.247秒
  31. 22:38:43.599-22:38:46.765 -> 3.166秒
  32. 22:38:47.195-22:38:48.197 -> 1.002秒
  33. 22:41:00.312-22:41:01.273 -> 0.961秒
  34. 22:50:05.431-22:50:05.796 -> 0.365秒
