源标签文件: d:\XFC_files\code\UDP_QoE\data_label\highway\yidong\video_dbad_sgood_2025103105_lag_timeList.txt
卡顿次数: 71 次
总卡顿时间: 142.946 秒 (2分钟22秒946毫秒)

卡顿区间详情:
   1. 22:03:43.431-22:03:44.227 -> 0.796秒
   2. 22:03:45.919-22:03:47.627 -> 1.708秒
   3. 22:04:12.270-22:04:12.951 -> 0.681秒
   4. 22:04:49.916-22:04:50.777 -> 0.861秒
   5. 22:04:54.739-22:04:56.039 -> 1.300秒
   6. 22:05:00.112-22:05:02.866 -> 2.754秒
   7. 22:05:21.543-22:05:22.370 -> 0.827秒
   8. 22:05:29.201-22:05:32.368 -> 3.167秒
   9. 22:05:42.881-22:05:43.611 -> 0.730秒
  10. 22:06:09.063-22:06:10.322 -> 1.259秒
  11. 22:06:46.739-22:06:47.688 -> 0.949秒
  12. 22:07:12.969-22:07:13.925 -> 0.956秒
  13. 22:07:17.745-22:07:21.248 -> 3.503秒
  14. 22:07:28.240-22:07:29.103 -> 0.863秒
  15. 22:07:38.971-22:07:39.884 -> 0.913秒
  16. 22:07:52.059-22:07:53.252 -> 1.193秒
  17. 22:08:12.920-22:08:35.725 -> 22.805秒
  18. 22:08:42.955-22:08:43.619 -> 0.664秒
  19. 22:08:57.086-22:08:58.564 -> 1.478秒
  20. 22:09:07.967-22:09:09.004 -> 1.037秒
  21. 22:09:14.419-22:09:15.598 -> 1.179秒
  22. 22:09:25.301-22:09:28.433 -> 3.132秒
  23. 22:09:38.317-22:09:41.186 -> 2.869秒
  24. 22:09:43.823-22:09:45.498 -> 1.675秒
  25. 22:10:09.576-22:10:10.672 -> 1.096秒
  26. 22:10:13.041-22:10:19.579 -> 6.538秒
  27. 22:10:21.134-22:10:22.114 -> 0.980秒
  28. 22:10:25.379-22:10:28.116 -> 2.737秒
  29. 22:11:22.762-22:11:23.658 -> 0.896秒
  30. 22:11:26.991-22:11:27.885 -> 0.894秒
  31. 22:11:29.825-22:11:32.163 -> 2.338秒
  32. 22:11:32.758-22:11:36.423 -> 3.665秒
  33. 22:12:24.382-22:12:27.617 -> 3.235秒
  34. 22:12:33.967-22:12:36.108 -> 2.141秒
  35. 22:13:04.755-22:13:05.977 -> 1.222秒
  36. 22:13:26.743-22:13:27.340 -> 0.597秒
  37. 22:13:30.805-22:13:35.613 -> 4.808秒
  38. 22:13:56.874-22:13:58.169 -> 1.295秒
  39. 22:14:02.446-22:14:06.344 -> 3.898秒
  40. 22:14:11.271-22:14:14.837 -> 3.566秒
  41. 22:14:25.766-22:14:26.994 -> 1.228秒
  42. 22:14:41.270-22:14:42.447 -> 1.177秒
  43. 22:14:57.438-22:14:58.522 -> 1.084秒
  44. 22:15:58.742-22:15:59.804 -> 1.062秒
  45. 22:16:09.670-22:16:11.049 -> 1.379秒
  46. 22:16:14.746-22:16:15.409 -> 0.663秒
  47. 22:16:30.100-22:16:36.652 -> 6.552秒
  48. 22:17:28.247-22:17:29.773 -> 1.526秒
  49. 22:17:55.543-22:17:58.545 -> 3.002秒
  50. 22:18:06.407-22:18:07.570 -> 1.163秒
  51. 22:18:07.982-22:18:10.704 -> 2.722秒
  52. 22:18:25.385-22:18:27.770 -> 2.385秒
  53. 22:18:36.312-22:18:37.905 -> 1.593秒
  54. 22:18:40.142-22:18:41.003 -> 0.861秒
  55. 22:18:46.940-22:18:48.321 -> 1.381秒
  56. 22:20:21.236-22:20:22.183 -> 0.947秒
  57. 22:20:33.113-22:20:35.004 -> 1.891秒
  58. 22:20:46.147-22:20:47.209 -> 1.062秒
  59. 22:21:24.078-22:21:25.175 -> 1.097秒
  60. 22:23:40.336-22:23:42.376 -> 2.040秒
  61. 22:28:46.183-22:28:47.974 -> 1.791秒
  62. 22:30:37.318-22:30:38.610 -> 1.292秒
  63. 22:30:55.209-22:30:55.707 -> 0.498秒
  64. 22:31:47.207-22:31:47.871 -> 0.664秒
  65. 22:31:50.243-22:31:51.103 -> 0.860秒
  66. 22:32:02.978-22:32:03.610 -> 0.632秒
  67. 22:32:11.621-22:32:12.486 -> 0.865秒
  68. 22:33:00.583-22:33:01.910 -> 1.327秒
  69. 22:33:04.349-22:33:05.043 -> 0.694秒
  70. 22:33:32.707-22:33:33.885 -> 1.178秒
  71. 22:33:43.888-22:33:45.013 -> 1.125秒
