源标签文件: d:\XFC_files\code\UDP_QoE\data_label\highway\guangdian\video_dbad_sgood_2025110205_lag_timeList.txt
卡顿次数: 19 次
总卡顿时间: 18.214 秒 (18秒213毫秒)

卡顿区间详情:
   1. 14:07:24.728-14:07:25.687 -> 0.959秒
   2. 14:07:30.692-14:07:31.384 -> 0.692秒
   3. 14:09:25.284-14:09:26.142 -> 0.858秒
   4. 14:09:43.270-14:09:44.024 -> 0.754秒
   5. 14:10:59.131-14:11:00.085 -> 0.954秒
   6. 14:14:04.567-14:14:05.324 -> 0.757秒
   7. 14:15:44.436-14:15:45.106 -> 0.670秒
   8. 14:22:38.501-14:22:39.097 -> 0.596秒
   9. 14:22:46.323-14:22:47.137 -> 0.814秒
  10. 14:24:59.982-14:25:00.996 -> 1.014秒
  11. 14:27:13.296-14:27:14.017 -> 0.721秒
  12. 14:32:05.585-14:32:06.434 -> 0.849秒
  13. 14:32:48.460-14:32:52.360 -> 3.900秒
  14. 14:35:01.600-14:35:02.355 -> 0.755秒
  15. 14:36:13.821-14:36:14.430 -> 0.609秒
  16. 14:36:45.525-14:36:46.463 -> 0.938秒
  17. 14:38:29.521-14:38:30.239 -> 0.718秒
  18. 14:40:11.159-14:40:12.047 -> 0.888秒
  19. 14:40:49.073-14:40:49.841 -> 0.768秒
