源标签文件: d:\XFC_files\code\UDP_QoE\data_label\highway\yidong\meeting_dbad_sgood_2025110204_lag_timeList.txt
卡顿次数: 22 次
总卡顿时间: 26.450 秒 (26秒450毫秒)

卡顿区间详情:
   1. 11:38:03.487-11:38:05.008 -> 1.521秒
   2. 11:38:42.072-11:38:42.962 -> 0.890秒
   3. 11:40:11.802-11:40:12.318 -> 0.516秒
   4. 11:40:27.948-11:40:28.408 -> 0.460秒
   5. 11:42:38.888-11:42:40.372 -> 1.484秒
   6. 11:43:34.617-11:43:37.529 -> 2.912秒
   7. 11:43:57.252-11:43:59.189 -> 1.937秒
   8. 11:46:55.828-11:46:56.656 -> 0.828秒
   9. 11:47:03.214-11:47:04.010 -> 0.796秒
  10. 11:47:07.679-11:47:09.312 -> 1.633秒
  11. 11:48:21.942-11:48:22.727 -> 0.785秒
  12. 11:48:24.597-11:48:27.229 -> 2.632秒
  13. 11:48:47.527-11:48:48.960 -> 1.433秒
  14. 11:48:56.228-11:48:56.643 -> 0.415秒
  15. 11:49:01.721-11:49:02.740 -> 1.019秒
  16. 11:49:27.705-11:49:28.123 -> 0.418秒
  17. 11:49:41.466-11:49:42.272 -> 0.806秒
  18. 11:50:46.627-11:50:47.478 -> 0.851秒
  19. 11:51:26.990-11:51:28.586 -> 1.596秒
  20. 11:51:29.092-11:51:29.789 -> 0.697秒
  21. 11:51:58.965-11:51:59.398 -> 0.433秒
  22. 11:52:53.599-11:52:55.987 -> 2.388秒
