源标签文件: d:\XFC_files\code\UDP_QoE\data_label\highway\yidong\video_dbad_sgood_2025103101_lag_timeList.txt
卡顿次数: 67 次
总卡顿时间: 167.062 秒 (2分钟47秒61毫秒)

卡顿区间详情:
   1. 20:12:41.427-20:12:45.072 -> 3.645秒
   2. 20:12:46.134-20:12:54.715 -> 8.581秒
   3. 20:12:59.033-20:12:59.764 -> 0.731秒
   4. 20:13:18.739-20:13:22.944 -> 4.205秒
   5. 20:13:27.191-20:13:31.288 -> 4.097秒
   6. 20:13:53.890-20:13:56.923 -> 3.033秒
   7. 20:14:03.522-20:14:09.723 -> 6.201秒
   8. 20:14:15.476-20:14:16.174 -> 0.698秒
   9. 20:14:21.015-20:14:32.659 -> 11.644秒
  10. 20:14:41.380-20:14:43.253 -> 1.873秒
  11. 20:14:48.643-20:14:52.491 -> 3.848秒
  12. 20:15:07.349-20:15:08.412 -> 1.063秒
  13. 20:15:30.115-20:15:31.593 -> 1.478秒
  14. 20:15:41.256-20:15:44.356 -> 3.100秒
  15. 20:15:45.853-20:15:48.717 -> 2.864秒
  16. 20:16:08.150-20:16:09.957 -> 1.807秒
  17. 20:16:42.722-20:16:43.949 -> 1.227秒
  18. 20:16:46.924-20:16:48.078 -> 1.154秒
  19. 20:17:17.942-20:17:19.020 -> 1.078秒
  20. 20:17:36.079-20:17:36.855 -> 0.776秒
  21. 20:17:41.059-20:17:42.348 -> 1.289秒
  22. 20:17:47.587-20:17:48.619 -> 1.032秒
  23. 20:18:20.979-20:18:22.354 -> 1.375秒
  24. 20:18:27.145-20:18:35.086 -> 7.941秒
  25. 20:18:55.777-20:18:56.390 -> 0.613秒
  26. 20:19:30.528-20:19:34.903 -> 4.375秒
  27. 20:19:36.331-20:19:43.408 -> 7.077秒
  28. 20:20:29.731-20:20:34.657 -> 4.926秒
  29. 20:20:39.458-20:20:43.187 -> 3.729秒
  30. 20:21:06.557-20:21:07.519 -> 0.962秒
  31. 20:21:39.191-20:21:43.520 -> 4.329秒
  32. 20:22:13.984-20:22:17.654 -> 3.670秒
  33. 20:22:19.622-20:22:20.649 -> 1.027秒
  34. 20:22:56.288-20:23:00.284 -> 3.996秒
  35. 20:23:15.451-20:23:16.049 -> 0.598秒
  36. 20:23:20.956-20:23:21.621 -> 0.665秒
  37. 20:23:27.457-20:23:30.145 -> 2.688秒
  38. 20:23:32.980-20:23:34.025 -> 1.045秒
  39. 20:24:18.280-20:24:18.909 -> 0.629秒
  40. 20:25:05.580-20:25:06.476 -> 0.896秒
  41. 20:25:34.942-20:25:40.545 -> 5.603秒
  42. 20:26:04.122-20:26:07.358 -> 3.236秒
  43. 20:26:11.719-20:26:14.355 -> 2.636秒
  44. 20:26:27.884-20:26:28.746 -> 0.862秒
  45. 20:26:34.813-20:26:35.675 -> 0.862秒
  46. 20:27:11.918-20:27:13.012 -> 1.094秒
  47. 20:27:51.656-20:27:54.154 -> 2.498秒
  48. 20:29:03.480-20:29:04.953 -> 1.473秒
  49. 20:31:07.002-20:31:08.677 -> 1.675秒
  50. 20:31:10.352-20:31:11.480 -> 1.128秒
  51. 20:32:16.503-20:32:17.599 -> 1.096秒
  52. 20:32:59.498-20:33:03.929 -> 4.431秒
  53. 20:33:18.634-20:33:19.663 -> 1.029秒
  54. 20:35:36.385-20:35:40.153 -> 3.768秒
  55. 20:35:41.712-20:35:44.477 -> 2.765秒
  56. 20:35:47.280-20:35:48.689 -> 1.409秒
  57. 20:35:49.452-20:35:52.984 -> 3.532秒
  58. 20:35:55.753-20:35:57.246 -> 1.493秒
  59. 20:37:06.946-20:37:08.419 -> 1.473秒
  60. 20:37:41.389-20:37:42.682 -> 1.293秒
  61. 20:38:22.076-20:38:22.623 -> 0.547秒
  62. 20:41:56.654-20:41:58.264 -> 1.610秒
  63. 20:42:13.314-20:42:14.754 -> 1.440秒
  64. 20:42:34.881-20:42:35.826 -> 0.945秒
  65. 20:42:44.881-20:42:46.157 -> 1.276秒
  66. 20:42:49.592-20:42:50.418 -> 0.826秒
  67. 20:42:53.585-20:42:54.682 -> 1.097秒
