源标签文件: D:\XFC_files\code\UDP2026\data_label\highway\guangdian\gaming_sbad_sgood_2026013007_lag_timeList.txt
卡顿次数: 22 次
总卡顿时间: 37.232 秒 (37秒231毫秒)

卡顿区间详情:
   1. 14:46:53.631-14:46:55.628 -> 1.997秒
   2. 14:47:04.753-14:47:05.762 -> 1.009秒
   3. 14:47:51.043-14:47:52.038 -> 0.995秒
   4. 14:48:19.263-14:48:20.255 -> 0.992秒
   5. 14:48:24.337-14:48:28.331 -> 3.994秒
   6. 14:49:23.743-14:49:25.763 -> 2.020秒
   7. 14:49:37.825-14:49:38.855 -> 1.030秒
   8. 14:49:40.840-14:49:41.911 -> 1.071秒
   9. 14:49:48.960-14:49:49.963 -> 1.003秒
  10. 14:50:28.213-14:50:29.202 -> 0.989秒
  11. 14:51:04.447-14:51:09.555 -> 5.108秒
  12. 14:51:18.607-14:51:19.566 -> 0.959秒
  13. 14:51:23.611-14:51:24.630 -> 1.019秒
  14. 14:51:52.769-14:51:53.799 -> 1.030秒
  15. 14:52:21.044-14:52:22.047 -> 1.003秒
  16. 14:53:03.350-14:53:06.423 -> 3.073秒
  17. 14:53:43.752-14:53:44.736 -> 0.984秒
  18. 14:53:45.752-14:53:46.747 -> 0.995秒
  19. 14:54:04.864-14:54:05.823 -> 0.959秒
  20. 14:55:43.632-14:55:45.612 -> 1.980秒
  21. 14:56:47.154-14:56:50.155 -> 3.001秒
  22. 14:57:09.342-14:57:11.363 -> 2.021秒
