源标签文件: D:\XFC_files\code\UDP2026\data_label\normal\video_sbad_sgood_2025122301_lag_timeList.txt
卡顿次数: 24 次
总卡顿时间: 109.251 秒 (1分钟49秒251毫秒)

卡顿区间详情:
   1. 00:07:26.551-00:07:41.261 -> 14.710秒
   2. 00:08:21.193-00:08:32.806 -> 11.613秒
   3. 00:09:10.512-00:09:16.174 -> 5.662秒
   4. 00:09:57.357-00:10:02.577 -> 5.220秒
   5. 00:10:09.412-00:10:10.551 -> 1.139秒
   6. 00:10:13.241-00:10:15.172 -> 1.931秒
   7. 00:10:24.947-00:10:25.724 -> 0.777秒
   8. 00:11:00.104-00:11:00.863 -> 0.759秒
   9. 00:12:07.486-00:12:11.321 -> 3.835秒
  10. 00:13:07.396-00:13:09.130 -> 1.734秒
  11. 00:13:21.281-00:13:22.567 -> 1.286秒
  12. 00:13:23.721-00:13:26.789 -> 3.068秒
  13. 00:13:50.911-00:13:52.311 -> 1.400秒
  14. 00:13:54.207-00:13:58.104 -> 3.897秒
  15. 00:14:13.717-00:14:14.282 -> 0.565秒
  16. 00:14:26.365-00:14:27.141 -> 0.776秒
  17. 00:15:05.883-00:15:09.081 -> 3.198秒
  18. 00:15:41.051-00:15:45.117 -> 4.066秒
  19. 00:15:57.822-00:15:59.061 -> 1.239秒
  20. 00:16:07.922-00:16:09.792 -> 1.870秒
  21. 00:16:10.513-00:16:16.589 -> 6.076秒
  22. 00:19:36.191-00:19:38.451 -> 2.260秒
  23. 00:22:33.161-00:22:34.304 -> 1.143秒
  24. 00:23:10.970-00:23:41.997 -> 31.027秒
