源标签文件: d:\XFC_files\code\UDP_QoE\data_label\highway\guangdian\meeting_dbad_sgood_2025103104_lag_timeList.txt
卡顿次数: 82 次
总卡顿时间: 503.805 秒 (8分钟23秒805毫秒)

卡顿区间详情:
   1. 21:44:07.781-21:44:09.628 -> 1.847秒
   2. 21:44:23.251-21:44:24.012 -> 0.761秒
   3. 21:44:39.978-21:45:11.224 -> 31.246秒
   4. 21:45:22.395-21:45:40.014 -> 17.619秒
   5. 21:45:48.128-21:45:55.073 -> 6.945秒
   6. 21:45:56.383-21:45:57.419 -> 1.036秒
   7. 21:46:02.079-21:46:07.058 -> 4.979秒
   8. 21:46:11.226-21:46:13.924 -> 2.698秒
   9. 21:46:16.415-21:46:19.351 -> 2.936秒
  10. 21:47:23.455-21:47:26.326 -> 2.871秒
  11. 21:48:55.487-21:48:56.849 -> 1.362秒
  12. 21:48:59.090-21:48:59.914 -> 0.824秒
  13. 21:49:17.919-21:49:18.742 -> 0.823秒
  14. 21:50:17.774-21:50:21.833 -> 4.059秒
  15. 21:50:45.341-21:50:45.757 -> 0.416秒
  16. 21:52:13.760-21:52:21.159 -> 7.399秒
  17. 21:52:22.048-21:52:23.788 -> 1.740秒
  18. 21:52:26.780-21:52:32.224 -> 5.444秒
  19. 21:52:34.074-21:52:35.030 -> 0.956秒
  20. 21:52:35.657-21:52:41.313 -> 5.656秒
  21. 21:52:49.892-21:52:54.115 -> 4.223秒
  22. 21:52:55.989-21:53:00.527 -> 4.538秒
  23. 21:53:03.431-21:53:05.976 -> 2.545秒
  24. 21:53:11.650-21:53:13.862 -> 2.212秒
  25. 21:53:19.488-21:53:26.586 -> 7.098秒
  26. 21:53:29.055-21:53:29.886 -> 0.831秒
  27. 21:53:41.213-21:53:42.561 -> 1.348秒
  28. 21:53:57.090-21:54:02.176 -> 5.086秒
  29. 21:54:35.814-21:54:40.768 -> 4.954秒
  30. 21:55:09.521-21:55:10.948 -> 1.427秒
  31. 21:59:27.922-21:59:33.288 -> 5.366秒
  32. 22:01:55.495-22:02:01.559 -> 6.064秒
  33. 22:02:28.190-22:02:29.787 -> 1.597秒
  34. 22:02:41.223-22:02:44.080 -> 2.857秒
  35. 22:02:44.722-22:02:47.656 -> 2.934秒
  36. 22:02:50.667-22:02:51.626 -> 0.959秒
  37. 22:02:54.894-22:02:55.527 -> 0.633秒
  38. 22:03:11.295-22:03:15.583 -> 4.288秒
  39. 22:03:25.817-22:03:26.919 -> 1.102秒
  40. 22:03:35.591-22:03:36.621 -> 1.030秒
  41. 22:03:37.185-22:03:38.728 -> 1.543秒
  42. 22:03:47.418-22:03:52.320 -> 4.902秒
  43. 22:03:53.554-22:04:03.987 -> 10.433秒
  44. 22:04:06.616-22:04:10.671 -> 4.055秒
  45. 22:04:27.415-22:04:53.584 -> 26.169秒
  46. 22:04:54.749-22:04:55.763 -> 1.014秒
  47. 22:05:00.988-22:05:11.717 -> 10.729秒
  48. 22:05:19.493-22:05:22.729 -> 3.236秒
  49. 22:05:29.822-22:05:40.518 -> 10.696秒
  50. 22:06:02.079-22:06:08.017 -> 5.938秒
  51. 22:06:18.484-22:06:28.556 -> 10.072秒
  52. 22:06:36.986-22:06:38.826 -> 1.840秒
  53. 22:07:13.291-22:07:17.621 -> 4.330秒
  54. 22:07:30.757-22:07:31.919 -> 1.162秒
  55. 22:07:33.294-22:07:36.301 -> 3.007秒
  56. 22:08:11.962-22:08:19.888 -> 7.926秒
  57. 22:08:27.655-22:08:32.112 -> 4.457秒
  58. 22:08:40.625-22:08:42.492 -> 1.867秒
  59. 22:08:45.684-22:08:55.583 -> 9.899秒
  60. 22:09:09.057-22:09:12.520 -> 3.463秒
  61. 22:09:31.214-22:09:34.222 -> 3.008秒
  62. 22:10:14.494-22:10:16.645 -> 2.151秒
  63. 22:10:32.886-22:10:41.202 -> 8.316秒
  64. 22:10:42.410-22:10:52.077 -> 9.667秒
  65. 22:10:55.925-22:11:04.983 -> 9.058秒
  66. 22:11:06.793-22:12:55.121 -> 108.328秒
  67. 22:13:19.653-22:13:23.880 -> 4.227秒
  68. 22:13:25.956-22:13:28.778 -> 2.822秒
  69. 22:14:38.984-22:14:42.920 -> 3.936秒
  70. 22:15:01.121-22:15:07.324 -> 6.203秒
  71. 22:15:22.723-22:15:28.922 -> 6.199秒
  72. 22:15:46.257-22:15:50.453 -> 4.196秒
  73. 22:16:08.824-22:16:12.123 -> 3.299秒
  74. 22:16:26.920-22:16:34.684 -> 7.764秒
  75. 22:16:57.420-22:17:03.663 -> 6.243秒
  76. 22:17:26.449-22:17:28.061 -> 1.612秒
  77. 22:17:31.180-22:17:33.852 -> 2.672秒
  78. 22:17:49.082-22:17:50.531 -> 1.449秒
  79. 22:17:51.158-22:17:56.847 -> 5.689秒
  80. 22:18:16.535-22:18:24.163 -> 7.628秒
  81. 22:18:26.615-22:18:33.945 -> 7.330秒
  82. 22:18:48.932-22:18:51.493 -> 2.561秒
