源标签文件: d:\XFC_files\code\UDP_QoE\data_label\highway\guangdian\video_dbad_sgood_2025103102_lag_timeList.txt
卡顿次数: 80 次
总卡顿时间: 299.145 秒 (4分钟59秒144毫秒)

卡顿区间详情:
   1. 20:12:29.946-20:12:48.573 -> 18.627秒
   2. 20:12:52.282-20:12:53.439 -> 1.157秒
   3. 20:12:54.436-20:12:55.389 -> 0.953秒
   4. 20:13:13.516-20:13:13.982 -> 0.466秒
   5. 20:13:23.585-20:13:24.377 -> 0.792秒
   6. 20:14:00.976-20:14:01.653 -> 0.677秒
   7. 20:14:02.753-20:14:07.515 -> 4.762秒
   8. 20:14:09.345-20:14:11.915 -> 2.570秒
   9. 20:14:15.856-20:14:16.746 -> 0.890秒
  10. 20:14:18.672-20:14:24.518 -> 5.846秒
  11. 20:14:22.506-20:14:35.343 -> 12.837秒
  12. 20:14:52.552-20:14:54.506 -> 1.954秒
  13. 20:14:58.937-20:14:59.485 -> 0.548秒
  14. 20:15:29.978-20:15:30.953 -> 0.975秒
  15. 20:15:32.479-20:15:45.786 -> 13.307秒
  16. 20:15:48.726-20:15:49.449 -> 0.723秒
  17. 20:15:57.769-20:15:59.712 -> 1.943秒
  18. 20:16:01.511-20:16:03.083 -> 1.572秒
  19. 20:16:22.048-20:16:22.779 -> 0.731秒
  20. 20:16:27.838-20:16:37.719 -> 9.881秒
  21. 20:16:39.618-20:16:40.208 -> 0.590秒
  22. 20:16:41.177-20:16:42.717 -> 1.540秒
  23. 20:16:43.845-20:16:44.515 -> 0.670秒
  24. 20:16:46.253-20:16:49.149 -> 2.896秒
  25. 20:16:50.343-20:17:00.488 -> 10.145秒
  26. 20:17:02.640-20:17:10.350 -> 7.710秒
  27. 20:17:14.643-20:17:40.216 -> 25.573秒
  28. 20:17:46.145-20:17:49.881 -> 3.736秒
  29. 20:17:50.478-20:17:51.847 -> 1.369秒
  30. 20:17:53.823-20:18:08.711 -> 14.888秒
  31. 20:18:14.047-20:18:24.452 -> 10.405秒
  32. 20:18:57.349-20:18:58.113 -> 0.764秒
  33. 20:19:36.784-20:19:42.439 -> 5.655秒
  34. 20:20:29.955-20:20:32.340 -> 2.385秒
  35. 20:20:39.478-20:20:41.006 -> 1.528秒
  36. 20:21:05.382-20:21:10.107 -> 4.725秒
  37. 20:21:17.250-20:21:22.813 -> 5.563秒
  38. 20:21:46.020-20:21:48.345 -> 2.325秒
  39. 20:21:53.540-20:21:54.278 -> 0.738秒
  40. 20:21:56.312-20:22:01.217 -> 4.905秒
  41. 20:22:03.855-20:22:14.117 -> 10.262秒
  42. 20:22:03.855-20:22:14.117 -> 10.262秒
  43. 20:22:37.112-20:22:38.026 -> 0.914秒
  44. 20:22:45.213-20:22:48.179 -> 2.966秒
  45. 20:22:56.612-20:23:05.116 -> 8.504秒
  46. 20:23:10.778-20:23:13.843 -> 3.065秒
  47. 20:23:23.279-20:23:25.813 -> 2.534秒
  48. 20:23:41.753-20:23:42.585 -> 0.832秒
  49. 20:23:51.149-20:23:56.303 -> 5.154秒
  50. 20:24:22.490-20:24:23.346 -> 0.856秒
  51. 20:25:04.143-20:25:05.139 -> 0.996秒
  52. 20:25:27.748-20:25:29.275 -> 1.527秒
  53. 20:25:33.807-20:25:38.659 -> 4.852秒
  54. 20:25:43.882-20:25:46.372 -> 2.490秒
  55. 20:28:39.755-20:28:40.685 -> 0.930秒
  56. 20:30:39.793-20:30:40.823 -> 1.030秒
  57. 20:30:50.080-20:30:56.482 -> 6.402秒
  58. 20:32:11.426-20:32:12.217 -> 0.791秒
  59. 20:32:17.047-20:32:18.674 -> 1.627秒
  60. 20:32:20.151-20:32:22.410 -> 2.259秒
  61. 20:32:39.593-20:32:40.118 -> 0.525秒
  62. 20:32:59.813-20:33:04.056 -> 4.243秒
  63. 20:33:11.486-20:33:12.023 -> 0.537秒
  64. 20:33:18.211-20:33:20.321 -> 2.110秒
  65. 20:34:07.275-20:34:07.917 -> 0.642秒
  66. 20:34:19.919-20:34:20.952 -> 1.033秒
  67. 20:34:32.621-20:34:33.645 -> 1.024秒
  68. 20:34:41.412-20:34:42.244 -> 0.832秒
  69. 20:35:47.209-20:35:50.512 -> 3.303秒
  70. 20:36:16.528-20:36:17.589 -> 1.061秒
  71. 20:36:19.642-20:36:20.255 -> 0.613秒
  72. 20:36:25.192-20:36:33.953 -> 8.761秒
  73. 20:37:00.578-20:37:01.424 -> 0.846秒
  74. 20:37:41.389-20:37:48.343 -> 6.954秒
  75. 20:37:49.985-20:37:51.213 -> 1.228秒
  76. 20:37:52.209-20:37:53.229 -> 1.020秒
  77. 20:40:47.621-20:40:48.219 -> 0.598秒
  78. 20:41:07.705-20:41:09.381 -> 1.676秒
  79. 20:42:20.188-20:42:22.123 -> 1.935秒
  80. 20:43:16.947-20:43:19.577 -> 2.630秒
