rank,ip,count,rate,percent,burst_rate,burst_start
1,10.36.140.211,684210,0.2422,100.00%,4.6200,1008.535
2,120.221.179.107,678354,0.2401,99.14%,4.6200,1008.535
3,117.185.255.124,4082,0.0014,0.60%,0.0600,13.355
4,81.69.216.91,1298,0.0005,0.19%,0.3300,14.250
5,183.214.54.179,102,0.0000,0.01%,0.0400,2698.340
6,120.223.250.182,101,0.0000,0.01%,0.0400,2704.724
7,36.158.247.102,98,0.0000,0.01%,0.0500,2690.429
8,124.223.125.67,95,0.0000,0.01%,0.4700,14.702
9,52.231.114.183,76,0.0000,0.01%,0.0100,0.892
10,120.221.180.28,2,0.0000,0.00%,0.0200,12.705
