rank,ip,count,rate,percent,burst_rate,burst_start
1,10.2.120.84,87,0.0001,100.00%,0.1900,221.140
2,223.160.117.176,36,0.0000,41.38%,0.1800,221.141
3,42.81.196.43,22,0.0000,25.29%,0.0100,222.516
4,239.255.255.250,4,0.0000,4.60%,0.0200,220.314
5,113.108.26.253,4,0.0000,4.60%,0.0100,222.843
6,60.29.240.175,2,0.0000,2.30%,0.0100,222.517
7,183.232.86.34,2,0.0000,2.30%,0.0100,222.519
8,183.192.197.105,2,0.0000,2.30%,0.0200,220.197
9,111.6.246.29,2,0.0000,2.30%,0.0100,1455.951
10,111.6.246.27,2,0.0000,2.30%,0.0100,1455.750
