rank,ip,count,rate,percent,burst_rate,burst_start
1,240a:42c4:1800:1fe7:6043:fff:fefc:2f48,4775,0.0034,99.87%,1.3500,30.666
2,2409:8080:2000:3::1,2886,0.0021,60.36%,0.3400,27.089
3,2409:8c38:80:1f1:3b::3,381,0.0003,7.97%,0.8400,29.890
4,2409:8c54:871:2::32,242,0.0002,5.06%,0.3300,49.110
5,2409:8c02:248:101::29,236,0.0002,4.94%,0.4700,28.441
6,2409:8c18:700:3014:5e::a,231,0.0002,4.83%,1.3500,30.666
7,2409:8c04:1006:3003::1e,85,0.0001,1.78%,0.1100,858.886
8,2402:4e00:1620:1500:0:992c:3061:d277,70,0.0000,1.46%,0.3300,26.442
9,2409:8c04:100a:3091:0:ff:b072:929,57,0.0000,1.19%,0.1000,955.599
10,2409:8702:4860:106::63,43,0.0000,0.90%,0.1100,11.495
