addr_a,addr_b,frames_a,bytes_a,frames_b,bytes_b,frames_total,bytes_total,rel_start,duration
10.47.26.248:43977,36.155.209.54:11589,22580,5349 kB,21557,2548 kB,44137,7898 kB,529.284331000,1004.3658
10.47.26.248:46057,36.155.209.54:11589,4610,1001 kB,7306,830 kB,11916,1831 kB,99.545271000,430.0033
10.47.26.248:50856,120.222.225.148:80,818,89 kB,777,109 kB,1595,198 kB,530.381783000,997.5099
10.47.26.248:57372,120.222.225.139:16285,306,42 kB,279,39 kB,585,81 kB,100.021936000,429.7075
10.47.26.248:60714,36.155.220.20:11589,454,36 kB,5,430 bytes,459,36 kB,529.284181000,89.9824
10.47.26.248:36051,180.110.152.15:11589,452,36 kB,6,516 bytes,458,36 kB,529.284224000,89.9734
10.47.26.248:44814,112.80.250.116:11589,452,36 kB,5,430 bytes,457,36 kB,529.283981000,89.9826
10.47.26.248:51651,36.155.209.54:11589,451,36 kB,5,430 bytes,456,36 kB,529.283359000,89.9714
10.47.26.248:44644,36.155.209.54:11589,451,36 kB,5,430 bytes,456,36 kB,529.283522000,89.9741
10.47.26.248:39591,221.181.81.139:17005,182,11 kB,219,75 kB,401,87 kB,43.406334000,1515.1239
