addr_a,addr_b,frames_a,bytes_a,frames_b,bytes_b,frames_total,bytes_total,rel_start,duration
10.78.12.4:35050,183.215.49.33:443,250159,73 MB,325096,178 MB,575255,251 MB,15.809073000,1823.7309
10.78.12.4:48685,117.185.255.89:8000,972,101 kB,1837,195 kB,2809,297 kB,15.446129000,1838.8517
10.78.12.4:49046,81.69.145.161:443,251,42 kB,248,33 kB,499,75 kB,539.776728000,1350.4213
10.78.12.4:53724,81.69.145.161:443,206,78 kB,195,36 kB,401,114 kB,10.685473000,530.3548
10.78.12.4:60008,106.55.117.183:443,102,84 kB,94,58 kB,196,143 kB,10.915112000,0.7880
10.78.12.4:40615,36.158.247.102:8003,50,39 kB,50,39 kB,100,79 kB,1829.200733000,5.2179
10.78.12.4:36126,36.158.247.110:8002,50,39 kB,50,39 kB,100,79 kB,1835.648384000,6.1697
10.78.12.4:56692,27.151.22.164:443,50,39 kB,50,39 kB,100,79 kB,1843.493878000,7.1774
10.78.12.4:38824,106.55.117.183:443,45,70 kB,54,26 kB,99,96 kB,16.260262000,0.4265
10.78.12.4:46251,124.223.125.213:443,45,57 kB,46,18 kB,91,75 kB,11.831490000,94.7020
