addr_a,addr_b,frames_a,bytes_a,frames_b,bytes_b,frames_total,bytes_total,rel_start,duration
240a:42b8:a220:10da:6059:3cff:fe36:e7f0:33626,240a:42c4:1801:dbff:9464:2bff:fe0f:3ec4:39652,122451,275 MB,245616,192 MB,368067,468 MB,0.000000000,1790.9670
240a:42b8:a220:10da:6059:3cff:fe36:e7f0:49461,2409:8c50:a00:2051:2d:::8000,41752,10 MB,106265,30 MB,148017,40 MB,0.002605000,1790.9793
240a:42b8:a220:10da:6059:3cff:fe36:e7f0:47911,2409:803c:2000:4::131:53,2,224 bytes,2,224 bytes,4,448 bytes,263.607046000,633.0764
240a:42b8:a220:10da:6059:3cff:fe36:e7f0:24168,2409:803c:2000:4::131:53,2,223 bytes,2,223 bytes,4,446 bytes,280.322113000,1157.3643
240a:42b8:a220:10da:6059:3cff:fe36:e7f0:33338,2409:803c:2000:4::131:53,2,223 bytes,2,223 bytes,4,446 bytes,295.999513000,1070.7869
240a:42b8:a220:10da:6059:3cff:fe36:e7f0:24707,2409:803c:2000:4::131:53,2,224 bytes,2,224 bytes,4,448 bytes,349.344809000,477.3287
240a:42b8:a220:10da:6059:3cff:fe36:e7f0:27170,2409:803c:2000:4::131:53,2,224 bytes,2,224 bytes,4,448 bytes,403.727019000,50.2084
240a:42b8:a220:10da:6059:3cff:fe36:e7f0:21348,2409:803c:2000:4::131:53,2,223 bytes,2,223 bytes,4,446 bytes,439.248892000,1031.7723
240a:42b8:a220:10da:6059:3cff:fe36:e7f0:25226,2409:803c:2000:4::131:53,2,223 bytes,2,223 bytes,4,446 bytes,560.513708000,878.2097
240a:42b8:a220:10da:6059:3cff:fe36:e7f0:50949,2409:803c:2000:4::131:53,2,223 bytes,2,223 bytes,4,446 bytes,602.273573000,956.3674
