curTime_of_UTC8,num_send_packets,avg_send_packetLen,send_dataStream,avg_send_packetInterval,num_recv_packets,avg_recv_packetLen,recv_dataStream,avg_recv_packetInterval,label,mn_u_r_mean,mn_d_r_mean,mn_u_m_mean,mn_d_m_mean,mn_d_g_mean,mn_u_g_mean,mn_u_b_mean,mn_d_b_mean,mn_cqi_mean,mn_mac_mean,mn_bandwidth_mean,rsrp_1_mean,snr_1_mean
2026-01-30 13:19:13,4,122.5,490,0.2323276996612548,19,120.21052631578948,2284,0.0522091137735467,0,4.0,15.4,19.6,0.2,3.2,18.2,0.118,0.0,9.38,38.8,100.0,-91.66666666666669,14.659999999999998
2026-01-30 13:19:14,4,124.0,496,0.2565842866897583,19,100.3157894736842,1906,0.0530506811643901,0,4.0,16.4,18.6,0.4,5.0,14.2,0.07,0.0,9.86,199.8,100.0,-85.66666666666667,15.339999999999998
2026-01-30 13:19:15,4,124.0,496,0.2630289793014526,18,105.83333333333331,1905,0.0538596577114529,0,4.0,16.4,17.4,0.2,4.8,21.2,0.078,0.0,8.440000000000001,199.8,100.0,-95.66666666666669,5.843333333333334
2026-01-30 13:19:16,6,113.0,678,0.1682806809743245,21,101.28571428571428,2127,0.0473547208876836,0,4.0,15.6,18.8,0.2,3.4,17.2,0.138,0.0,9.14,38.8,100.0,-96.33333333333331,10.406666666666666
2026-01-30 13:19:17,33,123.36363636363636,4071,0.0301633603645093,30,127.63333333333334,3829,0.0350459337234497,0,4.0,16.6,16.6,0.8,5.0,21.4,0.08,0.0419999999999999,8.32,199.8,100.0,-99.33333333333331,7.556666666666666
2026-01-30 13:19:18,16,111.0625,1777,0.055852010846138,18,205.77777777777777,3704,0.05522088209788,0,4.2,17.2,16.2,2.2,5.4,12.0,0.132,0.078,9.4,86.0,100.0,-100.66666666666669,11.410000000000002
2026-01-30 13:19:19,12,113.0,1356,0.086251159509023,17,231.58823529411765,3937,0.0582356452941894,0,4.0,16.0,15.2,1.4,5.2,20.2,0.066,0.0419999999999999,8.879999999999999,206.2,100.0,-99.33333333333331,7.956666666666667
2026-01-30 13:19:20,21,110.57142857142856,2322,0.047353188196818,18,255.0555555555556,4591,0.0550257232454088,0,4.2,17.2,16.2,2.2,5.4,12.0,0.132,0.078,9.4,86.0,100.0,-100.66666666666669,11.410000000000002
2026-01-30 13:19:21,26,110.26923076923076,2867,0.0411733113802396,20,234.9,4698,0.049321448802948,0,4.0,16.0,15.2,1.4,5.2,20.2,0.066,0.0419999999999999,8.879999999999999,206.2,100.0,-99.33333333333331,7.956666666666667
2026-01-30 13:19:23,15,113.0,1695,0.0661739349365234,17,207.8823529411765,3534,0.0583519374623018,0,4.0,16.2,13.6,2.0,7.8,22.4,0.09,0.046,9.12,61.4,100.0,-102.66666666666669,8.38
2026-01-30 13:19:24,12,111.75,1341,0.0865455071131388,19,207.1578947368421,3936,0.0555239978589509,0,4.2,17.0,12.8,2.8,8.0,10.6,0.072,0.078,9.48,79.0,100.0,-94.33333333333331,10.54
2026-01-30 13:19:25,9,114.33333333333331,1029,0.1002302169799804,17,189.35294117647047,3219,0.058385596555822,0,4.2,16.8,12.8,3.0,8.4,9.8,0.072,0.078,9.66,79.0,100.0,-106.33333333333331,7.093333333333333
2026-01-30 13:19:26,12,113.0,1356,0.0867115060488383,19,188.0,3572,0.051991676029406,0,4.2,17.0,12.8,2.8,8.0,10.6,0.072,0.078,9.48,79.0,100.0,-94.33333333333331,10.54
2026-01-30 13:19:27,19,111.52631578947368,2119,0.0557786790948165,18,191.0,3438,0.0549931128819783,0,4.0,16.2,14.2,1.8,8.8,16.8,0.11,0.004,9.92,90.0,100.0,-102.66666666666669,7.81
2026-01-30 13:19:28,12,112.91666666666669,1355,0.074102501074473,17,196.1176470588236,3334,0.0581221720751594,0,4.0,15.4,14.2,1.6,7.4,12.2,0.064,0.008,9.68,118.2,100.0,-99.0,9.15
2026-01-30 13:19:29,17,111.82352941176472,1901,0.0647716522216796,17,190.05882352941177,3231,0.0582262487972483,0,4.0,16.0,16.6,1.6,8.2,18.2,0.13,0.004,9.94,99.4,100.0,-90.0,16.113333333333333
2026-01-30 13:19:30,12,113.0,1356,0.0773907502492268,17,195.8823529411765,3330,0.0582677616792566,0,4.0,16.2,16.0,2.0,7.0,21.6,0.106,0.01,10.0,93.8,100.0,-98.0,10.533333333333331
2026-01-30 13:19:31,16,114.625,1834,0.0649868696928024,21,155.57142857142858,3267,0.0503021876017252,0,4.0,16.0,16.6,1.6,8.2,18.2,0.13,0.004,9.94,99.4,100.0,-90.0,16.113333333333333
