curTime_of_UTC8,num_send_packets,avg_send_packetLen,send_dataStream,avg_send_packetInterval,num_recv_packets,avg_recv_packetLen,recv_dataStream,avg_recv_packetInterval,label,mn_u_r_mean,mn_d_r_mean,mn_u_m_mean,mn_d_m_mean,mn_d_g_mean,mn_u_g_mean,mn_u_b_mean,mn_d_b_mean,mn_cqi_mean,mn_mac_mean,mn_bandwidth_mean,rsrp_1_mean,snr_1_mean
2025-12-24 00:00:44,56,516.8035714285714,28941,0.0180108760084424,39,1721.974358974359,67157,0.0244996914496788,0,15.6,8.4,16.0,2.4,10.4,-9.6,0.006,0.16,5.04,563.0,30.0,-98.66666666666669,12.829999999999998
2025-12-24 00:00:45,87,952.1724137931036,82839,0.0112828605476467,52,1617.076923076923,84088,0.0201743061725909,0,11.2,10.2,16.4,3.2,21.4,11.8,0.038,0.2299999999999999,4.9,1018.6,30.0,-99.0,12.78
2025-12-24 00:00:46,81,1108.9135802469136,89822,0.0122743712531195,48,1657.0,79536,0.0210231691598892,0,21.8,11.2,15.2,4.4,26.2,17.4,0.024,0.21,4.74,1184.0,30.0,-99.33333333333331,13.753333333333336
2025-12-24 00:00:47,87,1099.632183908046,95668,0.0116651250028062,51,1627.529411764706,83004,0.0194505663479075,0,20.0,14.6,14.4,4.0,40.6,51.6,0.036,0.248,5.220000000000001,2017.8,30.0,-97.33333333333331,13.766666666666666
2025-12-24 00:00:48,95,1123.7157894736845,106753,0.0104855060577392,52,1773.826923076923,92239,0.0179248864834125,0,28.6,15.2,14.2,5.6,43.0,71.4,0.0419999999999999,0.176,4.68,2129.4,30.0,-99.0,14.036666666666669
2025-12-24 00:00:49,92,1098.5978260869565,101071,0.0108232161273127,46,1880.282608695652,86493,0.0233049548190573,0,29.4,17.8,13.0,5.6,58.2,102.0,0.054,0.248,4.84,3203.8,30.0,-99.66666666666669,13.276666666666666
2025-12-24 00:00:50,100,1056.05,105605,0.0102444720268249,44,1596.8636363636365,70262,0.0227419083768671,0,25.6,18.0,14.6,5.6,59.2,111.0,0.056,0.13,4.16,3157.0,30.0,-101.0,11.373333333333331
2025-12-24 00:00:51,105,1040.4666666666667,109249,0.0093224661690848,31,1850.8064516129032,57375,0.0266027450561523,0,35.2,19.6,12.8,7.4,79.6,154.6,0.06,0.236,4.56,4175.8,30.0,-98.66666666666669,12.863333333333332
2025-12-24 00:00:52,131,1013.763358778626,132803,0.0076021219937855,54,2379.037037037037,128468,0.0167008152714482,0,32.8,18.6,13.8,6.2,62.2,152.2,0.072,0.148,4.08,4243.0,30.0,-98.66666666666669,11.72
2025-12-24 00:00:53,135,1030.2444444444443,139083,0.0074665634720413,66,2537.5,167475,0.0188351977955211,0,43.0,25.2,12.0,8.4,113.4,208.4,0.06,0.252,4.359999999999999,5657.4,30.0,-99.66666666666669,12.216666666666669
